scenario,base_scenario,replicate,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_1000_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,accepted_activations_total,activation_candidates,activation_rejected,activation_acceptance_rate,death_candidates,death_rejected,death_rejected_outside_active,death_rejected_by_erk,death_rejection_rate,death_rejection_rate_outside_active,death_rejection_rate_by_erk,death_acceptance_rate_total,all_proposals,n_blocks,spatial_expected_cv_if_uniform_plot_bins,spatial_cv_ratio_to_uniform_plot_bins,spatial_bins_per_axis_for_plot,spatial_expected_count_per_plot_bin_if_uniform,spatial_coefficient_of_variation_plot_bins,spatial_empty_bins_plot_bins,spatial_bins_per_axis_for_chi2_test,spatial_expected_count_per_chi2_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_chi2_bins,spatial_chi2_df_chi2_bins,spatial_chi2_per_df_chi2_bins,spatial_chi2_p_value_chi2_bins,t_zone_area,outside_t_zone_area,t_zone_observed_deaths,outside_t_zone_observed_deaths,t_zone_observed_fraction,t_zone_area_fraction,t_zone_death_density,outside_t_zone_death_density,t_zone_density_ratio,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
baseline__rep01,baseline,1,1001,500,1000,1500,1000,True,12.110011881665597,38.93804299278812,26.82803111112252,37.27444611413971,0.02682803111112252,0.017920182098446702,18046,19563,1489,0.9224556560854674,4051,2544,229,2315,0.6279930881263885,0.05652925203653419,0.5714638360898544,0.37027894347074797,23614,39,0.6316644678941503,0.9509262072469516,20,2.5,0.6006662967072482,23,10,10.0,122.0,99,1.2323232323232323,0.05828902809330877,44.44444444444445,55.55555555555555,445,555,0.445,0.4444444444444445,10.0125,9.99,1.0022522522522521,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep02,baseline,2,1002,500,1000,1500,1000,True,13.482415353726756,39.82520174538234,26.34278639165558,37.96105640201991,0.02634278639165558,0.016962246804267167,18091,20014,1830,0.9039172579194564,4027,2507,239,2268,0.6225478023342439,0.05934939160665508,0.5631984107275888,0.3724857213806804,24041,40,0.6316644678941503,1.0220623898872587,20,2.5,0.6456004956627589,37,10,10.0,114.2,99,1.1535353535353536,0.14091136447051877,44.44444444444445,55.55555555555555,417,583,0.417,0.4444444444444445,9.382499999999999,10.494000000000002,0.8940823327615778,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep03,baseline,3,1003,500,1000,1500,1000,True,11.881009049645002,38.47998814814075,26.598979098495747,37.595427865746665,0.026598979098495748,0.017312811823490648,17958,19638,1415,0.9144515734799877,3797,2252,181,2071,0.5930998156439294,0.0476692125362128,0.5454306031077166,0.39504872267579666,23435,39,0.6316644678941503,0.9830646164419969,20,2.5,0.6209669878504009,31,10,10.0,110.0,99,1.1111111111111112,0.21142023448786226,44.44444444444445,55.55555555555555,435,565,0.435,0.4444444444444445,9.7875,10.170000000000002,0.9623893805309732,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep04,baseline,4,1004,500,1000,1500,1000,True,13.728859206769549,39.161061684804295,25.432202478034746,39.32022800084573,0.025432202478034745,0.018511117061841276,17624,19771,1756,0.8914066056345152,3979,2391,266,2125,0.6009047499371701,0.06685096757979392,0.5340537823573762,0.3769791404875597,23750,40,0.6316644678941503,0.9655727973942043,20,2.5,0.6099180272790763,27,10,10.0,85.4,99,0.8626262626262626,0.8331595265231515,44.44444444444445,55.55555555555555,442,558,0.442,0.4444444444444445,9.944999999999999,10.044,0.9901433691756271,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep05,baseline,5,1005,500,1000,1500,1000,True,15.6772243035271,41.62781978032415,25.950595476797055,38.53476121170784,0.025950595476797057,0.017553063487216747,18386,20900,2367,0.8797129186602871,4169,2626,373,2253,0.6298872631326458,0.08946989685775965,0.540417366274886,0.3597985128328136,25069,42,0.6316644678941503,0.9830646164419969,20,2.5,0.6209669878504009,30,10,10.0,107.20000000000002,99,1.082828282828283,0.2694500579254855,44.44444444444445,55.55555555555555,437,563,0.437,0.4444444444444445,9.8325,10.134,0.9702486678507992,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
higher_death_rate__rep01,higher_death_rate,1,1001,500,1000,1500,1000,True,10.55873243462815,28.726519936893293,18.167787502265142,55.04247558351951,0.01816778750226514,0.012399411954592487,13005,14443,1294,0.9004361974659004,4405,2865,272,2593,0.6503972758229285,0.061748013620885354,0.5886492622020432,0.340522133938706,18848,29,0.6316644678941503,0.9509262072469516,20,2.5,0.6006662967072482,31,10,10.0,91.4,99,0.9232323232323233,0.693877970930794,44.44444444444445,55.55555555555555,465,535,0.465,0.4444444444444445,10.462499999999999,9.63,1.086448598130841,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep02,higher_death_rate,2,1002,500,1000,1500,1000,True,11.472696176315072,31.854520555256123,20.38182437894105,49.06332138909125,0.020381824378941052,0.014508504690805779,14411,15993,1526,0.9010817232539235,4774,3250,307,2943,0.6807708420611647,0.06430666108085463,0.61646418098031,0.31420192710515293,20767,32,0.6316644678941503,1.0032528548311321,20,2.5,0.6337191807101943,33,10,10.0,106.2,99,1.0727272727272728,0.29222410895358775,44.44444444444445,55.55555555555555,458,542,0.458,0.4444444444444445,10.304999999999998,9.756,1.0562730627306272,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep03,higher_death_rate,3,1003,500,1000,1500,1000,True,10.501760230758704,31.207074463292788,20.705314232534086,48.296779694785236,0.020705314232534085,0.012871063132267935,14209,16050,1455,0.8852959501557632,4796,3173,299,2874,0.6615929941618015,0.06234361968306922,0.5992493744787323,0.3127606338615513,20846,32,0.6316644678941503,1.0042516135203097,20,2.5,0.6343500610861483,33,10,10.0,91.8,99,0.9272727272727272,0.6832999302108027,44.44444444444445,55.55555555555555,437,563,0.437,0.4444444444444445,9.8325,10.134,0.9702486678507992,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep04,higher_death_rate,4,1004,500,1000,1500,1000,True,10.74298128290305,33.28266004447505,22.539678761572,44.36620461977943,0.022539678761572,0.016111446756006842,14765,16974,1814,0.8698597855543773,5140,3534,409,3125,0.6875486381322957,0.07957198443579766,0.607976653696498,0.2918287937743191,22114,34,0.6316644678941503,1.0577320040923424,20,2.5,0.6681317235396026,38,10,10.0,151.8,99,1.5333333333333334,0.0005129342852530613,44.44444444444445,55.55555555555555,462,538,0.462,0.4444444444444445,10.395,9.684000000000001,1.0734200743494422,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep05,higher_death_rate,5,1005,500,1000,1500,1000,True,12.009941134363022,30.560020965989537,18.550079831626515,53.90812379659272,0.018550079831626515,0.012141876898011716,13527,15446,1707,0.8757607147481549,4700,3140,386,2754,0.6680851063829787,0.08212765957446809,0.5859574468085106,0.3191489361702128,20146,31,0.6316644678941503,1.0210810527527807,20,2.5,0.644980619863884,31,10,10.0,108.0,99,1.0909090909090908,0.2519903142686336,44.44444444444445,55.55555555555555,451,549,0.451,0.4444444444444445,10.147499999999999,9.882000000000001,1.0268670309653913,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
