base_scenario,n_replicates,n_finished_target,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T,fraction_chi2_p_value_below_0p05,total_time_for_analyzed_1000_deaths_after_burnin_mean,total_time_for_analyzed_1000_deaths_after_burnin_std,total_time_for_analyzed_1000_deaths_after_burnin_min,total_time_for_analyzed_1000_deaths_after_burnin_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,spatial_coefficient_of_variation_plot_bins_mean,spatial_coefficient_of_variation_plot_bins_std,spatial_coefficient_of_variation_plot_bins_min,spatial_coefficient_of_variation_plot_bins_max,spatial_cv_ratio_to_uniform_plot_bins_mean,spatial_cv_ratio_to_uniform_plot_bins_std,spatial_cv_ratio_to_uniform_plot_bins_min,spatial_cv_ratio_to_uniform_plot_bins_max,spatial_chi2_per_df_chi2_bins_mean,spatial_chi2_per_df_chi2_bins_std,spatial_chi2_per_df_chi2_bins_min,spatial_chi2_per_df_chi2_bins_max,spatial_chi2_p_value_chi2_bins_mean,spatial_chi2_p_value_chi2_bins_std,spatial_chi2_p_value_chi2_bins_min,spatial_chi2_p_value_chi2_bins_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,death_rejection_rate_mean,death_rejection_rate_std,death_rejection_rate_min,death_rejection_rate_max,death_rejection_rate_outside_active_mean,death_rejection_rate_outside_active_std,death_rejection_rate_outside_active_min,death_rejection_rate_outside_active_max,death_rejection_rate_by_erk_mean,death_rejection_rate_by_erk_std,death_rejection_rate_by_erk_min,death_rejection_rate_by_erk_max,accepted_activations_total_mean,accepted_activations_total_std,accepted_activations_total_min,accepted_activations_total_max,activation_acceptance_rate_mean,activation_acceptance_rate_std,activation_acceptance_rate_min,activation_acceptance_rate_max
baseline,5,5,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8,0.0,26.23051891122113,0.5525065570732495,25.432202478034746,26.82803111112252,38.13718391889197,0.8103237079520229,37.27444611413971,39.32022800084573,0.619623759069977,0.01682249966529254,0.6006662967072482,0.6456004956627589,0.9809381254824817,0.026632018295053975,0.9509262072469516,1.0220623898872587,1.0884848484848484,0.1382724612622339,0.8626262626262626,1.2323232323232323,0.30264604230006537,0.3068945807344817,0.05828902809330877,0.8331595265231515,0.963823200514246,0.04206148594907995,0.8940823327615778,1.0022522522522521,2464.0,145.57300573938838,2252.0,2626.0,0.6148865438348755,0.016775354320953326,0.5930998156439294,0.6298872631326458,0.06397374412339113,0.015819095011883076,0.0476692125362128,0.08946989685775965,0.5509127997114844,0.01579332456320284,0.5340537823573762,0.5714638360898544,18021.0,274.0109486863618,17624.0,18386.0,0.9023888023559428,0.01721430791819629,0.8797129186602871,0.9224556560854674
higher_death_rate,5,5,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8,0.2,20.068936941387758,1.7697977184569182,18.167787502265142,22.539678761572,50.135381016753634,4.362520147111728,44.36620461977943,55.04247558351951,0.6363695763814154,0.024335217693134296,0.6006662967072482,0.6681317235396026,1.0074487464887034,0.038525544699804536,0.9509262072469516,1.0577320040923424,1.1094949494949495,0.24961719493198725,0.9232323232323233,1.5333333333333334,0.38438105172981424,0.2993809362522258,0.0005129342852530613,0.693877970930794,1.0426514868054202,0.04621081450627404,0.9702486678507992,1.086448598130841,3192.4,239.9589548235281,2865.0,3534.0,0.6696789713122338,0.014849762639545195,0.6503972758229285,0.6875486381322957,0.07001958767901499,0.009972846148596802,0.061748013620885354,0.08212765957446809,0.5996593836332188,0.012852160804380463,0.5859574468085106,0.61646418098031,13983.4,708.9081745896291,13005.0,14765.0,0.8864868742356238,0.014146749732521146,0.8698597855543773,0.9010817232539235
larger_ERK_radius,5,5,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8,1.0,52.375656297127534,2.0362638343173494,49.6339185192902,55.036557171445835,19.11601729181751,0.7456475546721877,18.169741193746432,20.147512625088236,0.6650399704009929,0.02350100447444991,0.629285308902091,0.6916646586316233,1.0528373910568536,0.03720488593065525,0.9962335082737976,1.0949874399893067,1.492121212121212,0.10203120252723764,1.3878787878787877,1.6242424242424243,0.00265962063255211,0.0029525776618519925,8.578271905373443e-05,0.00647179991384452,0.831639504338443,0.05314214939870946,0.7628824476650561,0.9088946459412779,6383.6,103.39390697715218,6286.0,6516.0,0.8033878399357836,0.0038761980529491763,0.7973110096397767,0.8067258883248731,0.030417313018361147,0.0062124678627187725,0.02301410541945063,0.03995433789954338,0.7729705269174223,0.00988673729750214,0.7573566717402334,0.7832219747587231,36588.8,1006.0726613918102,35716.0,38151.0,0.921989967578806,0.011000442834959013,0.9071882143764287,0.9324764663287473
shorter_ERK_duration,5,5,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0,0.0,16.819692511683733,0.9757493655414673,16.159664615832817,18.543079578928847,59.60375016320448,3.2248403897096165,53.92847481150516,61.88247242583402,0.6113367674832633,0.032158916397993786,0.5699122739510003,0.6517668294720129,0.9678188319209156,0.0509113905127599,0.9022389305052726,1.031824429898487,0.8573737373737375,0.11862216160031967,0.7373737373737373,1.0464646464646463,0.7901948184365567,0.25329094980999495,0.3559901466360152,0.9767823614239072,0.9957382498663053,0.046966585841154956,0.9584805653710246,1.0777467411545623,1184.8,45.10764901876399,1112.0,1227.0,0.43327916068412275,0.01275773125499679,0.411090573012939,0.44136926438455937,0.09233861575376037,0.026379727073862352,0.06839186691312385,0.1369264384559359,0.34094054493036235,0.0219981916988929,0.30444282592862343,0.35932446999640677,11937.0,369.4096641941031,11565.0,12503.0,0.8766131111457796,0.019951846378625987,0.8426229508196721,0.8900199316628702
stronger_T_zone_activation,5,5,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8,0.0,25.9881585813564,0.644353437587465,24.9966777747022,26.795306503226595,38.49820625598595,0.9654006912050974,37.31996869972671,40.00531626694994,0.619398933668327,0.015205302140181799,0.604648658313239,0.6437390775772432,0.9805822001248318,0.024071802219417824,0.9572307594394586,1.0191155436102768,1.0913131313131312,0.12200414637829561,0.9191919191919192,1.2424242424242424,0.300373898133604,0.25652168110053836,0.051444916997488765,0.7043271839237982,0.966136093183588,0.04087355765991467,0.9014629948364886,1.014492753623188,2427.6,178.61774827827162,2175.0,2619.0,0.6115931758341934,0.01797525582279933,0.5872030237580994,0.6282082034060926,0.06018701768226222,0.014891406560030478,0.04373650107991361,0.08443271767810026,0.5514061581519311,0.013459997390141393,0.5390967741935484,0.5709701308318934,18016.2,385.62442868677294,17552.0,18565.0,0.9111398111260254,0.016508024853733903,0.8882775119617224,0.9280601849433154
strong_visible_T_zone,5,5,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8,1.0,162.98657069002832,8.321831168737653,156.05718901550404,177.03837796722905,6.14769425281443,0.29932291388503157,5.64849278152055,6.407907295450847,1.1323223976829055,0.026598583271400696,1.087382177525455,1.1572380913191547,1.7926010647042627,0.042108721676359845,1.7214553497849598,1.8320455718795887,9.535353535353533,0.279996647552335,9.113131313131314,9.806060606060605,1.715506097220218e-130,3.835987654831456e-130,3.775777752456749e-143,8.5775294228627e-130,11.14261039957634,0.5090740604921851,10.654761904761902,11.907894736842103,23105.2,997.8500388334913,22003.0,24739.0,0.936312418333498,0.0034366538055514806,0.9327257312420517,0.9419715950196094,0.82616926901967,0.004033367803040268,0.82001554764535,0.8303196048818319,0.11014314931382804,0.006212061489654451,0.10373039423484527,0.11712294863496173,28305.2,1124.9694218066552,26855.0,30014.0,0.22913104515728921,0.0013526471217808437,0.22749027946022415,0.23031760916540955
T0p5_c0p005_ratio_1e2,5,5,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8,0.2,26.28505810363606,0.4709528683360816,25.578647946593243,26.82805677952127,38.0542813021748,0.6875036179806101,37.27441045090275,39.095107844947194,0.6214610280808185,0.015255760253593507,0.6,0.64,0.9838467409013077,0.024151683415806723,0.9498713802919552,1.0131961389780857,1.073939393939394,0.14394984899120014,0.8484848484848485,1.2464646464646465,0.333407367805869,0.30954153989568745,0.048902311511807336,0.8592911018393782,0.9662663835858304,0.044802259265452525,0.8904109589041095,1.0022522522522521,2492.2,150.8399814372834,2286.0,2691.0,0.6189328567816113,0.013017720836807656,0.6020542533579142,0.630653855167565,0.07029945555006427,0.019800331050584995,0.05478008954437714,0.10194516053433325,0.5486334012315469,0.019503631524600273,0.5287086946332318,0.5714638360898544,17983.6,326.1798583603837,17462.0,18360.0,0.8964136501447181,0.025953495449748048,0.8579840179447638,0.920666564432858
T0p5_c0p0005_ratio_1e3,5,5,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8,0.2,26.264692990881827,0.47641077081138133,25.544740821089043,26.82805677952127,38.08403429397303,0.6966250677281093,37.27441045090275,39.1470012165646,0.6252795623774284,0.016787974605784906,0.6,0.64,0.9898919349729962,0.026577361018505368,0.9498713802919552,1.0131961389780857,1.086868686868687,0.13824737059333836,0.8707070707070708,1.2464646464646465,0.3097208256450766,0.299408331339297,0.048902311511807336,0.8170501225794982,0.9702399790655398,0.04595557521562802,0.8904109589041095,1.0022522522522521,2496.6,145.11133656610016,2300.0,2691.0,0.6166615116134864,0.0176197411606081,0.5886869721013566,0.630653855167565,0.0706536866815661,0.01967442706648882,0.05579728692091118,0.10194516053433325,0.5460078249319202,0.0205500024509529,0.5287086946332318,0.5714638360898544,17990.2,317.94449201079107,17483.0,18360.0,0.8919195693051873,0.023333413812676312,0.8579840179447638,0.920666564432858
T0p5_c0p00005_ratio_1e4,5,5,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8,0.2,26.264692990881827,0.47641077081138133,25.544740821089043,26.82805677952127,38.08403429397303,0.6966250677281093,37.27441045090275,39.1470012165646,0.6252795623774284,0.016787974605784906,0.6,0.64,0.9898919349729962,0.026577361018505368,0.9498713802919552,1.0131961389780857,1.086868686868687,0.13824737059333836,0.8707070707070708,1.2464646464646465,0.3097208256450766,0.299408331339297,0.048902311511807336,0.8170501225794982,0.9702399790655398,0.04595557521562802,0.8904109589041095,1.0022522522522521,2496.6,145.11133656610016,2300.0,2691.0,0.6166615116134864,0.0176197411606081,0.5886869721013566,0.630653855167565,0.0706536866815661,0.01967442706648882,0.05579728692091118,0.10194516053433325,0.5460078249319202,0.0205500024509529,0.5287086946332318,0.5714638360898544,17990.2,317.94449201079107,17483.0,18360.0,0.8919195693051873,0.023333413812676312,0.8579840179447638,0.920666564432858
T0p5_c0p025_ratio_20,5,5,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8,0.0,26.25325781601515,0.5004103369571589,25.502337258490726,26.829548198789368,38.10168128007986,0.7326515368983125,37.272338415490836,39.212092204100266,0.6217903153573474,0.017916602908000855,0.5993329625508679,0.6456004956627589,0.984368041834423,0.02836411389060939,0.9488153806544326,1.0220623898872587,1.0836363636363637,0.1370584617473036,0.8707070707070708,1.2383838383838384,0.31560378468065625,0.29876443702457506,0.05409731377305718,0.8170501225794982,0.9670063986488426,0.043440239713138935,0.8940823327615778,1.0022522522522521,2487.2,154.1677657618479,2286.0,2696.0,0.6176673797407177,0.01392633149495212,0.6020542533579142,0.6318256386219827,0.0685610964699493,0.017847599980662692,0.05478008954437714,0.09725802671666275,0.5491062832707685,0.018140697704129627,0.529027393817542,0.5714638360898544,18003.4,351.4090209428324,17469.0,18456.0,0.8973486344862535,0.024542565898961734,0.8624702088882658,0.9219444870418647
T0p5_c0p01_ratio_50,5,5,5.0,0.5,0.01,50.0,1.0,2.5,1.2,2.0,0.8,0.0,26.285356387489674,0.47138303788336827,25.578647946593243,26.829548198789368,38.05386689509242,0.688091595220328,37.272338415490836,39.095107844947194,0.6213276205909921,0.015491444846115004,0.5993329625508679,0.64,0.9836355409738033,0.0245248001644933,0.9488153806544326,1.0131961389780857,1.0723232323232323,0.1415540433511609,0.8484848484848485,1.2383838383838384,0.334446368258119,0.30835427729366754,0.05409731377305718,0.8592911018393782,0.9662663835858304,0.044802259265452525,0.8904109589041095,1.0022522522522521,2492.0,150.75145107095983,2286.0,2691.0,0.6188834862558151,0.012972819117115357,0.6020542533579142,0.630653855167565,0.07025008502426817,0.019841974856497233,0.05478008954437714,0.10194516053433325,0.5486334012315469,0.019503631524600273,0.5287086946332318,0.5714638360898544,17988.8,326.94296138623326,17462.0,18360.0,0.8966791886270343,0.02625725935260317,0.8579840179447638,0.9218933701375045
T1e-1_c1e-2_ratio_1e1,5,5,5.0,0.1,0.01,10.0,1.0,2.5,1.2,2.0,0.8,0.0,26.180770125061997,0.5984713256477477,25.462667851900964,27.092645548424997,38.211795107485315,0.8653702923574256,36.91038581716262,39.27318244169545,0.6167495837712811,0.018026054683133754,0.5878775382679627,0.6368673331236263,0.9763879640521929,0.028537389071810897,0.9306800811953775,1.0082367546283257,0.9737373737373737,0.11831555930784904,0.8121212121212121,1.1272727272727272,0.5481100902982188,0.28098080740403636,0.18221256580472764,0.9141709865961419,0.9579993426523474,0.02860336577779736,0.912629757785467,0.9901433691756271,2759.0,159.85931314752983,2499.0,2896.0,0.6399822200221859,0.010467042635739002,0.6233474681965577,0.6510791366906474,0.11922886210812597,0.036024954331263494,0.09767545820295039,0.18300359712230216,0.5207533579140597,0.031267533809884646,0.4680755395683453,0.5455967814036656,18043.0,615.137789442333,17068.0,18645.0,0.8445817888831687,0.0351067694353989,0.7839066734028384,0.8697820823244552
T1e-1_c1e-3_ratio_1e2,5,5,5.0,0.1,0.001,100.0,1.0,2.5,1.2,2.0,0.8,0.0,26.128406708365617,0.6134148864952106,25.462667851900964,27.07914899804196,38.28918038867519,0.8871591126400964,36.928782365808765,39.27318244169545,0.6164995330461004,0.01761837655475581,0.5885575587824865,0.6362389488234746,0.9759921040064088,0.027891986094282176,0.9317566345699734,1.0072419475240941,0.9757575757575758,0.11552305822622859,0.8202020202020204,1.1272727272727272,0.5448408308524403,0.277314100367552,0.18221256580472764,0.9035003453991421,0.9564830865728284,0.030617382552251517,0.912629757785467,0.9941651705565527,2765.2,152.86824392266695,2521.0,2902.0,0.6386023121312119,0.014505289091581658,0.6144284669753839,0.6524280575539568,0.11990833269157604,0.03625463398685848,0.09789897183728208,0.1841276978417266,0.5186939794396358,0.031606699631130976,0.4683003597122302,0.546043808672329,18041.0,605.9278009796217,17078.0,18624.0,0.8401193633556104,0.032065260370338855,0.7843659578376889,0.8620625810035178
