death_index,death_time,x,y
1,0.6098918569,1.2848244399,2.5858350574
2,0.6476338151,0.0210065007,3.2563160969
3,0.7697664986,7.8451051590,3.4757694837
4,0.8612456056,1.8404857060,2.4833563671
5,0.9111052897,8.7864381867,1.7298257560
6,0.9294427259,8.7318198175,2.8777806457
7,1.0336404562,1.6219567482,4.2765719750
8,1.0791540481,3.8250754195,7.4513654441
9,1.1385755814,4.1201253880,4.9991844607
10,1.1988668992,7.6393310700,2.8538907023
11,1.2486736710,3.7838271237,6.5062984953
12,1.2894995376,4.2382834231,8.6066420394
13,1.3918085574,0.3242190171,4.8623247566
14,1.4586921964,2.7108501902,3.1439901199
15,1.5279309405,5.2522218683,7.3022933696
16,1.6124343846,6.5430736408,7.5851781362
17,1.6174205116,5.0981564448,2.6811389865
18,1.6238164448,7.1015713002,3.6943079739
19,1.6781348466,4.2743846841,6.2692801057
20,1.7799499221,9.2218596503,2.7628211791
21,1.7953546650,7.2041499370,2.7659509217
22,1.8621073260,9.0284935176,3.7537993765
23,1.8669191181,5.4018356736,0.8196656984
24,1.8855816416,6.7446989890,4.0681791771
25,1.9885243932,4.7342947421,1.6187436629
26,1.9995835847,4.4801992317,8.8514207370
27,2.0392553081,5.9364683295,8.7803524057
28,2.0660203101,0.0477702042,6.0712600187
29,2.1209684581,5.8116658991,5.5690980778
30,2.2030502584,6.5551243564,7.6556093412
31,2.2440412791,6.6981498022,5.0717961662
32,2.2911426402,6.1457484659,9.5430961950
33,2.3029662569,4.1011802086,7.7691273620
34,2.3240000438,7.4220231696,9.5323175902
35,2.3731221056,6.6458744990,1.3262963214
36,2.3809268980,2.9224353664,9.9059449119
37,2.3836590377,2.4220786150,3.0896135135
38,2.3906833173,6.0834793112,1.4893886112
39,2.3976609950,4.4042301357,6.8764422641
40,2.4016841063,8.2211163686,3.0449466979
41,2.4136700236,9.8650244495,4.4557361699
42,2.4207346876,1.8734932299,5.4531918133
43,2.4386871733,2.1783801215,5.0647326634
44,2.4791132714,3.5093960125,8.5395771240
45,2.4936448965,1.1018650671,3.0374614295
46,2.5083821420,6.4054661264,5.6784064106
47,2.5257861718,7.6982370659,5.2589261433
48,2.5393759137,5.3064747011,7.1510674262
49,2.5955771896,7.6087037726,1.6050961627
50,2.6334453216,5.9348697517,9.4761774322
