death_index,death_time,x,y
1,0.4412714325,4.6802441789,2.0945592515
2,0.4892010948,2.8712252257,1.8842675238
3,0.6408456380,2.3395971778,2.5254621610
4,0.7338571284,1.6888324768,5.1139368346
5,0.8162538467,2.1247973733,6.6833925041
6,0.8196143427,5.6962572686,1.2925986089
7,0.8426639995,2.4354734298,4.2384368558
8,0.8965018117,3.7906711816,3.2694238569
9,0.9756873065,2.8737259504,1.0573280657
10,1.0386396076,3.6826462212,2.3430430091
11,1.0627803773,6.0257178922,3.3095045978
12,1.0869098925,1.0093572512,2.7553008560
13,1.1039088301,5.8394238627,0.5289022876
14,1.1416715486,5.0029807618,3.8412879223
15,1.1795305746,5.2664581361,0.3304831853
16,1.2036297869,6.3787744606,2.1157176998
17,1.2203303805,3.2906975620,0.7112835940
18,1.2415155195,3.6022782132,5.0226952497
19,1.3160974839,3.9557524886,1.9135174239
20,1.3251153676,1.3148309440,3.2089223788
21,1.4263186717,3.5356763225,5.8527841708
22,1.5257996373,5.9067929372,4.8526899034
23,1.5264181621,1.1441362992,1.8148935017
24,1.6576112429,0.4625648178,4.4838934712
25,1.6653651999,0.4285831647,0.1212148304
26,1.7028381237,3.2706428671,3.8899139619
27,1.7301843695,1.4804214611,0.7251130229
28,1.9799585129,2.8155666862,6.5113480367
29,2.0003180428,3.3369276132,1.9135108260
30,2.0198659739,1.2906704327,4.8187668950
31,2.0247595449,3.4785768953,3.6051080833
32,2.0819769677,3.5996081305,9.2625447157
33,2.1008966909,5.3005980880,3.0259713731
34,2.1699920317,2.8289415709,7.2866980659
35,2.1853761757,2.0525805239,5.8861286618
36,2.2505692700,5.1674330459,9.7202989969
37,2.2830673175,6.0556372487,2.2905333455
38,2.2981283001,3.3719173293,8.3589961597
39,2.3069804650,6.7003321355,2.6928877139
40,2.3080254854,3.2411959755,5.9586611623
41,2.3097220713,4.1942992816,7.4967648103
42,2.3243704173,0.2024637000,5.9825458985
43,2.3259984922,0.8491847079,1.7028026031
44,2.3404526668,0.8683903841,3.6511251608
45,2.3861272182,6.5043754497,9.0143274616
46,2.4325090113,0.4024028399,5.6924698031
47,2.4672855994,5.4103493425,3.9389624367
48,2.4704978077,3.1442331869,0.6330813516
49,2.4837400020,1.8856818738,0.6157662465
50,2.4929893129,5.8233675816,5.5401582343
51,2.4999088371,6.6423065353,6.9365518395
52,2.5037063487,6.5154193892,6.6111545847
53,2.5815727251,6.0325518357,4.4333299509
54,2.5895097645,1.2743577535,1.7985872852
55,2.5950538218,6.4432314814,2.8035817284
56,2.5960736116,4.5934775321,2.6985655112
57,2.6015262682,7.7156047185,5.0101343755
58,2.6199156190,8.4271245576,5.6034954279
59,2.6608023498,3.4649229029,7.3420556978
60,2.6778898934,4.9387606376,7.1123024219
61,2.7307245202,3.6146830459,6.3239709779
62,2.8171818507,1.4521739190,3.6377656320
63,2.8317990211,5.0325340036,3.6632050958
64,2.8348317826,7.7355840426,1.4540154242
65,2.8392414347,5.1236482142,4.3351484102
66,2.8535792300,3.9506886736,5.2897569776
67,2.8552397434,6.1547981350,5.7834243471
68,2.9303496026,6.7494365201,5.3224979413
69,2.9657772581,7.9011669951,5.9176299688
70,3.0099169188,0.1535215640,4.7405740333
71,3.0159004839,5.4859091843,4.2181780082
72,3.0289696398,3.4872891830,2.9617408415
73,3.0555895831,7.3727514744,7.5158844356
74,3.0750222342,4.7578873261,3.3990384214
75,3.1063030029,2.2763932884,6.8308904258
76,3.1076439339,3.9804170155,1.5868687424
77,3.1168020744,6.3356969266,6.0480394662
78,3.1209755258,6.6311803821,3.6208012791
79,3.1291129823,1.0111127436,3.5507584908
80,3.1365350123,5.8346399597,8.8722761122
81,3.2256019953,8.0498755715,4.2605823843
82,3.2363032058,2.1131751933,8.3478649560
83,3.2572794092,5.9368464144,7.7174083743
84,3.2620702271,2.8438954109,0.2467879983
85,3.2919831651,7.2386877651,6.9409917982
86,3.3587177372,0.2976701407,5.3566546340
87,3.3680153030,7.4204277222,9.0266972198
88,3.3715277843,6.1077624727,3.3552231550
89,3.3774471295,4.8729635045,9.9691451140
90,3.3818153341,5.6767095431,8.0333501070
91,3.4070699493,4.3008180675,7.8906532253
92,3.4096011834,2.7884021749,8.9573383548
93,3.4222197708,7.6224498554,4.0805678280
94,3.4518636690,7.4746098628,9.7490216927
95,3.4628797949,0.6653883396,4.3907979126
96,3.4719911376,6.7260273205,8.1837689769
97,3.4770940902,1.9052416440,7.9454221363
98,3.4802848096,6.9416378358,3.2335432059
99,3.4970198659,5.6087703550,9.0488308138
100,3.5006281736,8.8336803886,8.5262448962
101,3.5325932620,3.7700917047,9.3881510760
102,3.5345790593,0.6684246276,0.2648936374
103,3.5485486223,5.1134578684,7.7967868042
104,3.5892982101,0.3361283071,0.3353156430
105,3.5987341823,6.5524239228,7.5356995786
106,3.6217450022,8.5186355190,5.4585250709
107,3.6300661546,1.7381974869,1.3308650047
108,3.6479781994,3.2502167775,9.4057429804
109,3.6637056652,3.4346634990,1.6089010032
110,3.6845135845,4.6961056881,6.9098429961
111,3.6967943700,1.9464853028,0.6402596254
112,3.7440772711,0.8309811583,1.2992218862
113,3.7486067419,5.2359415196,6.7640731972
114,3.7615949892,9.6122364327,7.2046745185
115,3.7696698610,8.5343143157,8.4807939698
116,3.7743062467,6.6701168497,6.6801277711
117,3.7833302679,1.7768011674,7.5641002781
118,3.7858157639,8.9175875806,8.5185873813
119,3.8349390319,8.3671093317,9.4048464411
120,3.8371014324,9.3798836339,4.7508459888
121,3.8442256884,7.3371644339,8.9724230530
122,3.8516559730,5.1501253585,8.4699939800
123,3.8569497208,7.1236249266,8.3967741954
124,3.8788710990,7.8728618276,7.2940909412
125,3.9139137405,6.1339770060,8.6496367192
126,3.9297353110,9.3588490175,5.7660825930
127,3.9338881876,0.9662223273,0.7259896428
128,3.9470429694,4.8833790149,7.1150149751
129,4.0288521834,9.5003978561,6.2684468077
130,4.0418842398,5.3497126339,9.7175404140
131,4.0736734591,2.8886333000,7.8632058298
132,4.1113158449,1.0318681182,4.3827271168
133,4.1672886187,9.0029189863,9.3468851085
134,4.1680201758,1.1173925576,8.2959045287
135,4.1731977094,3.5256304650,8.2200443979
136,4.1796049809,6.5895761312,6.0272397444
137,4.1821825874,5.9075979932,5.9605947433
138,4.2179997522,0.7397672506,3.4783747301
139,4.2487789171,0.5553034047,3.9479973787
140,4.2578760430,1.6211750529,2.6770421304
141,4.2617053190,2.4521763570,6.7377402733
142,4.3061476805,8.3792689530,7.9021938205
143,4.3173209988,0.0880330030,5.9491398152
144,4.4172515254,1.7452787110,2.4186180062
145,4.4682465434,7.7200498041,8.0847298507
146,4.4951007666,4.6905418811,8.4420142217
147,4.5039063547,6.7484255729,6.1406674565
148,4.5086980243,4.2628243158,8.7919658288
149,4.5148187409,0.4439311421,1.7104405371
150,4.5388123539,1.1084437821,6.2729968577
151,4.5471081819,7.3271094020,6.5615309543
152,4.5939552646,9.7977371413,4.3427787070
153,4.6249819698,0.5521409847,1.0030447397
154,4.6261483368,8.1193712091,3.7334660015
155,4.6377148107,6.8034833707,2.8551845791
156,4.6406690754,6.5214952485,5.0831431763
157,4.6527088803,4.0727251476,1.0320009975
158,4.7065172081,6.6526290221,9.8387983920
159,4.7183749597,5.8604089184,5.2982161207
160,4.7409462393,8.6627141247,3.8993035594
161,4.7423787024,5.1562280937,2.5821800806
162,4.7533572028,5.9806152927,4.9850729915
163,4.7793382012,7.5446046429,6.1433334984
164,4.8020509848,6.9147211593,2.5875147739
165,4.8143984610,5.9181101707,4.3348432797
166,4.8505224560,5.6317308963,6.9816032554
167,4.8549631238,8.2369914378,2.1744099144
168,4.8979553997,7.8575676747,3.4640990710
169,4.9267334609,4.9110812989,1.0750914986
170,4.9331560370,8.3423897339,2.6929349019
171,4.9522374898,7.8203465500,4.6843961030
172,4.9648521656,9.4327639898,2.8608598561
173,5.0005909070,3.6771620086,2.1199682463
174,5.0556582490,8.3875773573,2.3532168014
175,5.0721164058,5.7461329804,0.8845938107
176,5.0850298745,1.6148045419,7.5344039803
177,5.1049432143,5.3379667382,3.3088949527
178,5.1106481768,6.1053042653,2.4042906412
179,5.1136986369,5.9445284433,1.9472899266
180,5.1421893935,4.0734883954,0.2532499674
181,5.1697764276,6.3223421588,9.6516679936
182,5.1819655815,2.4664808249,7.3001126437
183,5.2460090087,0.2894173179,2.8123505818
184,5.2666883441,2.4601630385,0.2510311579
185,5.2714003011,5.2831192574,6.5376114278
186,5.3862612806,4.8066121924,8.2857398714
187,5.3887190568,7.4471382026,5.5041298059
188,5.3942086252,2.7939732945,9.2885513286
189,5.4043745992,6.3476662738,5.3876391200
190,5.4068192843,5.5292084812,0.3252372010
191,5.4112773417,2.0451609176,9.4009125840
192,5.4986901529,8.1479119364,6.5502332891
193,5.5067075673,5.1705024946,2.6595691355
194,5.5079726800,6.5592979979,5.2365591069
195,5.5421618762,5.9522220950,7.0468847282
196,5.5541552012,7.9421634148,9.6870762498
197,5.5553468088,2.4493234532,8.8430970602
198,5.5856572950,1.9872997029,8.7871599070
199,5.5950376178,3.1797270883,2.9034958281
200,5.6167595878,8.8640891209,5.8916070014
201,5.6176543745,3.3866503979,9.2772590862
202,5.6212228292,0.9057862174,0.5841626962
203,5.6596375724,2.1622471258,6.7162430825
204,5.6951919315,7.2330881702,8.7516903047
205,5.7273792444,5.2461156732,2.4603571343
206,5.7919767723,4.5645184767,9.2310120438
207,5.8028491619,0.6849302318,5.2113061180
208,5.8323771625,2.1618070522,5.1283201095
209,5.8653224821,9.2541270543,7.4081520725
210,5.8667696525,3.6813069994,7.7746218369
211,5.9169681056,2.9244236421,1.5612405484
212,5.9439527821,3.2700079099,1.2511071815
213,5.9646475523,1.2297622765,8.3645793430
214,5.9712457966,7.5564155415,8.3630642117
215,6.0007270344,4.8589742954,3.4442414352
216,6.0258763248,6.0422999288,0.5165039302
217,6.0589834651,4.9696791356,1.1365317798
218,6.1339167083,4.8744861616,3.7766429379
219,6.1510559734,0.5392252443,7.8705478803
220,6.1609943434,9.8487509024,8.4947347010
221,6.1927928631,5.2493426254,1.5939995478
222,6.2101753678,9.9640025939,5.4464057471
223,6.2214336130,7.7972925481,2.4042322345
224,6.2423862394,4.2179728358,8.2760981874
225,6.2818528979,2.4982423851,8.4151605137
226,6.3179476414,4.7370900689,3.0905645196
227,6.3238165932,7.6739181403,6.9872834660
228,6.3535710061,3.2717333899,0.2474426670
229,6.4176087997,6.5439543813,3.6192162657
230,6.4490643062,8.0994642567,3.3738345568
231,6.4518299971,6.5181847395,4.7339813307
232,6.4670586926,4.1533171788,3.6158400963
233,6.5309528691,2.2382875502,8.2506489011
234,6.5317411919,8.4039162464,3.1299300026
235,6.5390560865,9.5155755333,6.7807630765
236,6.5756855041,8.9658397041,7.3654954756
237,6.6213029007,4.9346312685,8.7935712635
238,6.6283505240,5.2489965587,9.7838238962
239,6.6310055450,6.8927769910,1.1039741677
240,6.6589655337,4.9411449155,2.1514721082
241,6.7006802299,4.8422943165,9.2667430375
242,6.7292462826,5.5890769203,9.5786438076
243,6.7322814684,1.9714520242,7.7592897430
244,6.7842815982,1.9762949970,8.7588995959
245,6.8137522389,9.2001653773,6.1846074810
246,6.8362023740,8.5433481907,6.1485268644
247,6.8376644971,6.7186902695,1.5207379108
