death_index,death_time,x,y
1,0.2587001081,5.7516651467,2.0098403135
2,0.4470401535,5.2285687819,3.5417198384
3,0.5266096980,0.8162576422,8.7277240195
4,0.7168863616,5.4621620392,2.7891878726
5,0.8003326530,3.5623787701,9.5598835361
6,0.8590696640,0.1245562888,6.3304511459
7,0.9051977022,5.9211529143,7.1787307897
8,0.9265860221,5.7994949206,8.7946277491
9,1.0264285791,2.6457238339,3.1353189975
10,1.1212315954,4.9631737893,8.3666984423
11,1.2544651533,7.7287061108,7.2944254493
12,1.3031348848,2.2782108105,6.1004717513
13,1.3073369868,9.2344276824,8.2558371985
14,1.3361539508,7.9182456992,3.2229509343
15,1.3873537088,0.8161365132,6.7036231783
16,1.5173612234,6.8332899876,8.1195573367
17,1.6419492000,6.7303179616,1.9224613099
18,1.6625224629,6.6942175207,6.3755443616
19,1.6919931537,7.4940798597,9.2731996084
20,1.7095440876,2.7264214040,9.5314168051
21,1.7230067124,5.7891639348,3.1069764678
22,1.7237386293,7.1473680094,8.5620565959
23,1.7242740592,2.3227660665,6.4199699762
24,1.8051547637,6.5253929339,5.5632596147
25,1.8281963624,6.4074096318,1.4688169288
26,1.8343203084,6.9202674002,9.1163529111
27,1.9129398138,6.4282595243,1.7546287094
28,1.9220446251,1.6415068679,5.2356400564
29,1.9337169225,7.6146235538,2.2004110204
30,1.9512848929,3.3814585065,7.1916978017
31,1.9532163502,5.7833143099,4.4185304941
32,1.9947444224,8.6284250547,2.2148584958
33,2.0539115061,6.7365803307,0.7809522414
34,2.2002463049,4.5549907251,1.7261767110
35,2.2006909268,8.2499381576,8.6903359736
36,2.3845690822,7.8584891872,4.8385406642
37,2.4165136816,9.2748928324,1.3361678988
38,2.4219855180,5.2798684720,4.4429377425
39,2.4259408079,8.2444075654,8.2833896924
40,2.4321858765,7.2267263795,3.8243214734
41,2.4420370503,0.5345638232,3.9210343457
42,2.4576242718,0.8734871677,5.3284487850
