death_index,death_time,x,y
1,0.0266034288,2.1549791182,7.5588943620
2,0.0588959875,4.3415714630,7.0112224489
3,0.0928042375,2.5124474110,6.5800981559
4,0.0940370632,5.2867606831,4.9436782110
5,0.1255919881,4.3595330327,5.2183190922
6,0.1932218270,4.1901630479,4.6092256582
7,0.3252287899,1.8660552922,6.7132761205
8,0.6058577638,5.6036768506,6.8647912032
9,0.8809151719,6.9887309404,6.1751905014
10,0.9130369375,5.4052645228,0.9776787424
11,0.9146897929,0.2930991915,8.9531254010
12,0.9719103640,6.6099852176,5.9327714974
13,1.0184705999,2.5208866868,5.0889871855
14,1.0354079465,4.7563810656,0.9996909578
15,1.1310877749,0.4531190208,7.5056837520
16,1.2274135981,5.5629804251,7.8884466264
17,1.3265404402,2.2216667412,6.5959901256
18,1.3797086343,3.3556518895,1.4149172294
19,1.4043707799,4.1271704898,9.3247528915
20,1.5368977746,6.0012160847,7.5214161894
21,1.6999194596,7.5134702402,6.7242255227
22,1.7127550601,1.1821328240,7.9478414993
23,1.7505507388,5.5244936262,6.5330904005
24,1.7595964888,5.8609420621,4.6294237103
25,1.7604977393,6.5023008471,6.9676243653
26,1.7970699706,4.9967255977,8.2296253219
27,1.8052200737,6.8876484989,4.3629171977
28,1.8502982326,2.9877670575,3.3370492942
29,1.8955124824,6.9489008422,7.3260978877
30,1.9036100919,4.4013081002,3.0192564292
31,1.9312298411,4.7081489710,7.4368354348
32,1.9607102650,3.8654954338,9.5397918874
33,2.0064146762,1.3631513453,6.7856242497
34,2.0386549358,3.1132864972,3.7254331677
35,2.1090543892,2.6915321774,4.5552568204
36,2.1260159257,3.0657148532,5.1000945207
37,2.1262688408,6.9424130226,4.0111799039
38,2.1432610814,5.6005522211,4.6081445753
39,2.1573293762,3.6629542412,8.9416022314
40,2.1602199957,1.9135857568,7.8863478902
41,2.1859445853,6.9599120887,4.7381227135
42,2.1922312488,2.8975347670,4.0437090101
43,2.1959768609,8.3484334838,9.8416737652
44,2.2179331831,5.1116743666,8.7503388149
45,2.2531471610,1.2342815383,7.0844166878
46,2.2886460101,2.7162856780,7.6972020702
47,2.2926242133,7.1853860156,6.7727037308
48,2.3283151277,4.0995023748,9.6702752762
49,2.3620571105,4.2362951384,9.1988491890
50,2.3628937286,7.8406818559,8.6185291493
51,2.3893290345,4.2150008689,3.2075437545
52,2.4093696662,5.6258990716,3.0136911796
53,2.4181568316,2.4868889459,7.1931818280
54,2.4691121546,4.8402860922,4.8651224300
55,2.4734718650,1.3980382997,8.2535065094
56,2.4914878475,2.5483827997,6.7399792199
57,2.4928411331,7.5902006937,9.1796865216
58,2.5466571312,3.1090247864,5.1074770162
59,2.5733462727,8.8016014967,7.5549836544
60,2.5777034097,1.5196123972,3.8407012940
61,2.6040752056,6.9795007545,4.4142257364
62,2.6276801708,7.0691429833,8.7971521087
63,2.6814251987,6.1942093775,8.4092125720
64,2.7038171739,7.9749228404,5.3365151483
65,2.7100744460,5.3943244582,1.2304601311
66,2.7409675809,0.9031675757,9.4003755479
67,2.7539665405,0.5585620961,7.5558941652
68,2.7718779365,5.0528140024,3.9151430247
69,2.7954680784,5.6181723022,6.3991596816
70,2.8116802536,4.3287955994,8.2993171638
71,2.8298133763,1.7552071623,4.9182699560
72,2.8430325663,5.2568640861,8.4248061837
73,2.8859292432,7.5236139643,8.9083459896
74,2.9200591217,3.6056830703,2.4834208676
75,2.9475647855,2.3537754801,0.5181257367
76,2.9479905490,2.6750908832,3.3758921858
77,2.9535239257,7.2375907375,8.7241266948
78,2.9883075258,3.6819026654,1.0881282608
79,3.0135251538,3.2339922596,4.5486774047
80,3.0508288191,0.4884680335,3.0362439906
81,3.0682341180,0.6194653591,0.5319990966
82,3.1033787741,3.0139156408,3.5281877044
83,3.1092095200,5.0103351554,4.3188683834
84,3.1213007914,4.8766049247,7.1741333849
85,3.1340701142,6.4168891271,6.5409305813
86,3.1445557741,7.4133571838,9.6878005561
87,3.1699727244,0.8843766181,4.9281990951
88,3.1732706663,9.8929731862,9.9916441744
89,3.2193374566,0.2960374481,7.4503630530
90,3.2428731955,2.2649645704,2.9438939712
91,3.2926847388,5.9687138624,9.3919348141
92,3.3220240614,7.8919443347,7.9159551477
93,3.3676258062,3.5734411358,6.0618132709
94,3.3713057979,6.9355705171,1.7442909012
95,3.4091143748,5.2595544367,0.7039791730
96,3.4246773947,4.2683534033,1.6466769400
97,3.4347703146,0.5238311222,9.4840185370
98,3.4485830423,6.1895354752,9.4023472745
99,3.4739715420,6.8323817628,6.6279021841
100,3.4947101244,2.4712334956,6.3565758344
101,3.5092847641,7.2671615338,3.4894022041
102,3.5176506048,7.4043950165,7.7228289193
103,3.5336185541,3.7265796695,6.5784231012
104,3.5494412764,9.4731656012,7.8259045324
105,3.5503880792,2.7752149348,4.7106188065
106,3.5574705143,3.7617589238,0.3532157693
107,3.5578496402,0.1809289021,3.3451673823
108,3.5732012419,0.9786017320,6.8657640971
109,3.5892071924,2.9304913843,7.7528482000
110,3.5941234440,4.8571907400,4.3047085220
111,3.6302658947,8.3274647008,9.1649646228
112,3.6304818068,5.4050487572,9.2484584397
113,3.6701649935,9.2072002871,7.0517754778
114,3.6874728208,0.4375260063,5.8365160506
115,3.6914338720,4.2829888028,9.7332188807
116,3.7008393695,4.3735395103,6.7143535205
117,3.7151815607,7.0819484561,6.3663624866
118,3.7662290646,8.0882862950,9.8759885016
119,3.7900135856,5.5259788000,2.4544688209
120,3.8224116637,0.9393553010,8.2233889798
121,3.8461891732,7.0858215154,8.8761501397
122,3.8565323926,6.5108464758,6.1850133384
123,3.8631418197,5.8956203395,5.8253439658
124,3.8640984984,8.0548297675,2.9360827851
125,3.9149765393,3.8539553213,9.5302615152
126,3.9149869179,5.5215633770,0.5081194181
127,3.9187894017,8.5518775502,8.2765094321
128,3.9202701096,0.9040321618,6.6447857092
129,3.9276942487,1.2985569734,8.4241801928
130,3.9359559938,6.3459228579,7.4755680416
131,3.9517070128,8.3774817446,6.0236878244
132,3.9517929401,3.1213998527,9.9467247212
133,3.9524411854,8.3451481370,6.6704597962
134,3.9757790539,2.1830768213,9.1455122706
135,3.9877854014,7.5479377628,9.5289000559
136,3.9977235701,6.1138196893,3.6749159540
137,4.0110741689,4.4661528440,4.3258665150
138,4.0866830073,6.3695840088,0.7749526163
139,4.0968506061,8.1718550296,6.3499665570
140,4.1359274100,6.6897872504,9.9584054554
141,4.1471163895,3.5008649177,6.1233478180
142,4.1598315254,5.4765479384,9.2621561042
143,4.1615138779,6.1016160527,4.1005738970
144,4.1675081069,0.8743151814,8.9405924843
145,4.2338612200,3.9291103942,0.9620842287
146,4.2553994782,7.5484382449,2.7018333545
147,4.2562713924,8.2807272657,3.7761499412
148,4.2963889749,6.1138998101,9.3831737472
149,4.3083008732,9.8417727681,8.9119545912
150,4.3394177100,3.4880397844,8.9010304501
151,4.3482040504,9.0468232004,9.2518513878
152,4.3500508584,7.3195113484,9.2435674780
153,4.3662969661,0.2225596723,5.2599055809
154,4.3674408306,6.1229037030,0.9653231947
155,4.3680665448,6.5803717798,8.0417860665
156,4.3782133784,8.4564156229,8.3144258965
157,4.3872486237,6.0129135900,4.8891827317
158,4.3936545324,3.9715237192,8.6503705939
159,4.4125675554,8.9631546222,8.6538692614
160,4.4127734801,3.7917863839,3.3535297744
161,4.4131822353,7.6487758689,3.2966207845
162,4.4936474781,8.4472777691,2.7936304015
163,4.5042894880,7.4521886594,7.3078123387
164,4.5538276833,5.4119807580,8.2211289086
165,4.5812947790,0.0523372606,6.6663841376
166,4.6060684346,7.5566941611,5.1802728681
167,4.6627072955,2.9732822019,0.8658287116
168,4.6687927728,5.0571992891,2.3228121140
169,4.6939319194,1.1102848463,0.7738003399
170,4.7070349224,8.6621466330,1.1083769166
171,4.7129672966,1.0243792959,3.9637290925
172,4.7300900737,5.7989133258,3.6883819956
173,4.7303711180,1.7111374123,6.3225703776
174,4.7573585210,4.7938690026,1.9536675053
175,4.7755745709,3.5263842834,8.5721903773
176,4.7853197329,0.1076898267,7.9681210257
177,4.8535924613,1.3758266844,6.7225143713
178,4.8649152518,8.5185531433,4.9876134483
179,4.8813140619,2.7846274046,9.9998310294
180,4.9062702687,3.3786021688,5.5610534082
181,4.9205003921,2.6556493670,7.8337699958
182,4.9427523326,2.8661165498,6.8831868099
183,4.9629541166,3.4480118477,0.5823021933
184,4.9823267082,9.7429240910,8.4205205225
185,4.9844570000,5.7246063603,5.7499012392
186,4.9859069652,6.6829863301,6.6546180016
187,4.9950922998,3.1744953868,5.2110926291
188,4.9958250666,7.7218395190,7.2426484301
189,5.0095368096,5.0460657312,1.0791619319
190,5.0186307279,7.9152029791,1.5066701308
191,5.0252450790,2.8221671170,2.1147000566
192,5.0332458501,8.7943571437,1.6878578446
193,5.0671528248,8.3853840395,3.6166217768
194,5.0696440270,0.6081921949,2.6687492967
195,5.0847583143,7.1203898725,5.3951458324
196,5.1007126917,4.0758502666,8.0674032898
197,5.1237972012,4.8301634979,3.8635677457
198,5.1460429456,8.4724338456,1.1886740083
199,5.1616613788,2.2224916860,9.0641594200
200,5.1823736903,4.7017835379,6.5122350385
201,5.2227471492,1.3259250783,9.6366880633
202,5.2319742420,0.4998733392,1.9354848873
203,5.2330725759,5.0971255002,9.3215713549
204,5.2514391020,4.2234099951,7.8988317003
205,5.2630307722,8.7543494663,8.9236063441
206,5.2776677627,0.1591830533,3.5365738380
207,5.2909601131,9.7816975903,9.6784520996
208,5.3015468184,8.7506878308,6.7992562834
209,5.3034914717,4.7124955612,2.7407034035
210,5.3241105634,8.0208439470,1.2471499207
211,5.3367113711,2.2217162218,5.9654720416
212,5.3526795989,8.2923551360,5.8165321610
213,5.3627843587,5.5659011609,3.2886554871
214,5.3641961401,4.0981604154,3.9690334260
215,5.3701700943,3.1109912179,3.4779814212
216,5.4315322740,2.3196879396,5.2752778725
217,5.4333761707,2.2285256120,7.8219164983
218,5.4596190389,2.9119270701,5.1280272572
219,5.4693551825,1.6168001658,4.9603933927
220,5.5015450556,2.3293365516,6.3436288468
221,5.5444788255,3.5762212374,2.2061078872
222,5.5461562308,8.0627277981,1.8338547002
223,5.5551034072,8.0013565877,6.4399489665
224,5.5723351756,4.5648806444,4.4490426614
225,5.5756922591,1.8866180465,3.4985765574
226,5.5879708417,5.4620673164,5.1041128069
227,5.6176567927,2.7002716814,6.8058810682
228,5.6189558350,9.0070401546,4.9860649570
229,5.6338454735,3.6570199238,7.7389534182
230,5.6458004336,1.1342529231,0.5763426195
231,5.6476913178,7.0711117111,0.4339858531
232,5.6595070382,9.3796813936,9.4123954230
233,5.6665962562,7.5003595608,4.3504722798
234,5.6699228145,7.4907730673,0.4478123344
235,5.6785820356,7.5567761632,9.4167906447
