death_index,death_time,x,y
1,0.0928582847,1.0068335949,4.3567658250
2,0.1951892757,0.7360598542,2.8214111646
3,0.3027901926,6.0690324757,2.1445314477
4,0.3929049518,4.5335124280,3.9463256132
5,0.6663245278,3.6070155365,1.6194137880
6,0.6996540027,1.2278588484,6.2262974385
7,0.7226455466,2.2067743394,5.4519341817
8,0.7853023465,6.1224501396,4.6518807342
9,0.9106864402,4.1108887340,5.1992803229
10,1.0814373664,6.6474307443,7.4609449603
11,1.2239612129,6.4665629383,8.4628665445
12,1.3428939932,3.8327259897,5.5833200644
13,1.6961154239,4.1159314322,9.8507994017
14,2.0158090682,4.8021562537,5.5974185787
15,2.0608565357,1.0853132214,3.7823296697
16,2.3647057949,6.7836859683,5.7221576293
17,2.5286474230,6.4031150592,0.9725207769
18,3.0049164217,4.3122935431,9.9104513694
19,3.8085068655,5.4821058600,7.1403549215
20,3.9664985641,5.4417604032,6.9537513543
21,4.0633950155,2.7545053189,4.1296755761
22,4.1757082804,0.2896643218,5.4981304062
23,4.4005898633,3.3764268181,7.1822518420
24,4.4403993970,5.2804734113,4.5330481167
25,4.6652333534,1.8130798468,4.7393580397
26,4.7213721797,5.1843952536,0.2454781577
27,4.7507267859,7.0225944838,4.9072411020
28,4.9075175644,3.9024836020,3.8266432365
29,4.9648823589,4.4072636599,9.5940401386
30,5.2299952659,1.8502374999,5.2043994726
31,5.2708640573,1.8114249844,3.7984080280
32,5.2980338285,5.9674802675,6.1499940946
33,5.4227511967,4.2270977337,7.0289281761
34,5.6202568501,4.2237294267,0.8244109972
35,5.7647040220,0.4245669109,4.0564682884
36,5.7967185147,0.7553200139,4.5235520544
37,5.8316086243,0.3979418148,5.3179167565
38,6.1669507918,4.3834535491,2.1368074244
39,6.2049562571,1.0206041959,4.1146091269
40,6.2405602460,4.5458855346,9.0310078668
41,6.2455881251,3.5697475427,4.4442148809
42,6.2882466722,1.0448847464,6.1318801454
43,6.5238601502,0.8012633401,3.3800167789
44,7.0994467088,6.4246898949,8.1352229231
45,7.1525989502,0.5894475925,5.7636734226
46,7.2166177150,6.0817006825,8.2259396063
47,7.2614486727,1.7137572306,3.2276462100
48,7.5803828552,0.5085672314,6.3386335476
49,7.7992475049,4.2533197191,1.3354382768
50,8.0991861539,1.0262055245,5.8712918074
51,8.1743219416,5.9875237833,7.0745241230
52,8.8417437985,1.0561732915,5.8859104451
53,9.0736443643,4.2380604916,4.5868697739
54,9.3046635573,6.2023277575,9.8512816086
55,9.3441661240,6.4094240146,4.6175129509
56,9.3442195580,6.2383859966,8.7894784948
57,9.3902545499,6.1945236424,9.0296838481
58,9.8478969269,4.5463496987,2.6402430534
59,9.8741107085,1.5848951927,3.9041875625
60,9.9120432696,1.2046002760,4.1055422863
61,9.9319085978,5.4713348694,8.0436324159
62,10.0339763709,2.6335675951,3.7503863325
63,10.0362233956,5.6210610093,8.9855549272
64,10.2766789447,5.2638935403,9.7435126201
65,10.4250121689,5.2344066285,3.1804290097
66,10.5902188839,4.3698377672,2.9067209208
67,10.7198118270,5.5963277902,3.1163826385
68,11.1820638058,2.8352816957,4.2055537719
69,11.4782938862,3.8492964213,5.6208895898
70,11.9311299787,4.0077768493,1.2992194246
71,12.2030018025,5.7368920971,9.7609863024
72,12.3767227450,5.2508500757,7.9433934537
73,12.4120495177,4.0124710767,2.3351626729
74,12.4157369594,4.0681825250,0.8956196016
75,12.4173619850,3.1602151741,9.3460669891
76,12.4457049522,5.0460246071,2.5935948577
77,12.5545824576,5.6375366736,7.3585040059
78,12.5701506827,3.9987271911,9.1526351013
79,12.7147732057,2.7381060477,4.9136708081
80,12.7303672011,0.2145306154,4.0579523828
81,12.8605966666,4.3504557415,7.9504582664
82,12.8802421741,6.1385569735,1.8567425567
83,13.1280764037,5.4881159037,1.1661638507
84,13.1731677707,6.2257028417,7.3075021651
85,13.2067110214,5.9048521621,4.5764959105
86,13.3378909513,5.7553303393,6.2555861295
87,13.5732391363,0.2493786096,4.2282483571
88,13.6961853120,0.3769952006,3.7093153027
89,13.7932215435,6.4654438917,3.9043724671
90,13.9486659057,6.4108234172,2.9791569614
91,14.1955843422,5.3971062269,7.5635597958
92,14.2485083170,4.2047815098,3.2483263354
93,14.5596632245,3.4594462402,9.6995549604
94,15.8412502596,6.7620145703,5.2168293024
95,15.9386296637,5.1184103757,7.6128834610
96,16.1882966248,5.4989767871,6.6632274194
97,16.2483714060,4.5025459502,5.9184857183
98,16.5361940189,4.7735875839,7.0799257013
99,16.5727692307,4.8493568573,1.3679145450
100,16.8753853244,1.0725496316,6.6552447135
101,17.0354248076,4.6795799138,7.3381663611
102,17.7221413864,1.8148843132,7.0291465484
103,18.1351625401,5.7599545428,7.5764077352
104,18.2123129992,3.9699471822,7.5747963241
105,18.2525424692,2.6493556393,6.7861908110
106,18.2995270022,3.9184226538,9.3058885664
107,18.4718438269,4.1970393349,9.6384769560
108,18.7008517245,3.9606268834,9.7762896732
109,18.8602487086,5.3078152142,5.8103634771
110,18.9029600466,0.8074305699,3.7994127006
111,18.9116004022,2.7584317108,5.2124457668
112,18.9654459821,0.9801971601,3.9095129027
113,19.2964944876,4.0824437765,5.3534783188
114,19.4226989027,7.1706286950,0.5266980330
115,19.4481897125,1.7949086249,5.2791171750
116,19.5422812200,0.5591199880,3.6262866439
117,19.6009547581,5.0629975158,3.2878426400
118,19.7687029950,3.4512801682,6.9670914070
119,20.1265971647,3.6242945577,5.7491743074
120,20.5625550200,5.0637599915,7.3128871721
121,20.8185643644,0.3184657022,3.1409486189
122,20.8615038268,0.2011743511,4.0899437053
123,20.8862648236,6.4965598047,1.4504842773
124,21.1376885115,6.1148452973,6.6877211400
125,21.1699689940,3.2573544765,5.5760664492
126,21.2080915259,1.0206892587,4.8340628156
127,21.2972533039,6.2028820488,1.9261991057
128,21.4275373121,6.1716485897,1.7391405523
129,22.3552581948,2.3499352465,4.7976957075
130,22.7266421387,5.3340537529,2.3782916234
131,22.9292747540,5.4288306527,6.7412024739
132,22.9607266253,4.7566054425,0.4563602118
133,23.0807670343,3.6051445512,5.5195367300
134,23.2688307996,0.5905017310,3.8967932240
135,23.7163756055,5.7047845003,1.7389863404
136,24.0334120186,1.9312812344,3.5272048711
137,24.3845459242,3.4862123466,6.0579317423
138,24.4213669583,4.2368518128,6.9833407115
139,24.9646655123,4.9208567278,0.9540138230
140,25.1281003117,3.7902420860,2.6596891317
141,25.1346858675,1.1643717581,6.1935926337
142,25.7683219795,5.0509704014,5.0681871895
143,25.8213802753,2.2657206065,4.5403398224
144,25.9079294159,6.5533450031,3.2439912242
145,27.4929125082,3.4944968711,9.6178135201
146,27.6281585417,2.1420971494,4.0478231643
147,27.6747915494,3.7346325932,7.1657674660
148,27.7086389321,3.4966588197,7.5574552925
149,27.8108294995,4.0964234942,1.8216277420
150,27.8194705947,4.0498400730,9.7321410242
151,27.8609986127,2.2933891162,5.6237869487
152,27.9697467335,5.5133362293,9.0875796901
153,28.0535406395,2.8906103137,4.2866934652
154,28.0594097602,4.5919452248,2.4299545246
155,28.1296888160,6.8288577227,7.5467823323
156,28.2149390512,3.9340275889,8.3519127714
157,28.2455325748,5.6224720929,9.9273770141
158,28.4454711716,3.3631342227,2.1997699992
159,28.5990294843,4.3803767893,8.2211460257
160,28.6937473876,2.9211819432,9.7970183334
161,28.7991114658,3.5194227521,7.6483739944
162,28.9306760913,1.6609736909,3.6134017770
163,29.4350435412,6.1700596928,6.5263551868
164,29.8694459615,6.2575663912,0.5427604576
165,30.4061643867,0.7005904841,5.5362152568
166,30.7026775998,3.7729856358,3.8561804924
167,30.7251502853,3.1213263499,6.6494541764
168,30.7626663154,4.9046433169,0.5715869259
169,30.7714312733,5.7930902145,4.5967860982
170,31.1204298127,3.8656665938,7.5461792145
171,31.1782952942,3.9570557851,2.4542712677
172,31.7353425018,6.0294441879,8.9941649629
173,32.1440129311,6.3627211078,5.9927908974
