death_index,death_time,x,y
1,0.2831394460,3.6481504248,5.1615547398
2,0.3296276493,5.8171293256,1.4572091292
3,0.4807223784,0.9466313902,3.7805270300
4,0.4967977232,4.6407794557,7.2123714010
5,0.5589158507,4.0285858496,3.5749590160
6,0.5741425464,3.8979190942,4.8506015960
7,0.7484850918,6.5397753089,2.2004874491
8,0.9136216598,5.9333275257,3.1387145591
9,0.9444577111,0.7971241831,6.6109632176
10,1.1012800686,3.1982567512,2.7298447563
11,1.1121054619,3.2736246512,7.7921596611
12,1.1128899676,3.6281654844,8.6881530118
13,1.1194253871,2.8014401541,8.0436551612
14,1.1309097749,6.3316971267,7.0922222993
15,1.1416039611,0.3161733290,6.7461179640
16,1.1601072632,2.4411146652,0.7038869194
17,1.2687503526,5.2410522287,9.6812523682
18,1.3166869263,6.2673532359,9.5221673982
19,1.3187302793,0.2803233826,5.8092879198
20,1.4062943316,8.1652610079,7.3810214525
21,1.4183343568,1.2429995326,2.6501341122
22,1.4225853701,1.5094445122,4.9178346031
23,1.4354204131,1.4841784567,1.6112520635
24,1.4568686799,5.0056351019,0.0142111467
25,1.4883475739,7.7324924980,8.3658899695
26,1.4888432017,4.0432851605,1.1625559291
27,1.5065339897,5.2956745440,0.4544188366
28,1.5256104988,6.8257430689,6.0238604477
29,1.6158521042,7.9195613067,0.9685438111
30,1.6686073740,6.5650218345,9.9388561490
31,1.7284616687,1.9532148402,5.3199718897
32,1.7571446700,9.0374233096,7.9310147242
33,1.7682893271,9.4344845614,6.7070170048
34,1.7893332648,6.8848862381,0.5167065285
35,1.8238352722,6.2895625159,8.2508353857
36,1.8295805371,0.4820302527,4.1933503781
37,1.8500715374,9.2220834715,7.4832397445
38,1.8713049180,8.2327376982,4.2705275988
39,1.8985708646,3.5310487726,1.1174997940
40,2.0605548623,1.8233810816,7.0813508030
41,2.1122053172,2.0373770089,3.5539783716
42,2.1197971805,1.1339053759,4.8514960293
43,2.1310663084,8.8720198040,5.3274850093
44,2.1435920164,7.5783664157,8.1307574392
45,2.1663489026,9.7460107387,6.8572525775
46,2.2247885042,3.2613045049,4.0759820449
47,2.2651185724,6.4636420556,6.6450098908
48,2.3327754641,3.9252477475,5.8284656732
49,2.5142346843,6.9245805162,5.6195099178
50,2.5502513551,5.7376551367,7.3306319314
51,2.5604731960,8.1797784093,1.6597590082
52,2.5875848470,0.1451427735,8.1381781682
53,2.6247154400,7.1609459979,5.6615762504
54,2.6998884179,5.6750694064,6.3011398881
55,2.7062398461,1.1439074912,8.9682535552
56,2.7191368923,4.4845457447,5.4836730584
57,2.7379092200,8.2927197882,1.9458106876
58,2.7434857551,3.5763577626,4.4147481757
59,2.7471428697,8.6134017678,8.9858428617
60,2.7735710736,6.7668533007,3.4468156246
61,2.8102121862,4.6330184523,8.8652492209
62,2.8408069996,0.0614118161,9.5664368703
63,2.8641867499,5.9002215505,2.3330834356
64,2.9079972648,5.2305124045,1.6104546452
65,2.9168540116,4.5131187718,7.4498033301
66,2.9222421900,2.4320086121,9.2274487895
67,2.9246116378,5.1244033204,8.4651390187
68,2.9305178313,7.5384896248,9.5855542345
69,2.9447877323,3.9407484557,5.6813482411
70,2.9529499650,3.6042487574,1.1140899904
71,2.9726804520,1.4410237319,8.9877117801
72,2.9822137660,7.4744180848,2.8517997005
73,3.0147490218,2.5721804762,2.8117106711
74,3.0262767102,7.6926095460,0.9090659776
75,3.0424098387,9.0153938555,9.1847978940
76,3.0539562406,4.2277341306,8.1309200361
77,3.0598687756,5.3884369077,7.3301010256
78,3.0947401467,0.9722207826,9.2851299109
79,3.1057295189,5.6059152301,5.1817379836
80,3.1179976995,3.8572454226,2.9063685345
81,3.1256675036,3.4181943594,2.4897607092
82,3.1415503630,3.8797960020,0.0302635892
83,3.1484782586,4.1094392997,4.1964608124
84,3.1581987478,1.6250904969,2.9159237072
85,3.1837842046,6.3970379766,1.5677181121
86,3.2049885779,7.4810443626,7.9787774293
87,3.2480473101,6.8103779787,9.6895682286
88,3.2486506387,8.2808469261,3.8267735602
89,3.2834587975,3.9959319683,8.7928797357
90,3.3277258134,5.5004576194,4.1060687573
91,3.3397505822,5.4617395235,1.3974189110
92,3.3981257218,4.1560133246,2.2104934851
93,3.4140842656,7.1022433573,9.9926115218
94,3.4561226480,4.4613928936,5.9005228863
95,3.4636477471,4.2329764277,9.0693929447
96,3.5275192795,8.0204738482,0.7337289996
97,3.5340444401,0.2751692126,8.2977786605
98,3.5529631883,5.1151809585,9.7832036660
99,3.6033572702,2.7560119124,1.7268735325
100,3.6291894918,6.0551218263,3.1821793388
101,3.6708185469,7.3996039238,7.0271762786
102,3.6718309619,6.6244871010,0.8412851698
103,3.6723138671,0.8340782850,1.9107714015
104,3.7143741952,3.5683841604,3.0437226789
105,3.7184535018,5.0031642533,3.2019091899
106,3.8984946669,7.7007049962,0.1970809955
107,3.9842330002,9.1147647198,0.1977650350
108,3.9879020609,2.0593766578,5.1546651295
109,4.0734812588,7.1651772952,1.2052692166
110,4.0789561682,2.2553529569,9.4932423865
111,4.1161308454,2.2551269800,4.0469694777
112,4.1684164424,1.5043426835,1.9183897419
113,4.1724746736,0.7186700931,2.9401829829
114,4.1760717653,5.3426615904,6.9868949996
115,4.1840084887,0.9890767704,7.5292276822
116,4.2268333121,1.7212623962,6.4158993881
117,4.2383402488,9.5834319669,5.1170695111
118,4.2778422770,3.3941055185,7.1720188949
119,4.2901945899,5.8064300965,5.6943430027
120,4.3809151022,0.6372802528,6.1765338203
121,4.3913735959,4.9242503973,6.6458963694
122,4.4159611892,8.5858359510,5.4049599741
123,4.4400087425,1.8557492464,2.8857870375
124,4.4546838082,9.1734820009,9.0481967146
125,4.4565613756,2.9944558870,4.9833437523
126,4.4933438679,2.1469750144,8.5477111555
127,4.5146585114,2.3129972506,8.2819517715
128,4.5337790117,6.7354656309,0.9146970810
129,4.5351559193,4.5125276292,9.6163108024
130,4.5406784549,9.7740082740,9.5844049344
131,4.5477181144,0.2189259260,3.7790081109
132,4.5559992860,8.2545458860,8.4394448057
133,4.5561395108,2.7447577418,8.9892270585
134,4.5690888836,2.4710520942,6.8885104030
135,4.6671648549,5.9684321136,6.6281170775
136,4.6796814206,8.2184820160,7.5824816150
137,4.7111016655,0.8497194474,9.3584821346
138,4.7177748723,1.2600533347,8.6023050504
139,4.7394504982,4.0243914688,5.8594406813
140,4.7630866909,8.3432902418,1.5131096659
141,4.8261217034,9.0349558304,0.8861787501
142,4.8866239041,3.0026170477,6.0085508967
143,4.9445469750,0.8243680487,7.0876025357
144,4.9493475628,8.8173150529,8.1534234243
145,4.9851262908,9.9274194542,4.2641196462
146,5.0131885693,5.1023642286,9.4651913928
147,5.0230066473,3.0734135600,5.2437559359
148,5.0691068837,1.9819394443,0.7208600726
149,5.1165259456,1.5678155942,8.6778062624
150,5.1257703812,6.0349980113,6.8344080612
151,5.1315008723,8.3811672554,0.8262800514
152,5.1614632600,8.6675018386,6.7789308241
153,5.1793306245,2.7431438038,0.7017677694
154,5.1831180478,9.6699739886,9.5862056406
155,5.2399167111,7.1473936100,9.8907228106
156,5.2724798297,6.7382927396,1.3035084389
157,5.3053919277,9.5636006735,8.4637922899
158,5.3522034868,5.7951079795,8.0831832835
159,5.3877240962,0.7814895180,7.0012844201
160,5.4118432164,5.6924472328,6.2358008497
161,5.4138869178,8.0802062825,9.8392545828
162,5.4607729534,9.9201207169,6.8053685291
163,5.4917830836,0.0135627018,4.0443754897
164,5.4985756020,9.5052861096,7.8022664326
165,5.5486983290,8.8708954020,6.0325754452
166,5.5574678543,4.3493319780,9.1101713728
167,5.5811073716,8.7603391707,5.3821708382
168,5.6186089543,8.3595070836,5.7707988513
169,5.6908004657,2.9354653827,8.9320537006
170,5.8209430942,3.3836901278,9.1351023165
171,5.8543353718,1.3387865025,9.4786556833
172,5.8622097937,0.5782843941,1.4163868056
173,5.9036376821,8.1592664688,7.1509628453
174,5.9052795543,6.1928456428,8.4192490126
175,5.9259234136,6.4834220309,4.9742182641
176,5.9527699972,7.7980788778,7.1310793973
