analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,10.2355748893,0.0181675392,1.8454588019,2.5933199586,0
2,502,10.2467423975,0.0293350474,0.9724806961,6.6126466646,1
3,503,10.2488626801,0.0314553300,9.1236076985,6.8691064189,0
4,504,10.2728416768,0.0554343267,4.6676471518,5.7644524837,1
5,505,10.2757776622,0.0583703122,2.2356524903,9.8435490612,0
6,506,10.3141669794,0.0967596293,7.0257474004,2.9153778099,0
7,507,10.3201476719,0.1027403219,2.7650574402,8.9846953755,0
8,508,10.3288658389,0.1114584888,6.9265216846,7.3429809332,0
9,509,10.3607694868,0.1433621367,4.5392728623,3.8215334994,1
10,510,10.3627871444,0.1453797943,9.9327527644,2.2954480447,0
11,511,10.3631216290,0.1457142789,4.0450668940,6.6481503443,1
12,512,10.3857998710,0.1683925209,9.2255829392,4.6373721686,0
13,513,10.3964474872,0.1790401371,1.4494015056,6.1852698301,1
14,514,10.4074745533,0.1900672032,5.3386857513,2.6052765597,1
15,515,10.4110181972,0.1936108471,3.3444055341,4.6224302723,1
16,516,10.4122407464,0.1948333963,9.9361750777,9.1276347188,0
17,517,10.4182719218,0.2008645717,8.7778537477,0.8867723264,0
18,518,10.4183057482,0.2008983981,5.0782067064,6.6763228932,1
19,519,10.4338778062,0.2164704561,6.5834712894,3.0001646422,1
20,520,10.4345074807,0.2171001306,8.3110721938,3.1167029879,0
21,521,10.4424692302,0.2250618801,1.1400274682,3.5729174542,1
22,522,10.4652806064,0.2478732563,8.8481592000,4.0641329070,0
23,523,10.4817340291,0.2643266790,1.3224468063,3.2317871543,0
24,524,10.4886150119,0.2712076618,3.1907570676,3.6004857515,1
25,525,10.5011312665,0.2837239164,2.2802581999,3.7219110585,1
26,526,10.5051012423,0.2876938922,3.3225121864,5.6229020917,1
27,527,10.5113947934,0.2939874433,6.0060830207,5.5742959095,1
28,528,10.5393819798,0.3219746297,3.8467024444,4.8776310015,1
29,529,10.5523177024,0.3349103523,5.5951724088,6.6525314296,1
30,530,10.5574984133,0.3400910632,6.4734344676,6.5484507796,1
