analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,25.4596134625,0.0979091310,4.1464722787,2.8714172264,1
2,502,25.4910116057,0.1293072741,2.6425084726,2.5918785249,0
3,503,25.6147906199,0.2530862883,8.6578718246,1.5016472841,0
4,504,25.6212282875,0.2595239559,1.0291123129,1.3383305452,0
5,505,25.6333845925,0.2716802610,9.0304358712,2.0934062362,0
6,506,25.6783764968,0.3166721652,3.4354228697,6.8584562092,1
7,507,25.7838509748,0.4221466432,8.5787805376,0.2849222097,0
8,508,25.8396607873,0.4779564557,9.6070372477,6.0109189069,0
9,509,25.8735957771,0.5118914455,0.8388032119,7.1352541535,0
10,510,25.8838188254,0.5221144938,4.8895880741,0.1519124896,1
11,511,25.9136627851,0.5519584535,0.8090892962,8.2129636734,0
12,512,25.9863800738,0.6246757422,6.1501831542,3.0067082402,1
13,513,25.9955110369,0.6338067053,3.3015963226,9.9054406618,0
14,514,26.0524439432,0.6907396116,8.8257764548,5.7445575531,0
15,515,26.0692791343,0.7075748028,0.0588726546,3.0907640685,0
16,516,26.1136312876,0.7519269560,2.2532473373,7.3990451983,0
17,517,26.1262433721,0.7645390405,8.0658834413,1.2251140727,0
18,518,26.2007670969,0.8390627653,6.0730623830,4.9892920715,1
19,519,26.2834943519,0.9217900203,5.0202498610,0.5558516321,1
20,520,26.2844625693,0.9227582377,1.5812374786,7.9441481291,0
21,521,26.2869193871,0.9252150555,5.7066471728,0.7718527060,1
22,522,26.2979126812,0.9362083496,9.8223193765,6.5197688637,0
23,523,26.3735539881,1.0118496565,8.0834990779,0.2391293282,0
24,524,26.4186474445,1.0569431129,0.1904162839,4.4526591435,1
25,525,26.4669177593,1.1052134277,0.5290114724,6.2673243338,1
26,526,26.4744892432,1.1127849116,0.9899395259,3.4332690507,1
27,527,26.4904833902,1.1287790586,0.7571493594,9.7002034233,0
28,528,26.6163502568,1.2546459252,0.3784453965,4.2591071920,1
29,529,26.6431637281,1.2814593965,4.8096461987,1.2265434045,1
30,530,26.6585055380,1.2968012064,7.2076440436,0.1130533936,0
31,531,26.6939019708,1.3321976392,0.6864483501,7.6271594125,0
32,532,26.7033768336,1.3416725020,8.9257859473,6.5118756671,0
33,533,26.7222838508,1.3605795192,1.0162616369,5.1726408549,1
34,534,26.7412832991,1.3795789675,0.3755994144,8.8425566298,0
35,535,26.7428162218,1.3811118902,8.4686497706,4.5943623382,0
36,536,26.8164242103,1.4547198787,0.8513082275,9.8606904537,0
37,537,26.8316601051,1.4699557736,9.4540387963,0.3678401014,0
38,538,26.8452737243,1.4835693928,0.9172069154,8.6692356699,0
39,539,26.8672927639,1.5055884323,2.3694565748,3.9816634525,1
40,540,27.0188479152,1.6571435836,5.7902885803,0.0030304930,1
41,541,27.0584706888,1.6967663573,3.5497251126,7.0199807715,1
42,542,27.0870403413,1.7253360097,9.7112589887,3.4831837637,0
43,543,27.0948612743,1.7331569427,9.0160352150,5.8292346394,0
44,544,27.1211398213,1.7594354897,1.4837222765,6.5409208904,1
