analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,10.0106554524,0.0119456218,0.7536733907,9.5420258446,0
2,502,10.0139920310,0.0152822004,8.6789757440,6.0320947955,0
3,503,10.0295999000,0.0308900694,7.7117684080,1.3593079429,0
4,504,10.0325240479,0.0338142173,5.8489465558,2.5545639902,1
5,505,10.0408712544,0.0421614238,2.4109356610,5.5428051545,1
6,506,10.0434812105,0.0447713799,4.9061110168,5.1965129959,1
7,507,10.0553925177,0.0566826871,7.6196307738,7.8879725729,0
8,508,10.0716914834,0.0729816528,7.8000522832,9.1191769917,0
9,509,10.0725429094,0.0738330788,1.5472460567,6.0949524594,1
10,510,10.0852672095,0.0865573789,6.1439629134,9.5012705836,1
11,511,10.0977064171,0.0989965865,4.4598367039,8.5828403105,1
12,512,10.0978637148,0.0991538842,7.3807913487,6.7436312679,0
13,513,10.1392822480,0.1405724173,1.6423101387,0.3958817550,0
14,514,10.1408434601,0.1421336295,7.2107681183,0.5812244814,0
15,515,10.1743658195,0.1756559889,0.5484895839,3.2729500397,0
16,516,10.1955509211,0.1968410905,9.3583229647,0.5297207389,0
17,517,10.2089245501,0.2102147195,2.6556842547,7.3451849195,0
18,518,10.2119496455,0.2132398149,1.8826384839,8.4743212446,0
19,519,10.2208110233,0.2221011927,9.7814599182,3.5021934126,0
20,520,10.2255009551,0.2267911245,2.0545264293,3.0078948120,0
21,521,10.2331707326,0.2344609020,1.0482203894,2.3992069377,0
22,522,10.2575418942,0.2588320636,4.0764477564,2.3820959268,1
23,523,10.2616599089,0.2629500783,7.1235934199,6.3551553297,0
24,524,10.2756017150,0.2768918844,7.1176278375,3.2657862627,0
25,525,10.2991314848,0.3004216542,0.7174780196,6.7825386825,0
26,526,10.3221141220,0.3234042914,8.0804191887,8.2609974100,0
27,527,10.3584823310,0.3597725004,3.9526371981,4.2520889816,1
28,528,10.3770918325,0.3783820019,6.9766803387,8.1057791376,0
29,529,10.4102434191,0.4115335884,0.3105134215,1.8372466639,0
30,530,10.4247647182,0.4260548876,1.7755875083,8.4199255776,0
31,531,10.5061007173,0.5073908867,2.4855536825,4.8864862444,1
32,532,10.5164354587,0.5177256281,0.5504957278,3.0075101718,0
33,533,10.5307358951,0.5320260645,0.2058396546,2.9601690786,0
34,534,10.5365409881,0.5378311575,4.8026357106,8.2540430335,1
35,535,10.5473957538,0.5486859232,6.9106118032,5.3880724341,0
36,536,10.5598986841,0.5611888535,6.3207464818,0.7883699187,1
37,537,10.5965568111,0.5978469805,1.5460990670,3.3780238345,1
38,538,10.6158206340,0.6171108034,5.3012661338,8.2157646256,1
39,539,10.6510524236,0.6523425929,9.9022896102,4.8797551181,0
40,540,10.6644726063,0.6657627757,1.4168252283,0.0090915258,0
41,541,10.6695034785,0.6707936479,8.3021636248,5.8895571451,0
42,542,10.6839499920,0.6852401614,5.7824872620,0.3001051466,1
43,543,10.7079672097,0.7092573791,2.6171762494,0.7086467664,0
44,544,10.7245086451,0.7257988145,5.0048610862,9.3192351583,1
