analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,92.8398998906,0.2076008734,5.9955740092,0.8918835045,1
2,502,92.8880414552,0.2557424380,5.8984908629,1.5105068286,1
3,503,93.7026819242,1.0703829069,6.1265153724,5.7901526929,1
4,504,93.8076558671,1.1753568498,2.9094586912,3.7906648111,1
5,505,94.0327429810,1.4004439637,5.8775318041,5.3415730952,1
6,506,94.0427218614,1.4104228441,3.7685420998,1.3300552350,1
7,507,94.1418320367,1.5095330194,2.2451949335,6.1587564926,1
8,508,94.2036174898,1.5713184725,5.3657973175,5.0450054120,1
9,509,94.2357907588,1.6034917415,4.3520074485,4.1075986014,1
10,510,94.3734896573,1.7411906400,4.0261500516,4.3900048882,1
11,511,94.5150597965,1.8827607792,2.9492490699,2.5550582166,0
12,512,94.5707762645,1.9384772472,4.6657027740,6.3471334405,1
13,513,94.9425681573,2.3102691401,4.9588631919,3.2679571180,1
14,514,95.1889298336,2.5566308163,4.4671707400,7.8335193921,1
15,515,95.3825622249,2.7502632076,5.4798706917,2.6662129102,1
16,516,95.4608765893,2.8285775720,4.6007909449,3.3114147194,1
17,517,95.5775455680,2.9452465507,5.4179563398,4.9424548976,1
18,518,95.8131863906,3.1808873733,6.4812384560,7.7767076035,1
19,519,95.9595918824,3.3272928651,3.6288708014,0.2603111365,1
20,520,96.3131920925,3.6808930752,3.7074334962,9.2728073181,1
21,521,97.1308727707,4.4985737534,4.5270393401,7.3322359405,1
22,522,97.4673632916,4.8350642743,5.9857399381,9.8676376459,1
23,523,97.6171492093,4.9848501921,5.4824055464,8.7480166179,1
24,524,97.8560194736,5.2237204563,4.8383189491,7.7342132043,1
25,525,97.8876713353,5.2553723180,6.0327375183,0.4815947435,1
26,526,97.9681788187,5.3358798015,4.1004627722,8.9290722836,1
27,527,98.0553638262,5.4230648089,2.0977920165,5.5979778439,1
28,528,98.0696512208,5.4373522035,3.7872500014,1.8594569775,1
29,529,98.0959787349,5.4636797176,4.8625517346,0.4597447369,1
30,530,98.1510533369,5.5187543196,4.7618553932,6.2276197326,1
31,531,98.3998611718,5.7675621545,2.2083133169,5.1525193347,1
32,532,98.4300419257,5.7977429084,3.2845830464,1.0626316188,0
33,533,98.5144527365,5.8821537192,6.5173558977,7.3500623910,1
34,534,98.5380178507,5.9057188334,3.6543989615,4.5103778518,1
35,535,98.5606762148,5.9283771975,3.6319145162,7.6012272111,1
36,536,98.6637375877,6.0314385705,0.8713468581,6.2677846919,1
37,537,99.2653404919,6.6330414746,1.6908358667,4.1314080898,1
38,538,99.5227586153,6.8904595980,3.7679172769,4.7239252479,1
39,539,99.7123789217,7.0800799044,6.0356635940,1.7837607675,1
40,540,99.7328226550,7.1005236378,4.0475318176,4.0188910699,1
41,541,99.7339417853,7.1016427681,2.1700797059,4.1958403760,1
42,542,99.8221798102,7.1898807929,6.2819915381,6.9127938375,1
43,543,99.8704257521,7.2381267349,3.9783376249,6.2989794347,1
44,544,100.0030030281,7.3707040109,2.4849731466,3.6715526798,1
45,545,100.0090815299,7.3767825126,3.6360263859,5.4617083010,1
46,546,100.0180990846,7.3858000674,4.5360107888,3.4025394977,1
47,547,100.1560230825,7.5237240652,6.6500337867,6.4596370128,1
48,548,100.2359712595,7.6036722423,5.0082705651,7.0648903541,1
49,549,100.2535565489,7.6212575316,4.4157913644,6.7380424810,1
50,550,100.2721792623,7.6398802451,6.6373842341,5.4081449487,1
51,551,100.3599556229,7.7276566056,6.7810250550,6.1313537592,0
52,552,100.3678237000,7.7355246827,6.2655343150,7.2978318331,1
53,553,100.4296844113,7.7973853940,4.6263714205,9.6778505017,1
54,554,100.4316930975,7.7993940802,5.7848293448,4.8313437088,1
55,555,100.4911465956,7.8588475783,5.3659699135,5.1043779572,1
56,556,100.5449843092,7.9126852919,5.9445666997,6.0598558444,1
57,557,100.9588959510,8.3265969338,0.4730840344,5.1195656798,1
58,558,101.1425770791,8.5102780618,6.1234144505,1.3711979527,1
59,559,101.1561427609,8.5238437437,0.0680469899,5.9169880904,1
60,560,101.3299851043,8.6976860870,5.7811750147,1.0850079885,1
61,561,101.3315811932,8.6992821759,5.0165799621,7.8853333524,1
62,562,101.3820246380,8.7497256207,5.9087291849,9.3404860322,1
63,563,101.4370735953,8.8047745781,3.7145106726,5.5347716967,1
64,564,101.5022006461,8.8699016289,5.8001069889,2.3662492657,1
65,565,101.5856052512,8.9533062340,0.8155050829,5.5646780120,1
66,566,101.7111850783,9.0788860610,4.5334072841,3.7870160318,1
67,567,101.8678992035,9.2356001863,2.0524832206,5.5452763211,1
68,568,101.9659329925,9.3336339752,5.8215880683,4.1586580250,1
69,569,102.1644572749,9.5321582576,6.5601509602,1.4348471503,1
70,570,102.2543743038,9.6220752865,5.4383581686,7.6284446257,1
71,571,102.6891620984,10.0568630811,3.8306196854,0.9535859818,1
72,572,103.1637400465,10.5314410292,6.9653502273,4.4960513074,0
73,573,103.7669621688,11.1346631515,5.1590449906,1.1957157640,1
