analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,14.0534010837,0.0167757272,3.2295900116,1.6581218454,0
2,502,14.0767940838,0.0401687273,2.9182311955,5.8892322906,1
3,503,14.1005978217,0.0639724652,1.4815748377,0.4093924878,0
4,504,14.1053090628,0.0686837062,3.1122160142,8.3605787094,0
5,505,14.1166900475,0.0800646910,9.5374174968,9.7477795940,0
6,506,14.1691733210,0.1325479644,3.7530048291,1.9542882019,1
7,507,14.1791783036,0.1425529471,5.1045238840,0.2078125887,1
8,508,14.1957244106,0.1590990540,0.1585503082,8.7834435166,0
9,509,14.2048007892,0.1681754327,1.6927289799,8.9499575158,0
10,510,14.2316898604,0.1950645038,1.9104780033,2.8973177178,0
11,511,14.2497175486,0.2130921920,0.7463263328,8.3243000794,0
12,512,14.3061037514,0.2694783948,9.6751786724,6.8404326624,0
13,513,14.3185769724,0.2819516158,8.8572146635,2.3107594212,0
14,514,14.4751274412,0.4385020846,4.8013024718,5.2318278214,1
15,515,14.4885890977,0.4519637411,4.0421934052,5.7356961705,1
16,516,14.5252760119,0.4886506554,2.3713498059,9.7412286804,0
17,517,14.5423111029,0.5056857463,4.0907870544,4.2523032737,1
18,518,14.5553143715,0.5186890149,2.8060907509,3.2238705419,0
19,519,14.5908156837,0.5541903271,5.1796801566,6.8906450202,1
20,520,14.6088509678,0.5722256112,9.1665857306,2.2225192533,0
21,521,14.6212991909,0.5846738344,9.6587795863,9.8814825565,0
22,522,14.6775761035,0.6409507469,4.3815563608,0.3435370357,1
23,523,14.6858718686,0.6492465121,5.1656564612,4.6816818445,1
24,524,14.6906315122,0.6540061556,4.3679298510,6.5444049959,1
25,525,14.7096443662,0.6730190097,9.7266070427,6.4657180771,0
26,526,14.7143424699,0.6777171133,0.6379258806,9.1682947966,0
27,527,14.7186869540,0.6820615975,2.8752436691,8.4399068754,0
28,528,14.7247585642,0.6881332077,9.0327486542,7.8464801910,0
29,529,14.7749389272,0.7383135707,1.1093181788,8.8110818381,0
30,530,14.7817823894,0.7451570328,6.4878741436,1.1959073688,1
31,531,14.8178354413,0.7812100848,8.4415525523,9.7665860255,0
32,532,14.8363022208,0.7996768643,6.4579778398,3.6559831383,1
33,533,14.8417985472,0.8051731907,6.2932398024,2.7839725982,1
34,534,14.8675140582,0.8308887017,8.2565468019,4.0978954884,0
35,535,14.8945350986,0.8579097421,9.3809456310,3.6959863895,0
36,536,14.9137412374,0.8771158808,0.2622979063,5.5670743336,1
37,537,14.9243955198,0.8877701632,5.7635498876,6.7054763989,1
38,538,14.9361046863,0.8994793297,8.5745526992,4.1038150515,0
39,539,15.1148423526,1.0782169961,5.8476945929,2.3155150529,1
40,540,15.1167299999,1.0801046434,2.8743190282,8.7985930798,0
41,541,15.1534696552,1.1168442986,3.5450020444,7.7928892205,1
42,542,15.1583164219,1.1216910654,1.4495921797,6.6457924020,1
43,543,15.1713104592,1.1346851027,3.2622463166,8.4210225682,0
44,544,15.2149728125,1.1783474559,4.9136223767,4.2264341572,1
45,545,15.2349266699,1.1983013133,6.6013708197,5.4392827967,1
46,546,15.2430845437,1.2064591871,7.7370810198,5.8228960863,0
47,547,15.2484602620,1.2118349054,1.4120000229,5.3976879514,1
48,548,15.2662935599,1.2296682033,1.5677546176,9.9360045132,0
49,549,15.2666852454,1.2300598888,8.6341475243,8.2399571200,0
