analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,13.9497615552,0.0271756812,3.1567897081,9.2712160085,0
2,502,13.9777023390,0.0551164650,0.2517225975,6.9135475056,0
3,503,13.9944509962,0.0718651221,9.7300798564,8.0753436652,0
4,504,14.0430940593,0.1205081853,0.0450794986,9.2991804505,0
5,505,14.0437194406,0.1211335666,4.6204875809,7.2185386889,1
6,506,14.0709711151,0.1483852411,8.2951860929,0.7462283710,0
7,507,14.0750577632,0.1524718891,7.7132996878,4.3470283893,0
8,508,14.0805301254,0.1579442514,7.2795606963,4.4610248902,0
9,509,14.0980071948,0.1754213207,8.4518762880,0.9241629310,0
10,510,14.1258358645,0.2032499904,9.5446580861,1.2598080093,0
11,511,14.1740011710,0.2514152969,4.6656909552,9.8532530834,1
12,512,14.1786851810,0.2560993069,0.8414529341,3.2930506155,0
13,513,14.2168585295,0.2942726554,9.1029237241,8.0467362496,0
14,514,14.2361766111,0.3135907371,0.7977009154,6.5272574423,1
15,515,14.2500187095,0.3274328355,9.5055966801,6.3173165131,0
16,516,14.2724390647,0.3498531906,2.9217962778,8.1035317030,0
17,517,14.2962372955,0.3736514214,1.2865407437,7.6926917467,0
18,518,14.3196625719,0.3970766979,5.9258134033,8.7239362363,1
19,519,14.3245716957,0.4019858217,5.4367727105,5.9437269038,1
20,520,14.3392100490,0.4166241750,8.5553512893,7.6435116234,0
21,521,14.4726436421,0.5500577681,6.3760167451,7.6996699444,1
22,522,14.4876407701,0.5650548961,8.3520996510,3.0449122777,0
23,523,14.5066305189,0.5840446449,9.0694411331,3.6007801950,0
24,524,14.5247812374,0.6021953634,0.0951013519,6.0939780147,1
25,525,14.5475003181,0.6249144441,3.4550422434,6.7810635821,1
26,526,14.5519742553,0.6293883813,7.6606362744,6.9359539744,0
27,527,14.5538767614,0.6312908874,1.0321484258,8.5797632817,0
28,528,14.5789694342,0.6563835602,2.6747501581,6.3277500699,1
29,529,14.5946333849,0.6720475109,7.4847614460,8.5300687946,0
30,530,14.5965393566,0.6739534826,2.7509386511,5.4092650594,1
31,531,14.6079960450,0.6854101709,3.4102481002,0.7832287098,1
32,532,14.6347414075,0.7121555335,5.0012192689,9.7198341015,1
33,533,14.6375769364,0.7149910624,8.7978177316,1.3719222527,0
34,534,14.6383088617,0.7157229877,8.8392480239,2.6260944915,0
35,535,14.6404182215,0.7178323475,0.4115473011,2.8479996442,0
36,536,14.6498384943,0.7272526203,8.2915178493,0.1065359018,0
37,537,14.6630877747,0.7405019006,1.2045130740,5.7264222396,1
38,538,14.6723852456,0.7497993716,6.9055178991,6.9688275416,0
39,539,14.6807585201,0.7581726461,8.7938866914,4.9488421085,0
40,540,14.7147843158,0.7921984418,5.9504528087,2.6608784924,1
41,541,14.7193059264,0.7967200524,8.9689632737,2.2205940408,0
42,542,14.7286586283,0.8060727542,4.6166866996,6.3269921791,1
43,543,14.7564073803,0.8338215062,2.4639328454,8.8461168253,0
44,544,14.7571736921,0.8345878181,1.0399889420,6.6080936479,1
45,545,14.8248183095,0.9022324355,9.2456305088,3.9141592864,0
46,546,14.8422009324,0.9196150584,1.4771389470,9.8761888914,0
47,547,14.8666663604,0.9440804864,1.8247145801,0.1745246999,0
48,548,14.8770432797,0.9544574057,8.9707330408,9.4793521914,0
49,549,14.9066748386,0.9840889646,5.7886173246,0.3929867956,1
50,550,14.9438711367,1.0212852626,4.8216212248,0.1796561322,1
51,551,14.9477566201,1.0251707461,5.1328953993,7.1797876483,1
52,552,14.9696927890,1.0471069150,4.8650488968,1.2602813769,1
53,553,14.9752734692,1.0526875951,2.6618345678,1.9754265852,0
54,554,14.9922097665,1.0696238925,6.0550534839,2.4612939177,1
55,555,14.9947795810,1.0721937069,1.9158845645,6.8795392167,0
56,556,14.9992187374,1.0766328634,0.3568843512,2.1058611076,0
57,557,15.0148556949,1.0922698209,5.6469708869,1.3929395473,1
58,558,15.0268795814,1.1042937074,0.3921639920,6.8062365791,0
59,559,15.0310924501,1.1085065761,6.3652211325,6.3147215702,1
60,560,15.0414616299,1.1188757559,0.1017886094,0.0207563899,0
61,561,15.0527621864,1.1301763124,2.4221603226,5.6444455858,1
62,562,15.0918996872,1.1693138131,3.5508863047,6.3741947799,1
63,563,15.1772760342,1.2546901602,9.4645387929,0.2795730404,0
64,564,15.1853983880,1.2628125140,1.1210796521,3.0126132055,0
65,565,15.1885712224,1.2659853484,5.5851243969,8.8251667445,1
66,566,15.1976058587,1.2750199847,0.6907776300,5.5499725695,1
67,567,15.2032551308,1.2806692568,2.1189935539,9.6694608914,0
68,568,15.2556360610,1.3330501869,4.4825830324,0.7588001134,1
69,569,15.2779839456,1.3553980716,9.1154899550,4.9895107104,0
70,570,15.3397765183,1.4171906443,0.4037829133,4.5463513264,1
71,571,15.3780841922,1.4554983181,7.1362653957,5.0586994133,0
72,572,15.3794739229,1.4568880488,9.4294096254,5.6708048366,0
73,573,15.4093334420,1.4867475679,0.0422588742,6.8087737878,0
74,574,15.4478781318,1.5252922578,9.1375645988,1.1483226520,0
75,575,15.5077226745,1.5851368004,9.2396445435,8.3143605704,0
76,576,15.5149421409,1.5923562668,3.4037819524,9.1153077612,1
77,577,15.5676129189,1.6450270449,9.9681001143,2.5149072199,0
78,578,15.6461338145,1.7235479405,5.4356309899,9.3066589429,1
79,579,15.6604961680,1.7379102940,6.7729142192,3.8957527238,0
80,580,15.6769239926,1.7543381186,8.5983916361,2.8959789108,0
81,581,15.7254464453,1.8028605713,9.6307738620,4.1380175192,0
82,582,15.7592343127,1.8366484387,5.6349573023,5.1717550996,1
83,583,15.7881425420,1.8655566680,5.9098049991,8.0028229022,1
84,584,15.7968854752,1.8742996012,0.3517453110,3.4080038830,1
85,585,15.8011718563,1.8785859823,7.2226866508,6.0690559305,0
86,586,15.8130744451,1.8904885711,7.6475171571,3.0448579607,0
87,587,15.8230383950,1.9004525209,9.3148441766,1.5732623979,0
88,588,15.8507586724,1.9281727984,2.2375463566,1.5007188918,0
89,589,15.8657563499,1.9431704759,9.9577414454,8.3524223672,0
90,590,15.9514510285,2.0288651544,8.5778707581,0.1151916833,0
91,591,15.9599018856,2.0373160115,7.9902605856,0.8586602951,0
92,592,16.0071136095,2.0845277355,4.6981619286,9.3457922578,1
93,593,16.0091855184,2.0865996443,5.8148496671,1.5612410867,1
94,594,16.0395976994,2.1170118254,5.7303312084,4.9801051096,1
95,595,16.0465487675,2.1239628935,4.4108124754,2.9531089072,1
96,596,16.0515813001,2.1289954261,0.8479435249,2.2376645877,0
97,597,16.0656761353,2.1430902613,5.8324949198,4.5851784584,1
98,598,16.0730736633,2.1504877893,6.7637880705,1.7046486347,0
99,599,16.0885014701,2.1659155960,2.8651925843,0.1435752171,0
100,600,16.0892683135,2.1666824394,3.4513096512,0.9227240290,1
101,601,16.0931262237,2.1705403496,4.0659205333,0.0536266132,1
102,602,16.1030209409,2.1804350669,8.2289054502,4.0433579271,0
103,603,16.1396833615,2.2170974875,0.6560740452,5.5811659652,1
104,604,16.1586632593,2.2360773853,1.1603492529,9.5432346329,0
105,605,16.1706049451,2.2480190711,9.5986289860,6.8293464573,0
106,606,16.1773591221,2.2547732481,8.9955971751,6.2469286759,0
107,607,16.1786519689,2.2560660949,7.9967354778,0.4851211428,0
108,608,16.1839166652,2.2613307912,7.4913017322,0.9818758100,0
109,609,16.1926488018,2.2700629278,3.8391273365,1.7939764694,1
110,610,16.2200650489,2.2974791748,9.9506615675,6.0519850338,0
111,611,16.2210233164,2.2984374424,7.9322695769,9.5534400232,0
112,612,16.2356527519,2.3130668778,5.3841853776,6.6510515449,1
113,613,16.2373692702,2.3147833962,8.1724532765,4.3322558962,0
114,614,16.3209288760,2.3983430020,9.8753087716,7.9225863606,0
115,615,16.3230631439,2.4004772699,8.4007021655,1.9383950049,0
116,616,16.3277842121,2.4051983381,5.9860908569,2.5379268182,1
117,617,16.3889573133,2.4663714393,4.2992600538,1.5736772559,1
118,618,16.4014069747,2.4788211007,6.6681695861,0.3689068419,0
119,619,16.4117693834,2.4891835094,8.2154930015,9.3396853652,0
120,620,16.4849541213,2.5623682472,8.4797952094,2.8021796184,0
121,621,16.4991926855,2.5766068114,7.1283396209,7.7596531382,0
122,622,16.5073914786,2.5848056046,7.7319878260,8.8173696236,0
123,623,16.5132249233,2.5906390492,3.2699641891,2.5824788129,0
124,624,16.5416840252,2.6190981512,1.3762945826,9.4091551191,0
125,625,16.5442753260,2.6216894520,4.2893436083,2.8175944339,1
126,626,16.5483382809,2.6257524069,5.1447893333,3.8006000899,1
127,627,16.5503486643,2.6277627903,5.3964547783,1.7036199092,1
128,628,16.6228628226,2.7002769486,4.9934696893,0.1377179058,1
129,629,16.6451565844,2.7225707104,1.1213724333,0.8167806154,0
130,630,16.7165648504,2.7939789764,2.7875521649,0.7215387981,0
131,631,16.7209981971,2.7984123231,7.4066849057,4.8844955077,0
132,632,16.7263891185,2.8038032445,0.3891689577,1.2639372182,0
133,633,16.7498800570,2.8272941830,8.8998952552,2.1020121573,0
134,634,16.7633843759,2.8407985018,1.8209179862,3.0923613901,0
135,635,16.7738006946,2.8512148205,9.9616266322,8.3690345269,0
136,636,16.7812022920,2.8586164180,1.4319965590,8.5648031834,0
137,637,16.7829733287,2.8603874547,6.4034220409,1.2841611812,1
138,638,16.8666218856,2.9440360115,9.9469683246,5.7299214144,0
139,639,16.9178861945,2.9953003205,2.8217818944,2.5966205378,0
140,640,16.9711373683,3.0485514943,0.6863159453,5.2542209635,1
141,641,16.9725387379,3.0499528639,1.2733053766,6.5838921073,1
142,642,16.9772784461,3.0546925721,6.8797908426,9.9645174260,0
143,643,16.9836151624,3.0610292884,5.5282588578,9.5955184661,1
144,644,17.0112250726,3.0886391985,5.8337135989,0.0048410765,1
145,645,17.0146203249,3.0920344509,4.1702503431,9.2042378785,1
146,646,17.0443427613,3.1217568873,9.5574281599,0.5261103641,0
147,647,17.0472371385,3.1246512645,4.3677878015,5.1689678314,1
148,648,17.0770205132,3.1544346392,9.2690372219,1.1146769821,0
149,649,17.0818328207,3.1592469467,2.3160101909,7.3596282562,0
150,650,17.0818531318,3.1592672578,2.5740114181,0.1002842368,0
151,651,17.1236387374,3.2010528633,0.9815029279,3.8689069829,1
152,652,17.1299215330,3.2073356589,2.4519046365,0.2462184516,0
153,653,17.1642872886,3.2417014146,0.8747836845,9.2995040921,0
154,654,17.1689791100,3.2463932360,3.0942712806,8.7306378726,0
155,655,17.1906762536,3.2680903796,4.6852537473,6.0578627289,1
156,656,17.2395855498,3.3169996758,1.6827143807,0.1689614572,0
157,657,17.2481576602,3.3255717862,6.1435826045,0.7418025373,1
158,658,17.2491359694,3.3265500953,1.2269544208,5.7432940798,1
159,659,17.2589641208,3.3363782467,1.9322401255,9.9202699460,0
160,660,17.2635379326,3.3409520586,2.2414631546,3.8954750398,1
161,661,17.3196057623,3.3970198883,4.7962076159,9.9861907487,1
162,662,17.3747674261,3.4521815521,5.3599276879,1.9266627787,1
163,663,17.4359402550,3.5133543810,2.7609567656,6.7987708073,0
164,664,17.4517841871,3.5291983130,0.4141161357,7.8384166801,0
165,665,17.4593014832,3.5367156092,0.6290288503,4.4787770475,1
166,666,17.4647295872,3.5421437132,1.4206514775,2.9062032792,0
167,667,17.4839901035,3.5614042294,6.3304082393,5.5702442677,1
168,668,17.5010992354,3.5785133614,6.0225845605,4.0598604355,1
169,669,17.5181772940,3.5955914199,7.8331450655,2.0765280234,0
170,670,17.5331566726,3.6105707986,1.5294963764,6.8161749759,0
171,671,17.5359669810,3.6133811069,8.3925114171,5.4453670242,0
172,672,17.5661241923,3.6435383183,8.0887106065,3.5933791406,0
173,673,17.5780524141,3.6554665401,4.7644824008,5.2965795846,1
174,674,17.5823814386,3.6597955646,2.5673691849,2.7216627375,0
175,675,17.6641828674,3.7415969934,0.0589892079,6.6486253907,1
176,676,17.6787501894,3.7561643153,3.8375588621,0.2606594236,1
177,677,17.6801365870,3.7575507130,7.5083440558,4.1729205256,0
178,678,17.6847756696,3.7621897956,2.7714072059,5.0411861089,1
179,679,17.7021852511,3.7795993771,2.3529073853,5.6381492013,1
