analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,9.1784619148,0.0227014256,2.0393263499,6.8495032835,0
2,502,9.1842968856,0.0285363965,3.5211166373,7.5285461165,1
3,503,9.1974727621,0.0417122729,8.4308502755,7.6499459152,0
4,504,9.2280996506,0.0723391614,1.9228654364,1.8606700324,0
5,505,9.2291174911,0.0733570020,7.3424572953,2.0550900528,0
6,506,9.2325788451,0.0768183560,5.3529559787,9.8711001982,1
7,507,9.2329410193,0.0771805302,0.1055518093,2.1365363515,0
8,508,9.3117132405,0.1559527514,8.2243295326,0.1757191506,0
9,509,9.3266134591,0.1708529700,4.2607567921,1.7438088590,1
10,510,9.3476110431,0.1918505540,3.3181595549,0.7763341251,0
11,511,9.3633778859,0.2076173968,6.6488102397,3.5990893653,1
12,512,9.3824120711,0.2266515820,0.3812802555,7.6404108888,0
13,513,9.4067228434,0.2509623543,6.7480019846,0.8351924153,0
14,514,9.4156847885,0.2599242993,5.4330738657,5.1174118786,1
15,515,9.4251665210,0.2694060319,4.5111189739,4.3086861705,1
16,516,9.4381835566,0.2824230675,8.9141723012,6.1983134238,0
17,517,9.4441696023,0.2884091132,4.1190517990,1.0010100272,1
18,518,9.4752183036,0.3194578144,2.9854110401,2.0419806585,0
19,519,9.4812437237,0.3254832345,8.7213503620,2.9610905834,0
20,520,9.5117311772,0.3559706881,6.7722534450,8.2510175826,0
21,521,9.5198978031,0.3641373140,7.5058311687,4.6266663971,0
22,522,9.5291925214,0.3734320323,4.9134366207,0.1497903321,1
23,523,9.5528918303,0.3971313411,5.3259927304,3.3910740310,1
24,524,9.6233909590,0.4676304698,6.6498839574,6.1095799245,1
25,525,9.6264671555,0.4707066664,1.3211830523,6.8456505341,0
26,526,9.6299331888,0.4741726997,8.2599196259,1.5710214743,0
27,527,9.6308350618,0.4750745727,1.3772894687,5.8866630766,1
28,528,9.6331344093,0.4773739202,3.4212558449,5.1870709895,1
29,529,9.6334573885,0.4776968993,0.4156747627,0.1435810489,0
30,530,9.6433254401,0.4875649510,7.9095418802,3.3016766492,0
31,531,9.6620934830,0.5063329939,0.3609707353,7.2893881727,0
32,532,9.6668330276,0.5110725384,3.7487770267,8.0212677062,1
33,533,9.6694672177,0.5137067286,5.8525081731,7.8778232210,1
34,534,9.6873672038,0.5316067147,4.2632939090,2.3187602878,1
35,535,9.6905034259,0.5347429367,2.5682675689,8.5355552608,0
36,536,9.7255811909,0.5698207018,1.9697952805,7.3127725323,0
37,537,9.7436894562,0.5879289671,5.6644891494,4.7940583530,1
38,538,9.7468341588,0.5910736696,0.9058846604,9.5246631161,0
39,539,9.7477949017,0.5920344126,2.4528492596,3.9564423765,1
40,540,9.7483469310,0.5925864418,2.6902931301,8.8102670190,0
41,541,9.7678691230,0.6121086339,5.3047078823,1.4074716071,1
42,542,9.7803310799,0.6245705908,3.1720670893,1.4120275025,0
43,543,9.7880529344,0.6322924453,1.4652676877,9.1980731847,0
44,544,9.8095962490,0.6538357598,4.0234891606,9.5584010516,1
45,545,9.8167662818,0.6610057927,7.5743931901,6.2257223898,0
46,546,9.8221877644,0.6664272753,6.7886646702,0.3425447411,0
47,547,9.8302679357,0.6745074466,1.3767585634,8.6052496262,0
48,548,9.8359309340,0.6801704449,6.7140051219,6.2247399515,0
49,549,9.8373161895,0.6815557004,8.0385184534,9.2957117773,0
50,550,9.8575499397,0.7017894506,1.2041159810,4.3476252251,1
51,551,9.8837171851,0.7279566959,1.6332318095,3.4839659634,1
52,552,9.8907416428,0.7349811536,6.4964425553,3.6738153660,1
53,553,9.9873532070,0.8315927179,0.6851454113,2.8744018769,0
54,554,9.9889845732,0.8332240841,7.7316200623,2.0721128808,0
55,555,9.9953345398,0.8395740507,8.9869523372,2.1694639295,0
56,556,10.0062223645,0.8504618754,8.1318279172,5.4745415023,0
57,557,10.0184065197,0.8626460305,7.1155867635,5.7086280623,0
58,558,10.0212626687,0.8655021796,7.0829915309,5.4714672335,0
59,559,10.0272643430,0.8715038539,3.6395853191,9.5641512617,1
60,560,10.0422530172,0.8864925281,4.7010719317,2.4959037487,1
61,561,10.0430437422,0.8872832531,6.8872474478,4.1316024993,0
62,562,10.0771503776,0.9213898884,5.4843352391,7.4106218477,1
63,563,10.0893512465,0.9335907574,8.5560964399,7.6047121785,0
64,564,10.0982136363,0.9424531472,8.6155842700,2.9698334225,0
65,565,10.1029914135,0.9472309244,4.6181319712,5.1517310540,1
66,566,10.1168992797,0.9611387906,5.1677063755,0.0117906792,1
67,567,10.1307566671,0.9749961779,7.9382724006,5.7975209857,0
68,568,10.1523223910,0.9965619018,4.3493188709,3.2658405706,1
69,569,10.1541195521,0.9983590629,7.6862060141,8.4448289309,0
70,570,10.1878514030,1.0320909138,3.0020287506,3.3534803951,1
71,571,10.2537068884,1.0979463993,3.5086678717,2.9512192269,1
72,572,10.2776452943,1.1218848052,2.3004172294,2.3909796277,0
73,573,10.2851254348,1.1293649456,0.8574605698,0.9048894246,0
74,574,10.3155464007,1.1597859116,6.6789815283,0.9355223462,0
75,575,10.3314977890,1.1757372998,6.7800500314,2.7513293872,0
76,576,10.3425801923,1.1868197032,1.0959180082,1.8505350625,0
77,577,10.3859524198,1.2301919306,0.9466350011,3.2559973554,0
78,578,10.4012178550,1.2454573659,9.7916797648,2.9086954043,0
79,579,10.4039228043,1.2481623152,0.3760801050,4.5096520754,1
80,580,10.4113036364,1.2555431473,4.9297760560,9.2528743820,1
81,581,10.4385678044,1.2828073153,3.2964108679,4.0550032918,1
82,582,10.4574568961,1.3016964070,0.5617667380,6.1868922984,1
83,583,10.4613609587,1.3056004696,1.2405272955,4.8930045706,1
84,584,10.4639045886,1.3081440995,7.3986259732,9.6909020651,0
85,585,10.5222934812,1.3665329921,0.2928122743,0.9956418125,0
86,586,10.5244006107,1.3686401216,9.3616353725,1.1734866750,0
87,587,10.5305765953,1.3748161062,3.6339156064,6.9660420997,1
88,588,10.5451075220,1.3893470329,9.4812973960,8.3216143636,0
89,589,10.5618639544,1.4061034653,3.9281640674,6.4070270485,1
90,590,10.5702542364,1.4144937472,2.6170041464,2.6644047198,0
91,591,10.5773439877,1.4215834986,6.1838913897,0.2850801802,1
92,592,10.5974616622,1.4417011731,1.2548657153,2.0549774302,0
93,593,10.5977402644,1.4419797753,1.7879272757,4.0760375228,1
94,594,10.6221264674,1.4663659783,5.2813382504,5.2826628587,1
95,595,10.6280030014,1.4722425123,0.2813501982,9.7367441089,0
96,596,10.6511943890,1.4954338999,9.0576876311,9.9116908144,0
97,597,10.6736077772,1.5178472881,2.6104170975,5.3112365777,1
98,598,10.7388299119,1.5830694228,4.0018382895,3.8740993880,1
99,599,10.7470029865,1.5912424974,7.1959910433,3.2876656094,0
100,600,10.7537271339,1.5979666448,0.5549136148,9.0272445434,0
101,601,10.8313117933,1.6755513041,8.2386928820,4.9758987336,0
102,602,10.8332113776,1.6774508885,0.2822250565,5.3931683737,1
103,603,10.8778892689,1.7221287798,3.0244329834,8.2962183924,0
104,604,10.8845086925,1.7287482034,9.6143044605,2.1364338290,0
105,605,10.9049229840,1.7491624949,0.9868184558,2.3270607668,0
106,606,10.9089025807,1.7531420916,7.0505148989,7.5994925299,0
107,607,10.9585013891,1.8027409000,7.6842905759,6.6163419341,0
108,608,10.9701395556,1.8143790664,2.9525447457,0.5984153133,0
109,609,10.9946584045,1.8388979154,8.3806687899,0.4406981413,0
110,610,11.0152207506,1.8594602615,6.7631130298,6.6383376616,0
111,611,11.0581176225,1.9023571333,2.2257763527,1.4991835284,0
112,612,11.0875397809,1.9317792918,8.0634342431,7.2326780881,0
113,613,11.1371677196,1.9814072305,9.1896850656,2.3484655885,0
114,614,11.1467371391,1.9909766500,7.5790594432,5.3008615824,0
115,615,11.1735372770,2.0177767879,8.2406329137,1.4492467495,0
116,616,11.1919234792,2.0361629901,6.6815464769,2.1801468757,0
