analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,9.7306050969,0.0089478370,7.9513467930,7.0862905029,0
2,502,9.7377398892,0.0160826293,7.3007704701,8.5319776234,0
3,503,9.7503977471,0.0287404872,6.6029814619,1.3518692474,1
4,504,9.8184821029,0.0968248431,0.0707275865,8.0065968516,0
5,505,9.8432417409,0.1215844810,6.4373707499,9.5445647346,1
6,506,9.8454743138,0.1238170539,7.6639719339,8.9054087697,0
7,507,9.8686656014,0.1470083415,4.1676756339,1.5111500506,1
8,508,9.8953061447,0.1736488848,1.1682294024,2.7375316703,0
9,509,9.9986779284,0.2770206685,4.1305015144,1.8292941104,1
10,510,10.0034505497,0.2817932898,3.2606656063,0.4268914905,0
11,511,10.0036534059,0.2819961460,5.9037755230,3.1922688536,1
12,512,10.0566978918,0.3350406319,8.1979765400,1.0618376352,0
13,513,10.0694857336,0.3478284737,0.1968946525,8.4314421295,0
14,514,10.0885017513,0.3668444914,8.6715611349,1.4008912076,0
15,515,10.1154541695,0.3937969096,3.9185379947,7.2523096944,1
16,516,10.1160129020,0.3943556421,0.7098573777,1.1504957285,0
17,517,10.1477632925,0.4261060326,1.1263849113,3.2933259622,0
18,518,10.1585700782,0.4369128183,2.7680037467,8.8229490149,0
19,519,10.1645231326,0.4428658727,1.1169230653,4.1060834521,1
20,520,10.1815726508,0.4599153909,2.4392013493,3.9272156981,1
21,521,10.1830245340,0.4613672741,8.0187747812,1.2013685575,0
22,522,10.1843838652,0.4627266053,2.7056702280,8.3154951178,0
23,523,10.1889273237,0.4672700638,8.2425994605,9.0037949399,0
24,524,10.1958159630,0.4741587031,4.7176079486,5.9000869294,1
25,525,10.1978289254,0.4761716655,4.7312431077,5.6310404151,1
26,526,10.2039272264,0.4822699665,1.5971468214,7.3683443166,0
27,527,10.2059017151,0.4842444552,0.3151746881,2.2165672703,0
28,528,10.2366943902,0.5150371303,1.4577351593,8.1189613136,0
29,529,10.2477889104,0.5261316505,2.7614950975,4.8874400930,1
30,530,10.2520162911,0.5303590312,7.5979295019,9.1462014414,0
31,531,10.2647565759,0.5430993160,0.8287441391,4.4172902954,1
32,532,10.3041824451,0.5825251852,0.3006437155,9.3249636387,0
33,533,10.3297399379,0.6080826780,4.1793206116,9.3162194656,1
34,534,10.3331963045,0.6115390446,6.0530328981,4.6460287740,1
35,535,10.3405414998,0.6188842399,7.0947772570,8.6108159994,0
36,536,10.3535129306,0.6318556707,8.7665827774,3.9867889017,0
37,537,10.3911814723,0.6695242124,2.4883046277,1.9011327784,0
38,538,10.4528282302,0.7311709703,8.3748277268,3.6083979129,0
39,539,10.4748705421,0.7532132822,7.0341108321,8.4729436762,0
40,540,10.4843986983,0.7627414384,4.1462933872,5.4419945656,1
41,541,10.5014162070,0.7797589471,1.2590478201,3.1629123273,0
42,542,10.5088337369,0.7871764770,5.0629225251,7.5672587310,1
43,543,10.5448458242,0.8231885644,5.4718432943,3.7953978978,1
44,544,10.5792377470,0.8575804872,1.1144493483,2.0169574980,0
45,545,10.5997212003,0.8780639404,2.0536533176,1.3838258103,0
46,546,10.6004555011,0.8787982412,6.2250919979,6.7871317122,1
47,547,10.6118535388,0.8901962789,6.2872112999,9.8775985252,1
48,548,10.6255143693,0.9038571095,6.3742736032,7.7139315016,1
49,549,10.6422997538,0.9206424939,5.2139579574,3.2414752002,1
50,550,10.6535115060,0.9318542461,1.3474170818,1.3934034559,0
51,551,10.6627947558,0.9411374959,6.8532366599,2.5950086072,0
52,552,10.6642467455,0.9425894856,9.5387374936,3.3455235231,0
53,553,10.6817868680,0.9601296081,1.6777707824,4.5580137392,1
54,554,10.6821307392,0.9604734793,7.7323575477,0.4336288412,0
