analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,10.0319096312,0.0130539472,9.3047455968,6.8952294919,0
2,502,10.0530181748,0.0341624908,8.7452824457,6.1213006378,0
3,503,10.0732399552,0.0543842711,1.1024354621,6.1781072574,1
4,504,10.0885773496,0.0697216656,2.8884285844,7.8763660291,0
5,505,10.0999255729,0.0810698889,9.4986716221,7.2041848415,0
6,506,10.1387626946,0.1199070106,9.1591538404,6.6476751007,0
7,507,10.1406916322,0.1218359482,0.6271292043,7.5772999551,0
8,508,10.1430628378,0.1242071537,1.0485386151,3.9348148316,1
9,509,10.1478897707,0.1290340867,6.8337563442,5.8903708034,0
10,510,10.2106806161,0.1918249321,2.0545096111,8.1476781361,0
11,511,10.2146156434,0.1957599594,5.8544825007,5.7881056529,1
12,512,10.2281955000,0.2093398160,4.9445399125,0.1554088115,1
13,513,10.2318345785,0.2129788945,3.8602492611,8.0702488659,1
14,514,10.2523241673,0.2334684833,0.5008680117,2.3185702559,0
15,515,10.2581846930,0.2393290090,9.2852667725,2.9701943392,0
16,516,10.2756318092,0.2567761251,0.5529852569,4.4421663936,1
17,517,10.2841452733,0.2652895893,3.7092240288,6.0598666799,1
18,518,10.2868432507,0.2679875667,9.8743196120,6.8412537969,0
19,519,10.3063760874,0.2875204034,2.2191924274,8.3836519816,0
20,520,10.3231459990,0.3042903149,5.8665772319,6.8559443465,1
21,521,10.3549007681,0.3360450841,1.9110079069,9.9092391898,0
22,522,10.3792810256,0.3604253416,3.3715139564,0.9472335550,1
23,523,10.3911093486,0.3722536646,8.5879766958,7.7486540587,0
24,524,10.3995048539,0.3806491699,9.1569342829,9.6145270845,0
25,525,10.4024496444,0.3835939604,4.7490081775,3.1846083868,1
26,526,10.4033171140,0.3844614300,8.5772595432,8.1238500649,0
27,527,10.4142843738,0.3954286898,6.5937417473,5.9527511697,1
28,528,10.4260895845,0.4072339005,0.9872182960,4.1961549000,1
29,529,10.4295864263,0.4107307423,7.5986661894,9.6512204957,0
30,530,10.4391458955,0.4202902115,5.0580952658,1.6580457392,1
31,531,10.4430293205,0.4241736365,2.9134705314,8.8204920267,0
32,532,10.4500732525,0.4312175685,9.8713349884,5.7851036559,0
33,533,10.4501028439,0.4312471599,2.1040191514,8.5436761519,0
34,534,10.4638872115,0.4450315275,3.8240026209,3.9893707729,1
35,535,10.4639278783,0.4450721943,1.4755299313,4.6305069691,1
36,536,10.4734131470,0.4545574630,6.8111042638,3.2205154219,0
37,537,10.4867129467,0.4678572627,0.4414015947,0.4966077083,0
38,538,10.5156214986,0.4967658146,5.3523438845,1.9676592090,1
39,539,10.5238405586,0.5049848745,9.2115386487,9.9707697839,0
40,540,10.5537811290,0.5349254450,2.2024417989,3.8642361806,1
41,541,10.5646357423,0.5457800582,3.9133844089,9.6437287359,1
42,542,10.5753777002,0.5565220162,9.5905615406,1.2461880929,0
43,543,10.5931210792,0.5742653952,0.2562779416,9.3958699724,0
44,544,10.6137986924,0.5949430084,5.2861601796,0.7753827697,1
45,545,10.6187151330,0.5998594490,4.4947555788,9.2036297927,1
46,546,10.6325955925,0.6137399085,4.6388283365,2.7154877444,1
47,547,10.6823733853,0.6635177013,8.7727239829,3.1904193415,0
48,548,10.7124628594,0.6936071754,4.9015596161,0.0265086025,1
49,549,10.7407561166,0.7219004326,2.7395319542,5.1906912682,1
50,550,10.7633113143,0.7444556303,3.1930014825,9.6849560464,0
51,551,10.7987472922,0.7798916082,5.5864451836,4.6613328617,1
52,552,10.8303770706,0.8115213866,8.9581920333,2.5728523920,0
53,553,10.8611256278,0.8422699437,1.5367429303,5.0054891491,1
54,554,10.8749837186,0.8561280346,5.6593052378,9.3214655654,1
55,555,10.8757728318,0.8569171478,5.5253011832,7.6735650041,1
56,556,10.8934934887,0.8746378047,0.5767523930,6.5377913198,1
57,557,10.9036021024,0.8847464183,2.1810878899,7.5125486444,0
58,558,10.9533188508,0.9344631668,2.2317179237,7.3782074893,0
59,559,10.9987161918,0.9798605077,7.9637473578,5.6098032855,0
60,560,11.0126276383,0.9937719543,4.8784232659,4.6542529967,1
61,561,11.0169740663,0.9981183823,2.1611790473,6.6404897244,1
62,562,11.0728995573,1.0540438733,2.9399873182,4.3692243330,1
63,563,11.0988386427,1.0799829586,2.6499446786,7.8013664092,0
64,564,11.1180187862,1.0991631021,0.1834888545,9.7300600302,0
65,565,11.2174460101,1.1985903261,4.0404864520,8.4515978550,1
66,566,11.2186702309,1.1998145468,3.4859637736,7.1519444225,1
67,567,11.2250984243,1.2062427402,6.3706935614,9.0353515141,1
68,568,11.2569084462,1.2380527622,6.9653611432,3.2771941844,0
69,569,11.2741635200,1.2553078360,9.5200177812,4.0927301711,0
70,570,11.2808118254,1.2619561413,6.5278666326,8.0803279314,1
71,571,11.2973444889,1.2784888049,5.6164902983,3.1032836804,1
72,572,11.3037227377,1.2848670537,8.5481518190,6.3451689671,0
73,573,11.3211721076,1.3023164236,1.4454006983,8.8495174639,0
74,574,11.3296212300,1.3107655460,2.8634989330,3.7590721594,1
75,575,11.3541309049,1.3352752209,6.7639892755,6.3852695979,0
76,576,11.3930300972,1.3741744132,0.4915609079,8.0157316626,0
77,577,11.4139572309,1.3951015469,5.8680938908,9.9820329572,1
78,578,11.4267708066,1.4079151226,5.4918006670,2.2479312520,1
79,579,11.4277831595,1.4089274755,7.7770665746,3.6061963560,0
80,580,11.4307393389,1.4118836549,1.5606949354,0.4171846461,0
81,581,11.4408650754,1.4220093913,2.2966092089,9.1670807393,0
82,582,11.4604219274,1.4415662433,1.4653634097,5.7117477636,1
83,583,11.4953863942,1.4765307102,4.7450160729,1.3068417889,1
84,584,11.5112159067,1.4923602227,9.3991446507,2.9595542761,0
85,585,11.5167760556,1.4979203716,4.2615011802,8.7808443220,1
86,586,11.5453271446,1.5264714606,7.8840688697,2.8964858293,0
87,587,11.5877376600,1.5688819760,5.0944977374,2.1336875168,1
88,588,11.6030972818,1.5842415978,2.2844812515,1.1268424720,0
89,589,11.6151188603,1.5962631763,8.9004633510,6.6941642312,0
90,590,11.6196623520,1.6008066680,3.4434451301,6.6699758904,1
91,591,11.6271383925,1.6082827085,0.5912479954,8.8832586801,0
92,592,11.6280937209,1.6092380369,2.4081384965,0.2093691687,0
93,593,11.6340943741,1.6152386900,6.7643416068,9.6294738555,0
94,594,11.6514861829,1.6326304988,5.1136070660,5.8077724545,1
95,595,11.6860149804,1.6671592964,9.5930604140,9.1358227262,0
96,596,11.6984290012,1.6795733172,2.2698703436,2.7993943647,0
97,597,11.7143480368,1.6954923528,5.2098655446,0.5499834468,1
98,598,11.7220633813,1.7032076973,1.8940148925,0.5607343640,0
99,599,11.7333595715,1.7145038875,7.8042168225,5.9768940892,0
100,600,11.7351286604,1.7162729763,7.6531851213,3.1640354719,0
101,601,11.7760134844,1.7571578003,6.9255059513,4.5027011586,0
102,602,11.8070662925,1.7882106085,5.9781254872,4.8243046931,1
103,603,11.8257288280,1.8068731439,3.2585865442,9.8399374182,0
104,604,11.8715027077,1.8526470237,4.2565656964,4.1586617475,1
105,605,11.8736949562,1.8548392722,7.0523086517,8.5184326528,0
106,606,11.8979429157,1.8790872317,2.3462147094,6.7119949061,0
107,607,11.9175192951,1.8986636111,0.7589296842,2.7490093020,0
108,608,11.9254350345,1.9065793505,9.2814466876,0.0893818281,0
109,609,11.9332090655,1.9143533815,5.5366489805,9.9183997444,1
110,610,11.9337798517,1.9149241676,5.3951316051,5.5603113848,1
111,611,11.9447751460,1.9259194620,5.5654684661,8.3719384478,1
112,612,11.9536403032,1.9347846191,8.3723904373,1.4748310952,0
113,613,11.9706911805,1.9518354965,3.6928373911,9.7903766738,1
114,614,11.9834206945,1.9645650105,5.8202734139,2.1089979326,1
115,615,11.9888072108,1.9699515268,2.8074563349,7.8866484521,0
116,616,12.0080765122,1.9892208282,2.6595550130,4.7672266471,1
117,617,12.0295566740,2.0107009900,2.1579775999,5.8056819217,1
118,618,12.0404052016,2.0215495176,2.8469400393,8.8751156378,0
119,619,12.0667993491,2.0479436650,7.5473097401,8.8077837026,0
120,620,12.0731798528,2.0543241688,0.5354468489,5.1417323342,1
121,621,12.1092576612,2.0904019772,0.1185812446,0.9923497640,0
122,622,12.1613179259,2.1424622419,0.5883018188,2.0886710646,0
123,623,12.1786597147,2.1598040306,1.9613747507,9.9259157801,0
124,624,12.2067203397,2.1878646557,9.1911800266,2.6280933318,0
125,625,12.2331840720,2.2143283880,9.8705980717,0.8554277109,0
126,626,12.2436164616,2.2247607776,6.0341848290,0.6412900410,1
127,627,12.2693864316,2.2505307476,0.4028928184,7.3610247263,0
128,628,12.2715037495,2.2526480654,8.5780043056,4.4844572653,0
129,629,12.2718253438,2.2529696598,5.2709027784,1.1395085507,1
130,630,12.2846773319,2.2658216479,5.7108199122,6.4779068425,1
131,631,12.2847939889,2.2659383049,4.3720599278,5.0800764946,1
132,632,12.2992067069,2.2803510228,6.2959012167,2.3332986145,1
133,633,12.3145043608,2.2956486768,4.5412940520,4.8549935470,1
134,634,12.3524495454,2.3335938614,1.1439089284,0.8852858935,0
