analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,7.4650929723,0.0021165663,0.8752442822,5.5047269383,1
2,502,7.5010498333,0.0380734273,2.0441191735,8.1170883787,0
3,503,7.5131853027,0.0502088967,5.3186745126,6.0553167183,1
4,504,7.5205074862,0.0575310802,9.7511154139,1.0414196759,0
5,505,7.5533706742,0.0903942682,0.9196862030,9.1667460211,0
6,506,7.5619082473,0.0989318413,6.6094236117,6.4489240445,1
7,507,7.6117663168,0.1487899108,4.5656119516,2.6529481891,1
8,508,7.6202583716,0.1572819656,5.5161027602,0.4473929770,1
9,509,7.6323640994,0.1693876934,2.0698471916,2.8752015911,0
10,510,7.6360374033,0.1730609973,6.8669787292,5.4189050945,0
11,511,7.6592893982,0.1963129922,5.5455593864,2.1900499736,1
12,512,7.6639427539,0.2009663479,2.0515964449,6.8993903515,0
13,513,7.6688532668,0.2058768608,9.4984770991,1.0135499267,0
14,514,7.6753742517,0.2123978457,0.5469929294,4.2311636908,1
15,515,7.6897150509,0.2267386449,8.1037719902,7.4817675726,0
16,516,7.7400391349,0.2770627289,9.2642556295,8.1000785362,0
17,517,7.7495827977,0.2866063917,3.9549073910,2.1175277541,1
18,518,7.7584590705,0.2954826645,0.2236448379,6.9430583989,0
19,519,7.7706740084,0.3076976024,5.0866430063,4.0952618167,1
20,520,7.7725693688,0.3095929628,1.7458626067,6.0345041117,1
21,521,7.7746175816,0.3116411756,0.5387469078,8.7692807476,0
22,522,7.7902523587,0.3272759527,3.7272323429,8.9342258863,1
23,523,7.7908124695,0.3278360635,1.7340098986,2.7014523697,0
24,524,7.8316134435,0.3686370375,9.6215293626,9.7060173833,0
25,525,7.8474761372,0.3844997312,2.0510705388,8.7108486367,0
26,526,7.8532746684,0.3902982624,4.8589854685,7.2764365161,1
27,527,7.8614729279,0.3984965219,3.0260264181,5.5727456564,1
28,528,7.8685737935,0.4055973875,4.5094372766,5.8986335004,1
29,529,7.8757474236,0.4127710176,3.8513538893,1.9343782153,1
30,530,7.9021660261,0.4391896201,5.5804581852,6.1867351610,1
31,531,7.9147850983,0.4518086923,8.3378485745,1.9494016639,0
32,532,7.9407733179,0.4777969119,8.8525116344,7.4295026735,0
33,533,7.9456298645,0.4826534585,2.1849089776,1.8673159412,0
34,534,7.9571333727,0.4941569667,2.2513983126,4.6278915141,1
35,535,7.9768381529,0.5138617469,9.0739502520,7.0927131733,0
36,536,7.9786400903,0.5156636843,0.4008506907,3.1812754148,0
37,537,7.9827710946,0.5197946886,8.2489510177,1.6156725421,0
38,538,7.9876983542,0.5247219482,7.6238149637,4.5790850964,0
39,539,7.9904198813,0.5274434753,7.5155702267,8.7529876592,0
40,540,8.0038418632,0.5408654572,0.6288300625,1.2717903844,0
41,541,8.0193000329,0.5563236269,5.4544472643,2.2332456031,1
42,542,8.0227811853,0.5598047793,0.5167989705,2.9900234147,0
43,543,8.0436670498,0.5806906438,3.9399343609,2.3569446800,1
44,544,8.0586736825,0.5956972765,5.7453129338,7.7224516701,1
45,545,8.0889434692,0.6259670632,8.7772438267,6.0359634487,0
46,546,8.0949416462,0.6319652402,5.7015236180,9.9634714766,1
47,547,8.1444086031,0.6814321971,5.6970420062,4.2038344929,1
48,548,8.1550552222,0.6920788162,8.5275919314,1.9996118650,0
49,549,8.1660103229,0.7030339170,1.8809210552,4.2239290735,1
50,550,8.1747833604,0.7118069544,6.7338164302,6.9485608896,0
51,551,8.2210347113,0.7580583053,2.6589090316,5.0791294552,1
