analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
1,501,12.7078915923,0.0172497391,0.1120570801,4.0541075657,1
2,502,12.7099006527,0.0192587995,1.4030987684,0.6351747309,0
3,503,12.7541327737,0.0634909205,6.4259979864,4.3284313105,1
4,504,12.7685651697,0.0779233165,0.5724971668,2.4153457000,0
5,505,12.7764787621,0.0858369089,5.6952165680,3.5765707092,1
6,506,12.7990833410,0.1084414877,3.0091526307,8.6642491214,0
7,507,12.8014043608,0.1107625076,3.8964721905,7.2594013643,1
8,508,12.8073740942,0.1167322410,0.7263133934,2.8952188667,0
9,509,12.8079632981,0.1173214448,3.9169557703,0.7806512562,1
10,510,12.8159160072,0.1252741540,1.2154162905,1.1968769301,0
11,511,12.9160115461,0.2253696928,7.5726198045,7.2841354994,0
12,512,12.9180634593,0.2274216061,3.2984000264,8.9251896371,0
13,513,12.9325737640,0.2419319108,4.2573140808,6.1521936106,1
14,514,12.9381387707,0.2474969174,7.8298373048,1.6888438667,0
15,515,12.9928210889,0.3021792356,4.5254611841,6.5982814590,1
16,516,12.9958763359,0.3052344827,9.5362980145,1.7560559656,0
17,517,13.0072967469,0.3166548936,7.4076119965,7.2406961432,0
18,518,13.0140933618,0.3234515085,2.3588979418,1.0713863212,0
19,519,13.0156539409,0.3250120877,9.8366090594,6.7631751750,0
20,520,13.0176528281,0.3270109748,7.1121886137,3.1248319513,0
21,521,13.0381933133,0.3475514601,5.8341937116,7.5235928546,1
22,522,13.0600410980,0.3693992448,4.9370796627,5.9869330334,1
23,523,13.0697749764,0.3791331231,5.4469393331,2.0153181306,1
24,524,13.1045088164,0.4138669631,9.0878476123,1.2636365132,0
25,525,13.1079306906,0.4172888373,6.4585636357,8.1089828600,1
26,526,13.1227278918,0.4320860386,5.3646702196,6.9186710500,1
27,527,13.1262448271,0.4356029739,2.5031560154,3.3432986837,1
28,528,13.1436822295,0.4530403762,2.2690945403,2.4575769155,0
