analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,65.6339988781,0.0047669662,0.5880191005,4.3927093042
2,502,65.7870442746,0.1578123627,8.2952160412,9.3219728766
3,503,65.8099836865,0.1807517747,5.6076808073,1.5101302962
4,504,65.9937662918,0.3645343800,9.3715953409,2.0151086919
5,505,66.0021891277,0.3729572158,8.2998221667,8.7165056714
6,506,66.1096591820,0.4804272702,0.5211131056,2.6682131631
7,507,66.3161143289,0.6868824171,8.3004767962,7.8614857187
8,508,66.3210195131,0.6917876012,0.7827063991,4.9332134671
9,509,66.4211219843,0.7918900724,6.2416914720,3.2034531575
10,510,66.4501914292,0.8209595173,8.7810476325,1.6751918776
11,511,66.6234522936,0.9942203817,0.3451024906,2.1081985742
12,512,66.6449273656,1.0156954538,8.1029787572,6.9569586781
13,513,67.0102093970,1.3809774852,8.1947452445,7.4932486015
14,514,67.1714384144,1.5422065025,9.0543610307,9.2746275553
15,515,67.1896923959,1.5604604840,7.5196639748,1.3019248089
16,516,67.6225885446,1.9933566327,9.7427382258,1.4408955193
17,517,67.6999930206,2.0707611087,7.4532485757,1.5778120876
18,518,67.7168425235,2.0876106117,8.8221099056,0.3683026112
19,519,67.7434047715,2.1141728596,0.9030530710,6.0621802028
20,520,68.0524095240,2.4231776121,1.2258768372,9.5217542440
21,521,68.2881365911,2.6589046792,3.8483315615,5.0969111710
22,522,68.4504332847,2.8212013728,1.8466316543,8.1097090986
23,523,68.4777630040,2.8485310922,9.0745336657,4.2744158835
24,524,68.5240604942,2.8948285823,0.3098454354,4.8679363377
25,525,68.6315235118,3.0022915999,8.7123380495,1.5630477247
26,526,68.8465279071,3.2172959953,9.7487913021,4.9960813298
27,527,68.9353384353,3.3061065234,8.5422485595,7.9291816690
28,528,68.9982034624,3.3689715505,2.0276564799,2.0847320239
29,529,69.0363972084,3.4071652966,8.0840568157,9.0145090925
30,530,69.0369579783,3.4077260665,6.9776126325,2.2211875323
31,531,69.2444793782,3.6152474664,4.5977434826,2.2192018610
32,532,69.3624855526,3.7332536407,7.9429029507,5.2793555455
33,533,69.3916206187,3.7623887069,4.1564092379,8.6717534460
34,534,69.4282970115,3.7990650997,3.1327357686,2.1963813466
35,535,69.4284087944,3.7991768826,6.3158366297,8.1496010984
36,536,69.4297304081,3.8004984962,8.4071036034,5.3547901414
37,537,69.4347633340,3.8055314221,2.2233638841,1.5148484603
38,538,69.7046088033,4.0753768915,5.9860745741,0.9384030435
39,539,69.7828395341,4.1536076222,9.8982905769,4.9618204856
40,540,69.8577955824,4.2285636706,4.8792042263,2.2354082237
41,541,70.0167778906,4.3875459787,3.0768762324,0.7097004199
42,542,70.0419390838,4.4127071719,0.5323001340,6.8801822634
43,543,70.0909776494,4.4617457376,0.0393315856,7.1166462700
44,544,70.1527227899,4.5234908781,7.4627351499,3.5717816088
45,545,70.1561576794,4.5269257676,9.8904658988,0.1988153979
46,546,70.1860491358,4.5568172239,3.8134230215,8.5642760025
47,547,70.2077893806,4.5785574687,8.5782154052,1.9210589408
48,548,70.2113645611,4.5821326492,8.0599055742,5.9754886046
49,549,70.2479102399,4.6186783280,5.0849690936,7.8758569196
50,550,70.2728726626,4.6436407507,0.7456239386,2.3738134925
51,551,70.5093358237,4.8801039119,9.7538141408,4.7587630327
52,552,70.5692929476,4.9400610357,3.6728765226,7.4959951856
53,553,70.7881654011,5.1589334893,8.0313061347,7.3449545287
54,554,70.9251026386,5.2958707268,7.5307826916,8.2193133706
55,555,71.0309704028,5.4017384909,2.8839263793,7.4790201316
56,556,71.0672733421,5.4380414302,9.8742272897,6.8615755477
57,557,71.2762621122,5.6470302003,6.4548448257,7.4121045961
58,558,71.3696663818,5.7404344700,4.6714459363,4.9233067248
59,559,71.4169287902,5.7876968783,4.6465846507,1.8836453273
60,560,71.4802570832,5.8510251713,4.0627745031,2.5257957726
61,561,71.5111608462,5.8819289344,5.1891441997,9.4575876876
62,562,71.5226380025,5.8934060907,4.8186202999,9.8785243806
63,563,71.5343750430,5.9051431312,1.0550077612,7.4297938928
64,564,71.6177410339,5.9885091221,8.1443998252,5.5844544838
65,565,71.7540704335,6.1248385216,1.5096574101,3.8815076907
66,566,71.8384644658,6.2092325539,0.8068525211,8.3011707679
67,567,71.8643084296,6.2350765177,2.1552536376,0.4191968158
