analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,50.7415877099,0.0519919181,2.7282046473,4.4346119113
2,502,50.7564944371,0.0668986453,2.0339568061,5.4342508118
3,503,50.8901274714,0.2005316796,0.7080583976,8.2405246615
4,504,51.0204041684,0.3308083766,0.1437713845,0.5443467502
5,505,51.1356652572,0.4460694654,3.9074258970,8.1833938997
6,506,51.1672724670,0.4776766752,4.8417559556,1.8810376526
7,507,51.1832878086,0.4936920168,1.1796611497,6.2842901220
8,508,51.2266544312,0.5370586394,6.7092454005,0.2973325017
9,509,51.2708468874,0.5812510956,0.1395508922,5.4909658078
10,510,51.2744251282,0.5848293364,3.5448703616,4.8187452152
11,511,51.3040723857,0.6144765939,2.6472415876,8.4488619684
12,512,51.3634931497,0.6738973580,3.6620473670,4.1902972916
13,513,51.5506474114,0.8610516196,0.6611622194,7.6943300224
14,514,51.5738453448,0.8842495530,0.9587183660,0.9785765062
15,515,51.6059596278,0.9163638360,9.7260334500,1.5728864855
16,516,51.9762793268,1.2866835350,4.5179566974,6.4772773070
17,517,52.1085980121,1.4190022203,9.3362022303,1.7096446752
18,518,52.1362626496,1.4466668578,0.9664717069,9.3668458462
19,519,52.5252526267,1.8356568349,8.7065802108,4.2197496705
20,520,52.6728790922,1.9832833004,3.3408288912,5.2636135436
21,521,52.8555740154,2.1659782236,1.6720131569,9.0611372664
22,522,52.8715435386,2.1819477468,5.7921509857,9.8415300485
23,523,53.1626402155,2.4730444237,5.3224423121,5.1339390485
24,524,53.2649305435,2.5753347517,7.9873582061,3.5247070279
25,525,53.2888675056,2.5992717138,5.1914014242,6.2728376933
26,526,53.3871942945,2.6975985027,5.8035486988,3.3529791534
27,527,53.5298803786,2.8402845868,0.0834396629,8.7993715820
28,528,53.9921350508,3.3025392590,6.4345753189,4.9017628915
29,529,54.1909933375,3.5013975457,2.3355265763,6.9299429109
30,530,54.2348227802,3.5452269884,2.6876536824,9.8610569178
31,531,54.2906765564,3.6010807646,3.0635293033,9.8018526832
32,532,54.3319507162,3.6423549244,4.8658276695,5.3851468132
33,533,54.4277294204,3.7381336286,5.1667095689,5.8611874433
34,534,54.6500097653,3.9604139735,2.9341196972,8.6893195170
35,535,54.9417220741,4.2521262823,4.3098714398,6.5266145311
36,536,55.0413669631,4.3517711713,3.8032686201,7.1481796350
37,537,55.1418983186,4.4523025268,4.6635196459,6.5887916695
38,538,55.2137275381,4.5241317463,7.8557954141,1.8754625461
39,539,55.3477128674,4.6581170756,7.1890061404,7.5207783694
40,540,55.3507738795,4.6611780877,3.5305542696,0.3561238632
41,541,55.3954388185,4.7058430267,3.8767616892,4.9357109854
42,542,55.3991089046,4.7095131128,2.1553313749,2.6090613947
43,543,55.4079732914,4.7183774996,9.2928772301,9.2683841240
44,544,55.4178212787,4.7282254870,9.6946430507,7.7941053138
45,545,55.4609439708,4.7713481790,7.1586100011,9.4766391016
46,546,55.4766685496,4.7870727578,6.7685837722,9.3438812445
47,547,55.5690769245,4.8794811327,6.8938429556,8.0481861463
48,548,55.5892340896,4.8996382978,6.9512984599,6.5418176429
49,549,55.6168019531,4.9272061613,8.8671632885,5.9622622588
50,550,55.7438006170,5.0542048252,0.0868556547,0.8951437755
51,551,55.7722769260,5.0826811342,5.8618227312,7.4354281093
52,552,55.8310241809,5.1414283891,8.8953388323,8.9300017505
53,553,55.8829164578,5.1933206660,0.4804298764,7.2560133608
54,554,55.8986113481,5.2090155563,6.3767408578,6.7400437210
55,555,55.9515871661,5.2619913743,7.4444958032,7.5509833753
56,556,56.0224217932,5.3328260014,4.7308768115,8.8421207050
57,557,56.0274291025,5.3378333107,5.7590049898,7.8744411851
58,558,56.1094538638,5.4198580721,2.1036665863,3.3988820966
