analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,94.6981385650,0.0901367132,5.2023111196,4.1273201554
2,502,94.7149278648,0.1069260130,9.5682749501,1.9897621799
3,503,94.8076463856,0.1996445338,7.0034919206,3.3556593068
4,504,94.9238207743,0.3158189225,7.1402326781,9.4339088735
5,505,95.0062837588,0.3982819071,0.6661243524,5.3298295611
6,506,95.0995532512,0.4915513994,8.6294751364,0.6355596324
7,507,95.1225281860,0.5145263342,7.2222809184,8.7825962091
8,508,95.1333307289,0.5253288771,4.4705353782,6.6506044365
9,509,95.1958870323,0.5878851805,6.8491605843,8.0696799186
10,510,95.2601172102,0.6521153585,3.6533397849,1.4520188316
11,511,95.4848868195,0.8768849677,3.0516330760,7.5888797175
12,512,95.8337873680,1.2257855162,2.3933118743,2.9488114372
13,513,95.9098539091,1.3018520573,8.8804869236,7.2700491591
14,514,96.0131744074,1.4051725556,0.1818018367,2.7431881827
15,515,96.0988515736,1.4908497218,4.7868402119,9.3752956078
16,516,96.1180234949,1.5100216431,8.9094804670,1.2670441952
17,517,96.1336868221,1.5256849703,2.7460471080,6.6218055668
18,518,96.2954075839,1.6874057321,6.6105322480,6.7349232491
19,519,96.3087759589,1.7007741072,7.3905622203,9.9739683550
20,520,96.4247850144,1.8167831626,8.8868948286,8.3496558006
21,521,96.4772608572,1.8692590054,4.4209158316,9.5448185028
22,522,96.5005705051,1.8925686534,4.8633732138,4.6649994124
23,523,96.6061315194,1.9981296676,4.5768200138,8.8929710015
24,524,96.6432669835,2.0352651318,9.1904798440,9.4470534510
25,525,96.7443561639,2.1363543122,2.8800609090,3.7326984325
26,526,96.9807935865,2.3727917348,5.3606323984,8.6653325001
27,527,97.0378794856,2.4298776339,5.5282137179,2.6493105523
28,528,97.0415187881,2.4335169363,0.3371357296,8.0091230328
29,529,97.2816615675,2.6736597157,8.0495035539,1.8262396691
30,530,97.3729052264,2.7649033746,2.7996000950,1.6129681884
31,531,97.4562085949,2.8482067432,4.4677219547,6.6231711544
32,532,97.4790654518,2.8710636000,5.9583710402,3.0619919654
33,533,97.5328506958,2.9248488440,7.3388741750,9.7003082752
34,534,97.6497760105,3.0417741587,1.1281677443,9.7037307404
35,535,97.6827555359,3.0747536841,1.9326519468,0.9201918366
36,536,97.6863156082,3.0783137564,2.5556434823,9.5471201819
37,537,97.7051826119,3.0971807602,3.7624042551,9.9046707813
38,538,97.7904903031,3.1824884513,6.2250836604,4.8650934398
39,539,98.0658218547,3.4578200030,1.5014265676,4.6877894729
40,540,98.1678993973,3.5598975455,1.2642746292,7.1677628564
41,541,98.1729980412,3.5649961894,6.7169019728,2.3893423533
42,542,98.1959674898,3.5879656380,7.2337127718,3.4388662157
43,543,98.1985336300,3.5905317782,9.6890975548,7.1861816606
44,544,98.2778475478,3.6698456960,1.1735510538,0.4069406970
45,545,98.3549509606,3.7469491088,6.2630043387,5.5178535494
46,546,98.3867739311,3.7787720793,7.3620115955,1.6759931961
47,547,98.5685094161,3.9605075643,3.5134792964,1.5694162822
48,548,98.6098660805,4.0018642287,1.2978039173,7.6852285499
49,549,98.8898332983,4.2818314466,1.0249265209,6.2561928392
50,550,98.9520601064,4.3440582547,1.9892344010,6.6414647695
51,551,98.9521454711,4.3441436193,7.2385990207,5.4448938088
52,552,99.1517805515,4.5437786997,9.7235948389,7.4720540948
53,553,99.2315688708,4.6235670190,6.9012214105,6.7259149525
54,554,99.2963748751,4.6883730233,3.2573616364,8.8110885903
55,555,99.4945049068,4.8865030551,5.8519786718,2.8418001503
56,556,99.5640531650,4.9560513133,4.3430100782,1.5029074465
57,557,99.7301064763,5.1221046245,6.3416478154,3.9649064572
58,558,99.8064146335,5.1984127817,9.6292978322,9.4824927758
59,559,99.9067498724,5.2987480206,5.5966191496,6.5284746131
60,560,100.0950313797,5.4870295279,5.5015236224,4.4927233580
61,561,100.3450686802,5.7370668284,1.3344751390,7.7936347427
62,562,100.4282144432,5.8202125915,8.7424682014,0.5957404484
63,563,100.7391648114,6.1311629596,7.0516166569,4.8699534293
64,564,101.0884892750,6.4804874232,9.1819301786,9.4680087312
65,565,101.1011676014,6.4931657497,6.7648385810,7.3053050311
66,566,101.2635141743,6.6555123225,7.1059537546,1.9620352356
67,567,101.7816969975,7.1736951457,8.8050015018,9.7532212302
68,568,101.8073301971,7.1993283453,7.9693715976,3.2801804113
69,569,101.9558473795,7.3478455277,9.9717690684,0.5263927809
70,570,102.1942044633,7.5862026115,5.8642706836,8.3842720261
71,571,102.2609856104,7.6529837586,0.3281069474,7.2705969462
72,572,102.4184184030,7.8104165512,9.7111884854,0.3308723354
73,573,102.6945048913,8.0865030395,4.7038053898,4.7264924073
74,574,103.2719681763,8.6639663245,1.4310935383,6.4331599033
75,575,103.8872901613,9.2792883095,8.2961021163,6.3163868751
76,576,103.9376816474,9.3296797956,2.9182062907,5.0770534353
77,577,103.9732416042,9.3652397524,0.3363540189,8.5759440676
78,578,104.2482248377,9.6402229859,4.1590535235,4.9047819941
79,579,104.4246191887,9.8166173369,2.8525773687,3.6195067239
80,580,104.5409432258,9.9329413740,1.0351899379,3.8966056772
81,581,104.7638208125,10.1558189607,2.2084575931,9.0294588355
82,582,105.0828128124,10.4748109606,2.3776701255,3.3498137564
83,583,105.2515559052,10.6435540535,3.7449321471,4.5764326644
84,584,105.3498465387,10.7418446869,4.0414953105,9.6615236166
85,585,105.3803247954,10.7723229436,0.2757163809,2.2656105344
86,586,105.5911091888,10.9831073370,0.0786340259,4.7113950188
87,587,106.2256901015,11.6176882497,0.8622890207,0.8557680799
88,588,106.4684224298,11.8604205780,9.1683598686,3.8670645528
89,589,106.5310269487,11.9230250969,8.0955973754,3.9818087761
90,590,106.6822368633,12.0742350115,0.0182565218,5.5679417119
91,591,106.8009952004,12.1929933486,5.5993022459,5.4800462666
92,592,107.0176814242,12.4096795725,5.8304821634,1.2342043141
93,593,107.0466963422,12.4386944904,1.8637794039,1.7415807324
94,594,107.1571914854,12.5491896336,6.9338744134,0.6881728377
95,595,107.1596221670,12.5516203152,2.3214947023,2.5857379661
96,596,107.2113512432,12.6033493914,4.0924429987,1.7131886280
97,597,107.4930438878,12.8850420360,7.8163221467,4.1548321874
98,598,107.5688666606,12.9608648088,6.2533567271,3.5319550667
99,599,107.7391360236,13.1311341718,5.0004158694,2.5950671300
100,600,107.9857026135,13.3777007617,5.3044653769,2.4570358023
101,601,108.1470086431,13.5390067913,1.5797149718,3.2186346351
