analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,50.5202631717,0.0544147125,5.6185562279,5.9685337213
2,502,50.5373844711,0.0715360119,6.7122152078,1.6936730332
3,503,50.5587594032,0.0929109440,0.1905665434,5.4772168358
4,504,50.7194327454,0.2535842862,6.2657517622,7.4461982215
5,505,50.7369791478,0.2711306885,2.9348533578,4.6999098285
6,506,50.7678138636,0.3019654044,9.4843601376,0.9668485402
7,507,50.9456152456,0.4797667864,7.0089623005,5.8995753615
8,508,51.2947369424,0.8288884832,7.8603475159,1.1462950112
9,509,51.3198885024,0.8540400432,1.1103886120,4.6995399886
10,510,51.4735497376,1.0077012783,0.2019010038,5.0963689448
11,511,51.6043978101,1.1385493509,5.3550929703,6.4387125464
12,512,51.6257906742,1.1599422150,3.9220435108,8.6454484136
13,513,51.7112119088,1.2453634496,9.2730558977,1.1341229308
14,514,51.8595246969,1.3936762377,7.3102730837,0.5361618566
15,515,51.9425443942,1.4766959350,3.1674783684,3.1240042990
16,516,51.9680195298,1.5021710706,9.4096180859,0.9048886349
17,517,52.1117226746,1.6458742154,3.8178550815,9.7387509939
18,518,52.2472906534,1.7814421941,2.4602724182,6.5300414919
19,519,52.2804501435,1.8146016843,1.2876446103,3.1436243196
20,520,52.4004907274,1.9346422682,1.7647820067,4.9896939476
21,521,52.4059113790,1.9400629197,4.5888160991,0.0014916551
22,522,52.4136993595,1.9478509003,4.6546475507,2.3892861975
23,523,52.6394777664,2.1736293072,2.2121485746,9.4546473680
24,524,52.6994627201,2.2336142609,4.6876099126,8.4901827122
25,525,52.7046681117,2.2388196525,5.0650751990,3.9349939900
26,526,52.7992624434,2.3334139842,9.6937597424,5.9946297637
27,527,52.8421530637,2.3763046045,5.6203220661,7.8533015228
28,528,52.8474445485,2.3815960893,5.7766992402,1.9742427264
29,529,52.8766485731,2.4108001139,8.9291523910,6.2857612427
30,530,53.4059000665,2.9400516072,6.3097868296,3.7929153713
31,531,53.6031764479,3.1373279887,4.0717290495,5.4103795203
32,532,53.7797716706,3.3139232113,3.0077535260,9.5341426544
33,533,53.8106640772,3.3448156180,4.5434543810,5.0758056718
34,534,53.8185399567,3.3526914974,1.7647497305,2.5127026765
35,535,53.8753444539,3.4094959946,7.5820893372,4.4956018307
36,536,53.9877750072,3.5219265480,4.4928576735,2.7145130232
37,537,54.2448431372,3.7789946780,8.2480345290,1.7125351417
38,538,54.3970984686,3.9312500094,9.8934841867,7.9188003920
39,539,54.4080962127,3.9422477535,3.5450374713,3.6076978135
40,540,54.5066467022,4.0407982430,1.1356053273,6.5002903730
41,541,54.5403487049,4.0745002457,2.6427540947,5.2704695953
42,542,54.5806096398,4.1147611806,3.7694971973,6.6975641239
43,543,54.6455432002,4.1796947410,9.1111214895,9.6503453563
44,544,54.8779854723,4.4121370130,7.5606403142,8.7247091784
45,545,54.9070419862,4.4411935270,9.6550555753,7.7080089856
46,546,54.9436423741,4.4777939148,8.7161941464,1.9689237762
47,547,55.0165610607,4.5507126015,6.1223240683,0.1834511376
48,548,55.1583180525,4.6924695933,9.0520875679,3.0359900850
49,549,55.2356814765,4.7698330173,8.6369500901,8.5726789242
50,550,55.2809258988,4.8150774396,0.1392955440,3.1854049658
51,551,55.4051681728,4.9393197136,0.8521075472,1.6192412863
52,552,55.5372347547,5.0713862954,8.9925938675,6.5667157652
53,553,55.5801778054,5.1143293462,7.8432051958,5.8452014012
54,554,55.6324231027,5.1665746435,2.2613417003,1.7075949253
55,555,55.7777384740,5.3118900147,8.5876388164,3.9090246305
56,556,55.8327366390,5.3668881798,2.6860328285,2.0502114053
57,557,55.8741816074,5.4083331482,4.9934075527,3.3749413888
58,558,56.1107865832,5.6449381239,6.9681410221,9.3990843105
59,559,56.1791586682,5.7133102090,8.7215322722,4.7179653518
60,560,56.2226524451,5.7568039859,5.6915012381,2.1167932182
61,561,56.5108744553,6.0450259961,8.8053988683,6.3735325814
62,562,56.5334591135,6.0676106543,3.4232725202,2.7842545467
63,563,56.7449495861,6.2791011269,7.6532326174,2.8172467538
64,564,56.7715601154,6.3057116562,9.0874111916,6.8390240528
65,565,56.8230394853,6.3571910260,9.8161459203,4.1922469515
66,566,57.0776560018,6.6118075426,6.5588657194,9.3878872791
67,567,57.2211460102,6.7552975510,6.2075141435,2.6338483520
68,568,57.3342674250,6.8684189658,7.5766339827,0.0998704250
69,569,57.4400254165,6.9741769573,5.2014393955,1.8897266868
70,570,57.6173127994,7.1514643402,2.3103350852,1.6894413499
71,571,57.7263647244,7.2605162651,0.9317472640,2.4064287520
72,572,57.8670427458,7.4011942866,7.9727154452,2.2671823438
73,573,58.0767564892,7.6109080300,8.0413418767,9.3875096819
74,574,58.2160425894,7.7501941302,1.4354680172,3.3369771659
75,575,58.2795231886,7.8136747294,5.4300302672,3.4670520693
76,576,58.2912328712,7.8253844120,0.2117539353,6.4306986519
77,577,58.3690840857,7.9032356265,4.2045444275,2.1362541758
78,578,58.3765067360,7.9106582768,2.8032056973,0.4755483669
79,579,58.3826698947,7.9168214354,0.1147195613,2.5513983877
80,580,58.5952955861,8.1294471269,5.6546610531,9.2376291785
81,581,58.6167856707,8.1509372115,4.9112437113,5.4087569820
82,582,58.6648624173,8.1990139581,5.8238060824,2.2923968929
83,583,58.7768538730,8.3110054138,4.9406700120,6.6040383810
84,584,58.8611962162,8.3953477570,4.5375927588,3.9108368929
85,585,58.9441161977,8.4782677385,9.1106680097,9.9411116563
86,586,58.9751068956,8.5092584363,5.8303098100,0.2704147987
87,587,58.9938924497,8.5280439905,2.0707742941,8.2360178837
88,588,58.9942273763,8.5283789171,2.0535181859,4.3138307230
89,589,59.0260427976,8.5601943383,5.4863284193,7.9219526517
90,590,59.1060251656,8.6401767064,5.8979438900,5.6845265390
91,591,59.1142852349,8.6484367757,2.0648098767,8.5460219835
92,592,59.1399660196,8.6741175604,7.0250070874,8.4689091417
93,593,59.1673471426,8.7014986834,9.9051402313,9.3425349308
94,594,59.5004005671,9.0345521078,3.7865780346,1.6980712924
95,595,59.5814903498,9.1156418906,3.4039154852,4.4951907075
96,596,59.6365930342,9.1707445750,8.2417657220,3.5103516111
97,597,59.6667312971,9.2008828379,5.4121010313,6.4014894917
98,598,59.7125734493,9.2467249901,9.8063297793,2.8940828523
99,599,59.9049967383,9.4391482791,7.6532579347,5.2116485576
100,600,60.0056537817,9.5398053225,8.9970480395,6.7840235732
101,601,60.0592612360,9.5934127768,3.3999201780,6.9628710005
102,602,60.2370795142,9.7712310550,2.0066127607,3.1900245050
103,603,60.2669268385,9.8010783793,8.5372671576,1.1403805068
104,604,60.2983927433,9.8325442841,8.9960859993,1.1498673903
105,605,60.4019918671,9.9361434079,0.8652393327,4.4381837812
106,606,60.4333709180,9.9675224588,1.3115576168,5.1017932364
107,607,60.5380819660,10.0722335068,4.2639450374,5.8335081655
108,608,60.6689163310,10.2030678718,8.0171664157,7.1376747079
109,609,60.6840759033,10.2182274441,1.2382728522,0.1321779810
110,610,60.9746385150,10.5087900557,2.3457883304,5.9057011961
111,611,60.9976551526,10.5318066934,1.3408256135,2.4610526590
112,612,61.0707650817,10.6049166224,1.8781510302,6.0438751546
113,613,61.0749570974,10.6091086382,0.1860494277,4.8866959284
114,614,61.2419333895,10.7760849303,4.2459316314,1.1527641771
115,615,61.5789063678,11.1130579086,7.7033444747,9.3635412442
116,616,61.5964342960,11.1305858368,0.4828674492,6.9062011267
117,617,61.6337265762,11.1678781170,6.9916736624,6.4552574394
118,618,61.6435025201,11.1776540609,7.5800350626,0.8664944509
119,619,61.6787115175,11.2128630583,6.8545040203,4.5424838822
120,620,61.8197066210,11.3538581618,8.0198065813,6.2122133617
121,621,62.0224876004,11.5566391412,6.3407037059,1.3234020003
122,622,62.1517129105,11.6858644513,5.1515526211,2.4350499106
123,623,62.4451601712,11.9793117120,9.6261057843,8.6469103487
124,624,62.7480853361,12.2822368769,7.2120881306,3.1046208944
125,625,62.8695650847,12.4037166255,9.7278453276,3.2358086804
126,626,63.0397704365,12.5739219772,5.1453677339,2.5760274651
127,627,63.0902830448,12.6244345856,9.9288469499,7.6488651912
