analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,49.5835001312,0.3788447981,7.6942939737,0.2753190666
2,502,49.6239601601,0.4193048270,7.5315580426,3.5799849034
3,503,49.6757197554,0.4710644223,7.6632240244,8.2419090499
4,504,50.1965141277,0.9918587946,8.3487817490,9.6385992173
5,505,50.4537940791,1.2491387460,8.7503815439,2.7600004099
6,506,50.4645398378,1.2598845047,3.4654431379,8.3123101952
7,507,50.5762456190,1.3715902858,6.5935283564,8.5304204542
8,508,50.6678426431,1.4631873100,1.5461425900,7.4128674939
9,509,50.7576753586,1.5530200255,6.1557150213,3.8358682655
10,510,50.9997409364,1.7950856033,8.2647233967,1.4281392497
11,511,51.1417426982,1.9370873651,2.4534544291,4.5211401034
12,512,51.1990182839,1.9943629508,9.3094726626,9.5127207300
13,513,51.2828825070,2.0782271739,4.3109049091,6.2235177345
14,514,51.4125343615,2.2078790284,5.9802028839,9.8837809398
15,515,51.4792866411,2.2746313080,3.4515934860,4.0931824649
16,516,51.4892925144,2.2846371813,3.5419024819,2.9159517797
17,517,51.4939022793,2.2892469462,1.4602545725,7.6505731781
18,518,51.6194840557,2.4148287226,8.2747878254,2.9237178216
19,519,51.7513601111,2.5467047780,7.8239219826,6.0948684686
20,520,51.7718747651,2.5672194320,7.2301702358,6.5097708835
21,521,51.7748071139,2.5701517808,9.8974473121,3.2319009455
22,522,51.9176018410,2.7129465079,7.6774450820,9.2678579957
23,523,52.0314731597,2.8268178266,8.5946381424,7.8830801075
24,524,52.2551889372,3.0505336041,9.2342446880,5.3379585633
25,525,52.3707892450,3.1661339119,3.3751503428,5.7748643148
26,526,52.6813854229,3.4767300898,5.3437085305,8.7724180743
27,527,52.6834002665,3.4787449333,1.6541591310,8.7723563205
28,528,52.7535231164,3.5488677833,3.6586941945,7.0392583608
29,529,52.8533330981,3.6486777649,8.4290404500,9.6350260303
30,530,52.8826226999,3.6779673668,9.1453552035,2.4714382685
31,531,52.8946666608,3.6900113277,9.8028744762,5.7602816538
32,532,52.9348754623,3.7302201292,0.7182295665,7.9546962089
33,533,52.9773303440,3.7726750109,4.5665287628,3.4451224417
34,534,53.0444060198,3.8397506866,4.3816757127,4.5953501277
35,535,53.0611111361,3.8564558030,2.5607800624,9.9835086079
36,536,53.0663582080,3.8617028748,3.2596868016,2.2273725769
37,537,53.1551609749,3.9505056418,2.2045144389,6.9125947419
38,538,53.2209112255,4.0162558924,4.4649486182,7.2189091879
39,539,53.4449535352,4.2402982021,1.0608317817,1.3430103078
40,540,53.4725551207,4.2678997875,2.4109344416,0.5460802582
41,541,53.4884900484,4.2838347153,4.4242789891,1.6567705284
42,542,53.5250746161,4.3204192830,1.0329300763,0.7652039772
43,543,53.5691587227,4.3645033896,5.5511983519,5.9558977967
44,544,53.6180361456,4.4133808125,1.3805283813,0.8696084679
45,545,53.6270685204,4.4224131873,7.9526005136,0.9800854056
46,546,53.6898799651,4.4852246319,3.5133239807,2.9577164134
47,547,53.7971980689,4.5925427357,3.9121097171,9.3201732541
48,548,53.8989837591,4.6943284260,6.8612108771,2.0616967912
49,549,53.9445409399,4.7398856067,8.6071315621,9.4359999279
50,550,53.9667739616,4.7621186285,6.2287915390,4.6104396861
51,551,54.2349129548,5.0302576217,9.6128767475,2.4296612309
52,552,54.2561607004,5.0515053673,8.5472260631,7.5804972983
53,553,54.4261833492,5.2215280160,3.4873353485,2.8938302483
54,554,54.4943910649,5.2897357318,7.9443457702,9.4893779249
55,555,54.5227077707,5.3180524376,4.5969194604,0.6559417364
56,556,54.5604315591,5.3557762260,8.6765322730,6.3870896029
57,557,54.5762523712,5.3715970381,6.4941084124,7.3760220407
58,558,54.8941183214,5.6894629883,3.6432476428,0.5883743260
59,559,54.9303949044,5.7257395712,3.7664871377,6.0243371117
60,560,54.9459850563,5.7413297232,9.2430764691,8.2253350406
61,561,55.0279977768,5.8233424437,4.7869115244,5.4652914363
62,562,55.0968335692,5.8921782361,4.3137474662,1.7881335391
63,563,55.1266438844,5.9219885513,7.1001409897,5.2958680227
64,564,55.2623348208,6.0576794877,9.9982953623,6.5725755353
65,565,55.2782600119,6.0736046787,8.0116124195,5.1069762816
66,566,55.4352231551,6.2305678220,7.1210308881,6.2329854751
67,567,55.5391341497,6.3344788166,1.1492247919,0.5073764220
68,568,55.7022659986,6.4976106654,0.0631313280,8.8593473178
69,569,55.7024389526,6.4977836195,3.5290213118,2.3095382472
70,570,55.8691997871,6.6645444540,7.7258449944,8.5136856367
71,571,56.0301625486,6.8255072155,3.9702802254,5.9297291102
72,572,56.1119943386,6.9073390055,4.4134622299,6.5433670608
73,573,56.1610627913,6.9564074582,6.9388925512,1.0279955826
74,574,56.1795007434,6.9748454102,4.7054688191,6.3514639987
75,575,56.2323364172,7.0276810840,2.8667962553,3.4025673621
76,576,56.3288791068,7.1242237737,3.9236538771,2.5212742721
77,577,56.3435377977,7.1388824646,6.0607593574,6.9186176317
78,578,56.3660951704,7.1614398373,4.1296969015,0.6312086055
79,579,56.3944242955,7.1897689624,3.9603675004,0.3277586932
80,580,56.6247859407,7.4201306076,8.1808711993,3.8879333925
81,581,56.9322811863,7.7276258532,5.7099469305,3.9722385668
