analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,142.4898785309,0.1655062891,7.6996054846,1.9074376673
2,502,142.5231787176,0.1988064758,1.9003554049,4.2616586431
3,503,142.6111486901,0.2867764484,5.7689195321,2.5963611707
4,504,142.6477029360,0.3233306943,1.9719576808,5.3732206272
5,505,142.6696033663,0.3452311245,2.7283338921,4.2347215686
6,506,142.7841490202,0.4597767785,4.9571228525,3.5910016780
7,507,142.8505502317,0.5261779900,2.4302070273,3.9470758894
8,508,142.8552156513,0.5308434095,7.3117983977,2.7999865952
9,509,142.8806201960,0.5562479543,4.4534719528,6.1573167324
10,510,142.9723924883,0.6480202466,1.5908186866,6.5476470119
11,511,143.1739613239,0.8495890822,2.3956117125,3.7652396780
12,512,143.2036415064,0.8792692647,5.2804430295,8.8385549696
13,513,143.6520118348,1.3276395930,0.5574375759,5.8855530506
14,514,143.6738029713,1.3494307295,4.7896904325,4.6414703633
15,515,143.7990075453,1.4746353035,8.4549969944,5.4002533777
16,516,143.9970053954,1.6726331537,6.0554218443,6.6665588612
17,517,144.2603752033,1.9360029615,2.8893339626,6.9747048045
18,518,144.3462904390,2.0219181972,2.2836164597,9.6127219345
19,519,144.4981051625,2.1737329208,0.8001817334,9.1324229535
20,520,144.5896294847,2.2652572429,1.0051651881,3.8005180667
21,521,144.6041898006,2.2798175588,2.1515304113,2.5624797658
22,522,144.7929763729,2.4686041311,2.0040441723,0.9093786291
23,523,145.0159232911,2.6915510494,5.8602266276,5.0093635829
24,524,145.2187570439,2.8943848021,6.2436114581,0.3217970096
25,525,145.2489473664,2.9245751247,0.4962620817,2.7789765307
26,526,145.3405307358,3.0161584941,2.4083215340,5.9477813846
27,527,145.6789604846,3.3545882429,0.7127553420,9.7579920440
28,528,145.9035769922,3.5792047505,3.4389192964,9.8527645638
29,529,146.1203851655,3.7960129238,5.1129970482,0.8676356121
30,530,146.6434337023,4.3190614605,0.2340022308,0.0555749063
31,531,146.6988660700,4.3744938283,8.3568285442,7.3762487644
32,532,146.7324342825,4.4080620407,9.7509579125,6.0248583898
33,533,146.8760700822,4.5516978404,2.4377067768,9.7267933515
34,534,147.6348293814,5.3104571396,0.0405634376,3.3218755678
35,535,147.9740840831,5.6497118414,1.2617409827,7.9778768135
36,536,148.0978339644,5.7734617227,3.1333448734,7.5430962957
37,537,148.3741310700,6.0497588283,2.5309955442,4.0764602555
38,538,148.4967640651,6.1723918234,2.7947335706,0.6556233828
39,539,149.1496079521,6.8252357103,8.6336895557,5.9789468031
40,540,149.2671567039,6.9427844622,3.9622274439,4.4050802039
41,541,149.5689242860,7.2445520442,8.4970773422,6.1933162827
42,542,149.7165175972,7.3921453555,3.8151095179,1.0728168095
43,543,149.7718758137,7.4475035719,2.4120851025,0.4992755960
44,544,149.8482318440,7.5238596022,8.4090196463,4.9071054319
45,545,149.9698720373,7.6454997956,0.0021012407,4.8707473101
46,546,150.3027407578,7.9783685161,0.0784094899,2.6463358417
47,547,150.3224753277,7.9981030859,8.8797051389,2.9844253161
48,548,150.5045221365,8.1801498947,3.7028550975,2.4800755272
49,549,150.5777550096,8.2533827679,5.3966112831,0.9818838816
50,550,150.7427032366,8.4183309949,9.4636421889,6.3787704582
51,551,151.1542773359,8.8299050942,5.9111795683,2.3992229403
52,552,151.3982488902,9.0738766485,0.1214004350,3.3744811823
53,553,151.4959153097,9.1715430679,0.1450774636,1.0109683377
54,554,151.5469212452,9.2225490034,1.2992684889,4.6546577210
55,555,151.7551847287,9.4308124870,5.4206740728,5.0837377157
56,556,154.9427705349,12.6183982932,8.9588466060,7.4119024172
57,557,154.9624513817,12.6380791399,0.9167906841,2.6111646581
58,558,154.9770926739,12.6527204321,9.0134609951,2.7444487679
59,559,155.0160007710,12.6916285292,5.8636063954,8.3056804043
60,560,155.0280847281,12.7037124864,7.9858928124,9.9286396862
61,561,155.0833097820,12.7589375402,2.2882112164,6.2788328991
62,562,155.1620336493,12.8376614075,4.8004842217,7.2934830321
63,563,155.2152507074,12.8908784656,2.6202035785,0.9133976483
64,564,155.3467690526,13.0223968108,3.8806851109,8.2873101707
65,565,155.3472828174,13.0229105756,3.4007557587,0.0020780952
66,566,155.4650539599,13.1406817181,6.9165512779,6.3247205946
67,567,155.5125343356,13.1881620938,0.4165614076,2.3127225948
68,568,156.0181595971,13.6937873553,4.4156261430,3.8954783360
69,569,156.0587959800,13.7344237383,3.8285927457,1.4027233069
70,570,156.1546479934,13.8302757517,5.4155680970,9.3329450968
71,571,156.1875625781,13.8631903363,0.1237437184,2.4211638296
72,572,156.2460396652,13.9216674234,5.0061893297,7.1923251696
73,573,156.3817641836,14.0573919418,4.6197920906,3.2031808004
74,574,156.4552263676,14.1308541258,0.3789031782,6.3910550277
75,575,156.7166926154,14.3923203736,7.2846276140,8.5386989318
76,576,156.8366380462,14.5122658044,0.7887032537,2.6451084437
77,577,156.9133685821,14.5889963403,1.3291629990,2.9034143392
78,578,156.9520540393,14.6276817975,7.6811296083,5.2234805126
79,579,157.0168960105,14.6925237688,9.3287853949,3.6956517086
80,580,157.0910259916,14.7666537498,9.9537400886,5.4576268788
81,581,157.1258163227,14.8014440810,0.5601884744,8.2449668699
82,582,157.4511681108,15.1267958690,2.4632385152,7.3176463754
83,583,157.5294213781,15.2050491363,3.6952053603,3.5217898403
84,584,157.8580433751,15.5336711334,3.1333140408,6.1944118621
85,585,158.0989500451,15.7745778033,6.7278381902,1.5202237150
86,586,158.1313523529,15.8069801111,9.6956773873,4.1393387562
87,587,158.6407267050,16.3163544632,0.5857104515,6.5766065091
88,588,159.2955643090,16.9711920672,7.9805130578,2.2760112591
89,589,159.4416008153,17.1172285736,6.6809110418,1.1324407105
90,590,159.8448691651,17.5204969233,9.8808228004,2.7281536907
91,591,160.0716960872,17.7473238454,6.8952638608,3.0124939312
92,592,160.0993611405,17.7749888988,6.6472014065,5.2703264157
93,593,160.1272313978,17.8028591561,8.5302238013,1.4791148805
94,594,160.1323687780,17.8079965363,1.0109418571,0.9187593832
95,595,160.2988035588,17.9744313170,5.9652313924,9.3389589766
96,596,160.5172627181,18.1928904764,9.9279786508,5.3725874705
97,597,160.7056252328,18.3812529911,8.3163945502,0.1867807597
98,598,160.8052017782,18.4808295364,6.6344727179,4.0950154691
99,599,161.0506729095,18.7263006678,8.8017147361,4.5622218943
100,600,161.3136597724,18.9892875306,1.0220085820,8.0030117386
101,601,161.4746499239,19.1502776822,3.9689675921,4.2738277528
102,602,161.5293495186,19.2049772769,9.8881351357,1.1774550285
103,603,161.6028422182,19.2784699764,5.8716474409,8.1923112502
104,604,161.6420288716,19.3176566299,6.8064134156,7.0816159152
105,605,161.7080199914,19.3836477496,7.1749964246,3.3434574152
106,606,162.0847128029,19.7603405611,1.0753725308,3.9784759230
107,607,162.1103942532,19.7860220115,4.0514066441,1.1158923297
108,608,162.1247408819,19.8003686402,2.7491646843,3.5575211360
109,609,162.1384047722,19.8140325304,1.7480640336,2.0871763703
110,610,162.1508886294,19.8265163877,7.5009179420,2.0898058826
111,611,162.3081386260,19.9837663843,3.4535292546,5.0840219692
112,612,162.3347983302,20.0104260885,5.1411593904,2.3000509531
113,613,162.4951499726,20.1707777309,4.9348281619,5.3710657712
114,614,162.6256957642,20.3013235225,8.4930832592,8.4758734260
115,615,162.8454912168,20.5211189750,9.0962008408,7.1229488643
116,616,163.1901719744,20.8657997327,7.3639828635,2.4631792025
117,617,163.3187383241,20.9943660823,8.3184304709,9.7337175572
118,618,163.3289389439,21.0045667021,9.1256258318,3.7260269492
119,619,163.5536149116,21.2292426699,9.5869050258,5.2907978753
120,620,163.8093467886,21.4849745469,9.7898555243,8.0763592225
121,621,164.2298585382,21.9054862964,4.6941114662,9.1861411088
122,622,164.4124374204,22.0880651786,6.5456907237,3.4003325551
123,623,164.9274145229,22.6030422812,9.2543818242,9.1160543249
124,624,165.8288410278,23.5044687860,1.6308323481,6.2984082354
125,625,166.1102685443,23.7858963025,0.7832076761,8.1445836468
126,626,166.1400790468,23.8157068050,7.8447630258,8.1595297795
127,627,166.2687662884,23.9443940466,6.4218728367,2.7779436406
128,628,166.9476296649,24.6232574232,7.0591086882,3.8572532262
129,629,167.1269874385,24.8026151968,9.6294116043,0.0011535601
130,630,168.3899543948,26.0655821530,7.2199822658,3.1236355965
131,631,168.8893202456,26.5649480039,4.7222428548,7.8602472204
