analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,53.6470919194,0.1197572622,5.4984636166,8.1421401985
2,502,53.6688831488,0.1415484916,2.1605689487,1.8903445626
3,503,53.8366112489,0.3092765917,0.5395954260,0.6897552428
4,504,53.8455537188,0.3182190616,1.0531490590,6.2411946176
5,505,53.8897692881,0.3624346309,2.5704833618,3.0203095946
6,506,53.9165118624,0.3891772052,5.5687461659,4.8234106396
7,507,53.9803771538,0.4530424966,2.7872238365,7.6048630625
8,508,54.0119110054,0.4845763482,8.6286398195,6.0704903293
9,509,54.2484424551,0.7211077979,0.7336004061,2.4482472740
10,510,54.3074796986,0.7801450414,3.1787559118,6.4486040627
11,511,54.3628799792,0.8355453220,5.2331410788,7.7849485491
12,512,54.3812923006,0.8539576434,9.0967890742,6.4330716762
13,513,54.4230946761,0.8957600190,5.0554761763,3.2584325288
14,514,54.5334108466,1.0060761895,6.7749395074,6.5088036020
15,515,54.6987906890,1.1714560318,0.6644612613,9.5025475322
16,516,54.7082169607,1.1808823036,3.4869820726,1.4913974017
17,517,54.7350693082,1.2077346511,5.0028698644,1.6992424989
18,518,54.7489313421,1.2215966849,2.3916736489,2.8657454228
19,519,54.7745752933,1.2472406361,9.2377263701,1.9854431941
20,520,54.8087601292,1.2814254720,5.3429488514,3.8675750122
21,521,54.8640201920,1.3366855348,0.9471084601,0.8871269739
22,522,55.0495492514,1.5222145942,3.2301324202,6.9292433176
23,523,55.0708714343,1.5435367771,8.7220087826,4.5982778517
24,524,55.0970305905,1.5696959333,7.8756602358,2.3482114362
25,525,55.1896981959,1.6623635387,4.2276597943,8.9078963951
26,526,55.2448903199,1.7175556627,3.7612120563,8.8717623267
27,527,55.2451903896,1.7178557324,2.0047049886,8.1118503331
28,528,55.2893780939,1.7620434367,5.7177000909,3.4369295699
29,529,55.3004922930,1.7731576358,3.1240814435,3.7014678488
30,530,55.3488766836,1.8215420264,0.9242160893,3.1595981043
31,531,55.4330676129,1.9057329558,7.9385636130,5.3963928014
32,532,55.5035729057,1.9762382485,7.0918286380,2.5761865759
33,533,55.7017924053,2.1744577481,4.4104548538,9.2246500235
34,534,55.7108921681,2.1835575109,4.4099123403,3.1121285249
35,535,55.7224552461,2.1951205889,5.8211750082,6.1007099829
36,536,55.8130557054,2.2857210482,4.9643065060,9.5975856190
37,537,55.8343781368,2.3070434796,6.0798385037,1.8399752266
38,538,55.9078989791,2.3805643220,5.2340952413,2.4038854914
39,539,55.9950453101,2.4677106529,6.7185366029,3.8854002968
40,540,56.0571074721,2.5297728149,2.5242122531,3.7551898994
41,541,56.0922348210,2.5649001638,9.7177991036,5.1148333912
42,542,56.1702961240,2.6429614669,1.3487995292,5.3013555354
43,543,56.2912100393,2.7638753821,8.3235869748,0.5058844760
44,544,56.3059560163,2.7786213592,1.7026519151,5.9632344387
45,545,56.3113066612,2.7839720041,0.2581208571,5.2027736555
46,546,56.4008374470,2.8735027899,1.0209123170,9.6396085721
47,547,56.4218309447,2.8944962876,6.5838492905,6.8257093192
48,548,56.5394687640,3.0121341068,4.5396347297,4.9730068389
49,549,56.5402781882,3.0129435310,5.4941613756,0.5746259381
50,550,56.6016609081,3.0743262509,1.1433933413,7.4721495660
51,551,56.6101540619,3.0828194047,6.0633610808,3.9177265609
52,552,56.6520032669,3.1246686097,4.3863585619,8.1295633093
53,553,56.7409939679,3.2136593108,3.9385292693,5.2088535579
