analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,47.1207485422,0.1479092191,1.4740431777,0.4704231601
2,502,47.1662081829,0.1933688597,2.7352416782,8.3964613874
3,503,47.2221651795,0.2493258563,5.7712865262,3.4590373881
4,504,47.2269564634,0.2541171402,5.9069674964,4.3105848436
5,505,47.2349801548,0.2621408317,4.5944924830,0.6059750382
6,506,47.2815997206,0.3087603975,0.6954609775,1.0494806266
7,507,47.4060581580,0.4332188349,2.4204983004,7.6732790603
8,508,47.4346404445,0.4618011213,6.6864799569,5.7707988513
9,509,47.5357952716,0.5629559484,6.5590201932,5.1105392528
10,510,47.5668982771,0.5940589539,6.6297323359,2.5440025706
11,511,47.6008051358,0.6279658126,0.6671253840,8.2139190569
12,512,47.6100730235,0.6372337004,3.9819323974,6.4728682498
13,513,47.7656861621,0.7928468389,0.3922814636,1.4826372896
14,514,47.8680859194,0.8952465962,9.1101713728,1.1302145283
15,515,47.9956854306,1.0228461074,2.7273459526,1.4759035864
16,516,47.9969339584,1.0240946352,0.0529120171,0.0908584199
17,517,48.1664726603,1.1936333371,1.4752886630,2.5289021725
18,518,48.3369093660,1.3640700428,4.6520611990,2.1351233964
19,519,48.3467746881,1.3739353649,5.2042034143,1.8409388498
20,520,48.3781230341,1.4052837109,4.8205889907,5.6192109501
21,521,48.3847411423,1.4119018191,6.8555678878,1.8239919625
22,522,48.5934744669,1.6206351437,9.5498698568,2.8591453962
23,523,48.6208416939,1.6480023707,6.9059277162,8.8889909599
24,524,48.6330007733,1.6601614501,5.7263974621,4.5898128502
25,525,48.6374560715,1.6646167483,0.1658888482,5.7109931166
26,526,48.6432881759,1.6704488527,1.8274121012,1.7747440522
27,527,48.7438234669,1.7709841437,9.7278292764,8.7628890672
28,528,48.7602105604,1.7873712372,3.8568005348,2.2406867604
29,529,48.8540009447,1.8811616215,0.3421168515,1.0366602508
30,530,49.2433938264,2.2705545032,8.6402952014,7.2566075708
31,531,49.2770783078,2.3042389846,9.6520661618,9.6571041833
32,532,49.3537514857,2.3809121625,4.0951276061,0.0685968134
33,533,49.3864190593,2.4135797361,9.2826354632,1.9335715863
34,534,49.4681648429,2.4953255197,3.6608712138,4.8195697599
35,535,49.4827917685,2.5099524453,6.2300513991,3.6769604975
36,536,49.5771182390,2.6042789158,9.6530678388,7.2864840367
37,537,49.6580287503,2.6851894271,2.4821064403,7.1710959865
38,538,49.6784065987,2.7055672755,3.2891602847,6.0246459435
39,539,49.6947997325,2.7219604093,4.8023651671,7.7091333830
40,540,49.7172620415,2.7444227183,6.7480636342,2.8163754140
41,541,49.8726407051,2.8998013819,5.0446894784,0.5626706385
42,542,50.0720382773,3.0991989541,2.7163462508,4.1148756777
43,543,50.1514707626,3.1786314394,4.3739650730,1.7412631360
44,544,50.1928009597,3.2199616366,6.5222030099,5.6526445379
45,545,50.3171581508,3.3443188276,2.7783623377,5.6741364717
46,546,50.3291755565,3.3563362333,6.8998789848,0.9985403690
47,547,50.3429547454,3.3701154223,1.5358144696,4.0925306556
48,548,50.4034968199,3.4306574967,1.1455228309,4.6675578363
49,549,50.4326925172,3.4598531941,4.0229753499,2.5164140818
50,550,50.4613410455,3.4885017223,0.7831160180,4.0672595474
51,551,50.4883795358,3.5155402126,7.9345998936,4.5387108811
52,552,50.5200303371,3.5471910139,1.2252405291,0.3502735759
53,553,50.5908058089,3.6179664857,0.6425947498,2.0767051272
54,554,50.5934227073,3.6205833842,4.6976460873,2.6481117667
55,555,50.6107072231,3.6378678999,5.8392540836,1.0457506619
56,556,50.9393279740,3.9664886509,3.1098841544,7.0984641546
57,557,51.0262295228,4.0533901996,6.2456225166,2.9439960729
58,558,51.0856306680,4.1127913449,5.8283766462,3.1618118448
59,559,51.1222236589,4.1493843357,4.8032655662,5.4838289145
60,560,51.1894729323,4.2166336092,3.3056394043,1.2582913105
61,561,51.3355362722,4.3626969490,3.3278898120,4.3826721479
62,562,51.3424052577,4.3695659345,3.9087534434,1.8978708956
63,563,51.5030003730,4.5301610498,9.5158224029,1.7498392835
64,564,51.5817918021,4.6089524789,3.4005391281,7.2573353069
65,565,51.5931552301,4.6203159069,7.7455647771,4.2433454675
66,566,51.6229342574,4.6500949342,8.8367772050,5.4513507011
67,567,51.6360754472,4.6632361240,5.7459067038,1.7398025209
68,568,51.7445761836,4.7717368604,2.7604716347,3.8242156175
69,569,51.9717522732,4.9989129500,2.9886558197,4.4427984572
70,570,51.9966853976,5.0238460744,2.8656772250,2.8432436057
71,571,52.1173638231,5.1445244999,5.6078901837,3.8256255818
72,572,52.1220670986,5.1492277754,0.9020172308,0.7696287548
73,573,52.3144394368,5.3416001136,4.2880471282,1.2883475370
74,574,52.3969737221,5.4241343989,2.9998403153,6.7011257704
75,575,52.4545494809,5.4817101577,7.1915525783,4.2076786132
76,576,52.6141543781,5.6413150549,2.3920653251,3.8323827346
77,577,52.9328269861,5.9599876629,3.5465105448,4.8384736382
78,578,53.0321579405,6.0593186174,5.2477356582,5.5774999234
79,579,53.0536010746,6.0807617514,6.9539013792,4.7750464260
80,580,53.0837930346,6.1109537114,9.3973420789,6.1667559729
81,581,53.1198701650,6.1470308418,9.7243480553,8.1916330692
82,582,53.1534924815,6.1806531583,7.6391300059,5.1186843937
83,583,53.1846538627,6.2118145396,5.2647107342,6.1228408766
84,584,53.3713267945,6.3984874714,0.1948139691,1.5129912058
85,585,53.3735977323,6.4007584091,5.7235200513,6.9167225186
86,586,53.3874678623,6.4146285391,8.1644395534,7.6230461612
87,587,53.5208137395,6.5479744164,8.1161682086,5.6086295906
88,588,53.5983900293,6.6255507061,9.3132826195,9.0266599676
89,589,53.5996969662,6.6268576430,1.8942580106,0.3408484003
90,590,53.6681914272,6.6953521040,7.6949428110,5.9389954019
91,591,53.6743488372,6.7015095140,8.3333480002,6.2017908968
92,592,53.8455496642,6.8727103410,7.5336462357,3.8307117251
93,593,53.9373246544,6.9644853312,2.6045780644,5.7599097098
94,594,53.9615252200,6.9886858968,5.8366126462,5.8018492137
95,595,53.9652833392,6.9924440160,8.2609884375,3.5875640628
96,596,54.1091079676,7.1362686444,9.7631486912,6.6776895164
97,597,54.1321555423,7.1593162192,4.3585786118,1.1761092822
98,598,54.2543101914,7.2814708682,6.1038229255,2.4501001232
