analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,24.9364205839,0.1575955080,7.8939991127,2.8600639587
2,502,24.9373188434,0.1584937674,0.2906125658,4.8541535693
3,503,25.0441929147,0.2653678387,2.1204647825,4.6568530735
4,504,25.1588782567,0.3800531807,3.2616648326,0.2887036470
5,505,25.1618101791,0.3829851032,0.2922454065,2.7243924794
6,506,25.1803481881,0.4015231122,9.4648476458,2.3288069798
7,507,25.1815651180,0.4027400420,4.3795284415,4.8487618581
8,508,25.1965961294,0.4177710534,7.8293276256,1.8324821093
9,509,25.2068627108,0.4280376349,2.0616309139,5.6675871825
10,510,25.2328039276,0.4539788516,5.0916727982,5.4026572174
11,511,25.2460861127,0.4672610367,0.6881062161,0.7208600726
12,512,25.2778237721,0.4989986961,6.3660550571,8.4427595132
13,513,25.3974315246,0.6186064486,3.6699621375,9.6170901472
14,514,25.4016285632,0.6228034872,4.2411288715,7.6249402235
15,515,25.4739913470,0.6951662710,6.7202226076,4.9733941228
16,516,25.5020720755,0.7232469996,2.1376951046,9.1575577977
17,517,25.6160148037,0.8371897277,0.4894479011,9.2505844197
18,518,25.6300382759,0.8512132000,4.6485566235,9.1754215372
19,519,25.6918178730,0.9129927970,5.3941511537,7.5644624622
20,520,25.8104959665,1.0316708906,8.9846706235,2.6382017202
21,521,25.8268128763,1.0479878003,5.6313242873,8.5326464557
22,522,25.8843224818,1.1054974058,3.2333168389,6.3049560173
23,523,26.0116750322,1.2328499563,3.7045691085,5.3060638401
24,524,26.0349980113,1.2561729353,4.3854826435,5.0326438742
25,525,26.0479986141,1.2691735381,1.1323150305,9.2522820270
26,526,26.0718448973,1.2930198213,9.3672031517,1.9819394443
27,527,26.1020969467,1.3232718707,8.2348426956,3.8651627387
28,528,26.1283655694,1.3495404935,2.7047956975,4.5348120795
29,529,26.1630797608,1.3842546848,5.6457576695,9.5227496490
30,530,26.1704882989,1.3916632229,5.8870602971,8.0111574288
31,531,26.4057069575,1.6268818816,4.5341645083,1.9766228592
32,532,26.4060919371,1.6272668612,2.6613590224,4.2868235031
33,533,26.4804332478,1.7016081718,0.4045219503,1.9261458866
34,534,26.5314118788,1.7525868028,5.0692805045,6.3618054839
35,535,26.5860848945,1.8072598185,9.4651913928,7.2771027598
36,536,26.5884915335,1.8096664575,1.6918260231,5.0751112814
37,537,26.6175247812,1.8386997052,6.9639775843,6.4453898288
38,538,26.6283165571,1.8494914812,5.6383916372,3.6234020518
39,539,26.6616626287,1.8828375527,6.9290163634,5.7143225043
40,540,26.6923521997,1.9135271238,5.7800491996,5.9464711799
41,541,26.7789308241,2.0001057481,7.3971583998,8.6965347276
42,542,26.7883166006,2.0094915246,4.7456105787,3.3064309468
43,543,26.8344080612,2.0555829852,6.1063313016,0.6629041724
44,544,26.8624439281,2.0836188521,9.7077026086,2.9109194095
45,545,26.8629550897,2.0841300137,2.9649239165,6.7001910454
46,546,26.9163249526,2.1374998766,7.3516539777,5.9439156453
47,547,26.9436205224,2.1647954464,7.3129132343,0.2311906384
48,548,26.9630640189,2.1842389429,7.5198435792,2.3582189177
49,549,26.9786112574,2.1997861814,4.2533312130,9.4658469335
50,550,26.9981994042,2.2193743283,6.8834717834,8.9438832568
