analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,63.3884477304,0.0210013984,1.1382886214,6.8723018194
2,502,63.4429959775,0.0755496454,4.0637388810,4.9083039816
3,503,63.5931595362,0.2257132041,4.7979496967,7.5647249635
4,504,63.5976772231,0.2302308911,8.7223922978,5.7009089921
5,505,63.9499740400,0.5825277080,8.0538563427,7.3246977136
6,506,63.9667757646,0.5993294325,8.5518262108,7.2243984918
7,507,64.0901106585,0.7226643265,6.2965524437,3.9040073743
8,508,64.2366279731,0.8691816410,8.8832320746,4.7395797611
9,509,64.6395548519,1.2721085198,2.8928140288,5.0911811493
10,510,64.7531594409,1.3857131088,5.4915429921,7.4889772065
11,511,64.8231890499,1.4557427179,2.5228089893,2.0566640305
12,512,64.8277325474,1.4602862153,4.8728815807,5.0950574511
13,513,64.8985514142,1.5311050822,1.9006292252,3.1670680676
14,514,64.9212952292,1.5538488971,8.1201407516,5.5431969932
15,515,64.9332481772,1.5658018452,1.1977513783,6.3143384445
16,516,65.0365502623,1.6691039303,0.8761393083,2.3224519698
17,517,65.2933519148,1.9259055828,9.2285964876,8.2634072776
18,518,65.3171519519,1.9497056199,8.2880067769,2.6922943186
19,519,65.5873604542,2.2199141221,9.2264389612,2.3877320020
20,520,65.7688321108,2.4013857787,7.7242541040,3.0732282914
21,521,65.8117669305,2.4443205984,8.7352465888,7.7780638651
22,522,65.8850515058,2.5176051738,5.5616382338,1.8772503567
23,523,65.9257301812,2.5582838492,8.0291848248,2.1702314595
24,524,65.9669363295,2.5994899975,0.9473801099,8.3142803980
25,525,66.0526200484,2.6851737163,9.0780334454,1.0109754738
26,526,66.0767567663,2.7093104343,5.5269900266,4.5471080435
27,527,66.1062733072,2.7388269751,8.5262580733,9.0898855826
28,528,66.2522877986,2.8848414665,8.8360517891,7.3596963891
29,529,66.3646809435,2.9972346114,3.6330482098,4.4015885184
30,530,66.4676285256,3.1001821935,7.3370625659,4.6610338532
31,531,66.7006418000,3.3331954679,2.5097627898,1.7715883888
32,532,66.8046198141,3.4371734820,8.8244233411,0.9980832883
33,533,67.1592626037,3.7918162717,4.7854628262,7.7574378643
34,534,67.5103011347,4.1428548026,6.4392681079,6.2070742192
35,535,67.5721698839,4.2047235518,9.4343697249,0.6390702058
36,536,67.6973644557,4.3299181236,9.4258866289,5.3130651205
37,537,67.7333227162,4.3658763841,6.5817981297,6.9254419834
38,538,67.7717164221,4.4042700901,9.3520843151,7.0274042719
39,539,67.8251702576,4.4577239255,8.2183317584,5.7622343320
40,540,67.9962628627,4.6288165307,8.7749750558,3.4905031872
41,541,68.1307578571,4.7633115250,9.2617421164,1.7890553894
42,542,68.2731827776,4.9057364455,8.5073628000,4.7386386718
43,543,68.5038615885,5.1364152564,7.5416986825,8.9285560846
44,544,68.5181019933,5.1506556612,9.7967358094,1.0870176314
45,545,68.8632452031,5.4957988710,9.9862648557,3.0680165164
46,546,69.0778558149,5.7104094829,9.4994445392,4.1927337554
47,547,69.2537069038,5.8862605717,8.3059844699,3.9392991801
48,548,69.3790557017,6.0116093696,5.1334320115,9.8560271875
49,549,70.1509747939,6.7835284618,9.6475633014,3.0858168110
50,550,70.1725051843,6.8050588523,8.5618832719,0.9688783499
51,551,70.6078625049,7.2404161728,8.3183796318,4.8208598838
52,552,70.6249500597,7.2575037277,7.4657478518,5.5177583461
53,553,73.2433466827,9.8759003506,0.3527285865,8.5691057928
54,554,74.0847396173,10.7172932853,2.8261772424,1.2876001348
55,555,74.8796862946,11.5122399625,0.3757024042,8.8659637260
56,556,75.1629972707,11.7955509387,8.0787418203,4.9088584098
57,557,75.2191817731,11.8517354410,4.2856405262,2.1305962192
58,558,75.2997730303,11.9323266982,4.7715740619,0.6734854556
59,559,75.3374806290,11.9700342970,8.0922130185,4.2390263561
60,560,75.5123408160,12.1448944839,9.3195672341,7.4321888997
61,561,75.6137232063,12.2462768743,8.1603616600,3.1859353220
62,562,75.6974587349,12.3300124028,5.4789045510,4.4773875855
63,563,75.7082321842,12.3407858522,8.8577341581,0.8871318353
64,564,75.7308068047,12.3633604726,3.4346304132,4.7260247389
65,565,75.7516126370,12.3841663049,8.8940111540,4.3306595302
66,566,75.8147740771,12.4473277450,8.1076604454,3.0406594317
67,567,75.9064282478,12.5389819158,9.8576426620,1.0621001378
68,568,76.0248561554,12.6574098233,7.4019293788,5.9604881130
69,569,76.0901401499,12.7226938178,4.7344179627,3.6824205921
70,570,76.1399790639,12.7725327318,2.2919217996,6.6538579184
71,571,76.6097869544,13.2423406223,6.0603369304,1.2928196237
72,572,77.0449108450,13.6774645129,8.0060433189,2.1640421327
73,573,77.0696879870,13.7022416549,0.9665300877,4.8272104185
