analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,56.3762369241,0.0172931097,3.3437449901,5.9737116865
2,502,56.5192724745,0.1603286600,4.6127928106,3.3979584088
3,503,56.6597903745,0.3008465600,4.3038129489,7.7028331043
4,504,56.7911768083,0.4322329938,2.8211045972,2.6880706330
5,505,56.9483918201,0.5894480056,6.7080675797,3.4424051626
6,506,56.9675258937,0.6085820792,7.3315359061,3.3764423783
7,507,57.1764078839,0.8174640694,8.9093606450,3.6241721987
8,508,57.2517970316,0.8928532171,6.1934482580,7.0954966687
9,509,57.3684182102,1.0094743957,8.0549897696,4.3245461056
10,510,57.3912256110,1.0322817966,8.4975830703,3.8632028096
11,511,57.4658965878,1.1069527733,9.3740525502,3.6266387943
12,512,57.4676590751,1.1087152606,7.2632849039,0.2437082611
13,513,57.4973080999,1.1383642854,9.4535453487,4.6742910213
14,514,57.5256598939,1.1667160794,1.0948201120,5.9018265998
15,515,57.6385568477,1.2796130332,9.4856879897,3.3157557102
16,516,57.6580124603,1.2990686458,5.7753237057,7.7641964426
17,517,57.7732487591,1.4143049446,7.8084009766,7.7207431927
18,518,57.7893636106,1.4304197962,8.6640727912,8.7698288144
19,519,57.8534093869,1.4944655725,8.3439100600,0.6245733506
20,520,57.9414494993,1.5825056848,6.4357717693,5.1291455782
21,521,58.0209361101,1.6619922956,7.7855209285,2.2582503009
22,522,58.1068647505,1.7479209361,7.9101237418,3.1214867899
23,523,58.1419251352,1.7829813208,5.8342215954,1.9812468276
24,524,58.3024201854,1.9434763710,8.6052595540,7.5206834816
25,525,58.4227013562,2.0637575418,8.6986608111,5.7375655025
26,526,58.4525132761,2.0935694616,7.8861384630,7.5330563924
27,527,58.4946949736,2.1357511591,9.7112032433,4.8236539152
28,528,58.7305014168,2.3715576023,4.9541214601,1.6843500707
29,529,58.7724425335,2.4134987191,5.3444641279,8.5289568186
30,530,58.9693344874,2.6103906729,5.9293464346,6.6745686667
31,531,58.9827075738,2.6237637593,9.1284772898,7.7839140759
32,532,59.1031268896,2.7441830752,7.4244593400,2.3944753150
33,533,59.2105555813,2.8516117668,6.3521869472,1.3593177865
34,534,59.2433612572,2.8844174428,7.1566457288,7.7845384622
35,535,59.3342246966,2.9752808821,5.9769057911,9.4817696753
36,536,59.4537342191,3.0947904047,7.3308558876,2.6665339197
37,537,59.4729874505,3.1140436360,1.2911288497,3.5607831630
38,538,59.4791624388,3.1202186244,8.0112108966,8.0942059049
39,539,59.5146862473,3.1557424329,4.4968066997,6.6810848681
40,540,59.6098440559,3.2509002414,9.1382319069,1.4655892206
41,541,59.7123071787,3.3533633642,5.4100385149,5.1638984547
