analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,44.2822272584,0.0261289920,6.4798124381,2.3012665873
2,502,44.3021078229,0.0460095564,6.6540579635,5.0700553697
3,503,44.3207302058,0.0646319393,5.0316791985,7.3270237986
4,504,44.5036307640,0.2475324975,3.4914193488,5.4173400720
5,505,44.5754478480,0.3193495816,9.9360080043,9.6973728510
6,506,44.5988035561,0.3427052896,6.2476455203,5.8018595305
7,507,44.6264330439,0.3703347774,0.7370806556,0.7776079537
8,508,44.6478923380,0.3917940716,4.7100668103,8.8787476498
9,509,44.6977855680,0.4416873015,7.9376754693,5.9310354381
10,510,44.7117673650,0.4556690985,0.4750033204,4.8392641090
11,511,44.7593521093,0.5032538429,2.8732737159,7.5701585223
12,512,44.8799378017,0.6238395352,1.3046120123,4.6400779834
13,513,44.9008851048,0.6447868383,0.8149881965,0.6246450432
14,514,44.9724055084,0.7163072420,7.2161912784,7.9121798829
15,515,45.0427258640,0.7866275976,8.5762997831,3.3528307156
16,516,45.0909477570,0.8348494906,0.0934959617,5.5278354021
17,517,45.2007005333,0.9446022668,8.0624260201,4.6553106739
18,518,45.2412851218,0.9851868553,3.0652986114,8.0917552155
19,519,45.3420176537,1.0859193872,7.1505058902,1.1195760789
20,520,45.4447796394,1.1886813730,9.7664393120,4.7573374709
21,521,45.5283724467,1.2722741802,7.6502639801,7.0079758722
22,522,45.5422584780,1.2861602115,5.7991042059,9.7864061992
23,523,45.6402360452,1.3841377788,2.5676513154,0.5065111938
24,524,45.6747036373,1.4186053708,0.6907581151,9.5311021770
25,525,45.7126918149,1.4565935484,7.9460778438,5.3830746715
26,526,45.7256402205,1.4695419541,2.9178510817,2.7382586700
27,527,45.8073927485,1.5512944820,6.9186257925,7.1516572852
28,528,45.8186027863,1.5625045198,3.5653581999,0.1790108818
29,529,45.8187273457,1.5626290792,3.2794984787,7.8553206530
30,530,45.8253964303,1.5692981639,7.8082440596,5.7171457042
31,531,45.8425936785,1.5864954120,4.0526146219,0.0561881988
32,532,45.8715083875,1.6154101210,8.9271495761,1.9457630014
33,533,45.8766415517,1.6205432852,3.5168801267,0.6276611764
34,534,45.9019660182,1.6458677517,2.0355310696,1.0818015125
35,535,45.9103310041,1.6542327377,3.0942467193,4.5357495493
36,536,45.9505260999,1.6944278335,6.4855659541,4.1928985176
37,537,45.9935165012,1.7374182348,3.9854723181,2.6140317748
38,538,46.0001651964,1.7440669299,8.7742470213,1.4648431785
39,539,46.0247948966,1.7686966302,1.3624380114,6.4725804900
40,540,46.1028512726,1.8467530062,1.6796298944,3.7930979568
41,541,46.1557201341,1.8996218676,3.2001926166,8.1784553475
42,542,46.1792051600,1.9231068935,2.9178843771,9.5705023354
43,543,46.2072022175,1.9511039511,2.3779885802,4.9547822801
44,544,46.2327500474,1.9766517809,4.2124252436,9.9574186140
45,545,46.2428936243,1.9867953578,1.0934323996,1.5315393597
46,546,46.3204342743,2.0643360078,3.8220117280,1.2086726663
47,547,46.4315567217,2.1754584552,9.8960324920,6.7146704027
48,548,46.5588164089,2.3027181424,0.4536601445,1.7254760702
49,549,46.5670506544,2.3109523879,9.4631139018,1.5709341022
50,550,46.5882835795,2.3321853130,4.3705332397,0.9101840762
51,551,46.6353908092,2.3792925428,7.1301685427,2.7963385191
52,552,46.6568335264,2.4007352599,6.0208042225,5.0391756176
53,553,46.7065638562,2.4504655897,6.8428965476,9.4395599794
54,554,46.7666612470,2.5105629805,4.4719762108,6.3929807471
55,555,46.7731178385,2.5170195720,5.3906441956,7.5672048956
56,556,46.7866132085,2.5305149420,0.3777740929,2.5637822360
57,557,46.8412016540,2.5851033875,9.8041461261,4.9129932780
58,558,46.9248643892,2.6687661228,6.7394556721,6.6641386400
59,559,46.9523824328,2.6962841663,1.3772270485,3.1152357453
60,560,46.9862151513,2.7301168848,0.5428302972,0.9949597392
61,561,47.1249852005,2.8688869341,2.7264286259,4.5416320694
62,562,47.1894009398,2.9333026733,1.4348772682,1.7492016685
63,563,47.2421921047,2.9860938383,5.3548690309,3.6894132453
64,564,47.4281624128,3.1720641463,0.0464135015,6.0494346713
65,565,47.4952973621,3.2391990956,3.1551819446,2.2425531774
66,566,47.5211654210,3.2650671546,4.8347126475,2.0973433500
67,567,47.5571952501,3.3010969836,1.4175858731,1.1705354474
68,568,47.6154024223,3.3593041558,4.6411601603,8.1702847878
69,569,47.7278704925,3.4717722260,4.9096459371,3.9857636658
70,570,47.8117870103,3.5556887438,0.2097030618,9.8391213180
71,571,47.8315112605,3.5754129941,1.9501198648,9.5510338597
72,572,47.8976524183,3.6415541519,6.9981940488,1.1872522208
73,573,47.9291032931,3.6730050267,2.7786015634,8.7023427480
74,574,47.9479223889,3.6918241224,9.0378630463,7.1419560541
75,575,48.1882900865,3.9321918200,3.8719694273,9.1530414218
76,576,48.2671671558,4.0110688893,3.0957220082,9.9240695075
77,577,48.2998018804,4.0437036139,8.6932432090,3.1880502789
78,578,48.3336139483,4.0775156819,3.1123704895,8.7886725326
79,579,48.3413515686,4.0852533021,4.8292426058,9.1905149027
80,580,48.4525460434,4.1964477770,1.5526711564,7.6953892330
81,581,48.4642108120,4.2081125455,4.8024083286,6.4506895843
82,582,48.5879402168,4.3318419503,7.8357713332,8.3813744125
83,583,48.7046824138,4.4485841474,7.1895010230,4.2167773603
84,584,48.7075640607,4.4514657943,8.3978892140,0.2349572374
85,585,48.7323829567,4.4762846903,8.0399831597,3.7140206772
86,586,48.8476897392,4.5915914727,6.5078585365,2.6217782441
87,587,48.9470258569,4.6909275904,8.6916233391,0.0160378141
88,588,48.9794994859,4.7234012195,0.1342156692,3.9504708301
89,589,49.0248516086,4.7687533422,0.0235510772,4.9924366851
90,590,49.1122045175,4.8561062511,2.4904632513,6.5774440217
91,591,49.2682506104,5.0121523440,1.5070675097,2.3761367694
92,592,49.3008150173,5.0447167509,7.4535532135,4.8722747497
93,593,49.3614491138,5.1053508473,8.5954875101,9.6601391988
94,594,49.3792220039,5.1231237374,7.6811574505,4.7710093125
95,595,49.6168541924,5.3607559259,7.5303895209,4.1218091544
96,596,49.6181981949,5.3620999285,8.0583294775,0.9698633332
97,597,49.7877562571,5.5316579906,8.4262355903,7.1101278154
98,598,49.8127340277,5.5566357612,6.9712348844,1.5792322549
99,599,49.8343750223,5.5782767559,8.6584413901,2.1254525536
100,600,50.0713985999,5.8153003334,5.8577878444,9.3308729468
101,601,50.3836297185,6.1275314521,4.9002436278,7.6756084217
