analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
1,501,37.1056104889,0.0254777214,0.3702934493,1.9237307783
2,502,37.1908806061,0.1107478386,6.0283283537,7.2811602379
3,503,37.2704827557,0.1903499883,0.5324871864,8.3669031290
4,504,37.2849963430,0.2048635756,6.6719435433,9.3063921931
5,505,37.4084394272,0.3283066598,3.5980203303,6.2885894204
6,506,37.5219612748,0.4418285073,6.6961424558,9.0326101144
7,507,37.7066542374,0.6265214699,0.1076898267,4.8405155815
8,508,37.7231709425,0.6430381750,7.1485898093,9.2399867093
9,509,37.8046409200,0.7245081526,1.8713301879,7.3884489514
10,510,37.8274394859,0.7473067184,2.0897903490,0.2751285720
11,511,38.0226201605,0.9424873931,2.7201719543,4.7912386573
12,512,38.1769646831,1.0968319157,7.0335144720,7.5248347891
13,513,38.2004717636,1.1203389962,6.4683802747,8.2339547877
14,514,38.5801936263,1.5000608589,3.5263842834,2.2138227476
15,515,38.6610756818,1.5809429143,1.8064059384,7.5771804210
16,516,38.9637979855,1.8836652181,3.8544547594,2.7044571783
17,517,39.0745108709,1.9943781035,4.1339989861,9.2403388068
18,518,39.1045644790,2.0244317115,8.1761474011,7.8494470594
19,519,39.2257740442,2.1456412768,7.5785096309,8.5605758205
20,520,39.3446329989,2.2645002315,0.4012840024,8.8221389375
21,521,39.3996717814,2.3195390139,7.1682373964,1.5728969663
22,522,39.4697503997,2.3896176323,0.4894375520,2.2304568923
23,523,39.5247726900,2.4446399226,3.2195323651,3.1392445546
24,524,39.5438250852,2.4636923178,1.9650838929,4.2057516449
25,525,39.6088020346,2.5286692672,5.9442277452,4.7157865371
26,526,39.6570585889,2.5769258215,7.9681210257,6.7327520507
27,527,39.7104385680,2.6303058005,4.3862962626,3.3315175175
28,528,39.8010436901,2.7209109227,5.7021936955,8.7119349696
29,529,39.8441939462,2.7640611787,6.2527142252,2.3626135085
30,530,39.9494861897,2.8693534223,7.9304602640,2.0382881195
31,531,39.9506511842,2.8705184167,6.8551319284,7.2058440036
32,532,40.0335475511,2.9534147836,2.0259381416,8.6042143811
33,533,40.0515364150,2.9714036476,2.6677413770,7.1697068078
34,534,40.1110224223,3.0308896548,9.3093337327,7.4346722837
